# temperature (K),delta c66/c66 (1e-5)
1.300063636363636421e+00,-4.126832480037545992e+00
1.300404545454545424e+00,-4.125921470083761200e+00
1.300745454545454427e+00,-4.124394843800526900e+00
1.301197727272727311e+00,-4.123056626042077788e+00
1.301594252873562896e+00,-4.122055949200618130e+00
1.302054022988505810e+00,-4.120499771129732203e+00
1.302341860465116241e+00,-4.119841341505030563e+00
1.302806976744185885e+00,-4.117895351006031213e+00
1.303098823529411643e+00,-4.116779386403046637e+00
1.303513095238095110e+00,-4.115780260545546909e+00
1.303870238095238276e+00,-4.114569714784439114e+00
1.304227380952380999e+00,-4.112699519631737743e+00
1.304584523809523722e+00,-4.111992837043962901e+00
1.305116470588235433e+00,-4.109486062531996886e+00
1.305406976744186265e+00,-4.107088104954187635e+00
1.305810344827586178e+00,-4.104384305584653170e+00
1.306102325581395496e+00,-4.101953492119049471e+00
1.306445454545454687e+00,-4.099130874175822115e+00
1.306617241379310457e+00,-4.097491956388634726e+00
1.307077011494252927e+00,-4.094024217833514001e+00
1.307414606741573060e+00,-4.092366019118461651e+00
1.307806666666666784e+00,-4.091227961166072902e+00
1.308251111111111031e+00,-4.090774783657397329e+00
1.308638461538461639e+00,-4.089804754029102263e+00
1.308917777777777625e+00,-4.088191746719008535e+00
1.309251111111111365e+00,-4.087039369561191293e+00
1.309525274725274580e+00,-4.084912919217305038e+00
1.309854945054945041e+00,-4.082015502592452272e+00
1.310127173913043563e+00,-4.080319796158244472e+00
1.310453260869565151e+00,-4.078445775768388515e+00
1.310617582417582305e+00,-4.077213619354334462e+00
1.311057142857142921e+00,-4.074606057258227665e+00
1.311330434782608689e+00,-4.073317106202296145e+00
1.311768478260869397e+00,-4.071121348061031320e+00
1.312094565217391207e+00,-4.069214579616136973e+00
1.312313043478260832e+00,-4.067893388955184264e+00
1.312476923076922875e+00,-4.067312570452144449e+00
1.312806593406593558e+00,-4.065674095054689019e+00
1.313080434782608608e+00,-4.063656203733487793e+00
1.313296739130434876e+00,-4.062060033204303977e+00
1.313731521739130326e+00,-4.059199871544658222e+00
1.314003296703296630e+00,-4.058376467166599610e+00
1.314332967032966870e+00,-4.057712016353849371e+00
1.314608888888888716e+00,-4.056805931398371534e+00
1.314885393258427015e+00,-4.055987701099344811e+00
1.315222471910112434e+00,-4.055377232765376760e+00
1.315727777777777829e+00,-4.054262115315291126e+00
1.316061111111110904e+00,-4.053577657262773748e+00
1.316450549450549179e+00,-4.053170115628505599e+00
1.316670329670329931e+00,-4.053262071247871745e+00
1.316999999999999948e+00,-4.053245596012757801e+00
1.317659340659340872e+00,-4.051129159038181271e+00
1.317989010989011112e+00,-4.048829608893869114e+00
1.318318681318681351e+00,-4.047737857819815765e+00
1.318648351648351813e+00,-4.045847814589467184e+00
1.318978021978022053e+00,-4.045037857383333879e+00
1.319417582417582446e+00,-4.042969832774153893e+00
1.319858241758241846e+00,-4.041931984603365002e+00
1.320297802197802239e+00,-4.039825275303054575e+00
1.320627472527472479e+00,-4.037975882178564291e+00
1.320789130434782743e+00,-4.036951255467769784e+00
1.321115217391304331e+00,-4.035416888351542219e+00
1.321441304347825918e+00,-4.033235498166860111e+00
1.321768478260869628e+00,-4.031532409713030951e+00
1.322094565217391215e+00,-4.029977268716859129e+00
1.322364516129032497e+00,-4.029028799457862853e+00
1.322630851063829827e+00,-4.028123461861186527e+00
