# Temperature (K),alpha_33
0.3503,-12.762975377150001
0.3506,-12.763991882500001
0.351,-12.76438408875
0.3514,-12.7647591411
0.3519,-12.765197620750001
0.3526,-12.7652483063
0.3534,-12.765091448100002
0.3543,-12.764781011
0.3553,-12.764244695350001
0.3563,-12.76400210605
0.3576,-12.7639955268
0.3589,-12.7639179808
0.3606,-12.7632056337
0.3623,-12.762724621650001
0.3641,-12.762136080700001
0.366,-12.7626306733
0.3685,-12.76238014375
0.3706,-12.76108257155
0.3729,-12.7600824313
0.3754,-12.75918976055
0.3778,-12.7582062522
0.3808,-12.756730821300001
0.3834,-12.755395604150001
0.386,-12.7541629361
0.3886,-12.752303755400002
0.3912,-12.751489062400001
0.3942,-12.7508980525
0.3967,-12.749814851550001
0.3997,-12.749325087550002
0.4022,-12.748193210850001
0.4046,-12.7466576004
0.4069,-12.7451130662
0.4096,-12.744089464950001
0.4119,-12.742678083400001
0.414,-12.741260766100002
0.4161,-12.73972379065
0.4182,-12.7390109687
0.4206,-12.738255740700001
0.4226,-12.73785699995
0.4245,-12.73659622955
0.4263,-12.735580699500002
0.4282,-12.733616150100001
0.4303,-12.732781552050001
0.432,-12.73187692515
0.4336,-12.73148244425
0.4353,-12.7306518429
0.437,-12.728796539100001
0.4387,-12.7278655238
0.4401,-12.7265476513
0.4417,-12.72543307025
0.4432,-12.7246427009
0.4448,-12.723792797000002
0.4466,-12.722494929800002
0.4481,-12.722006392800001
0.4496,-12.720977857500001
0.4512,-12.72025190395
0.453,-12.71910951255
0.4544,-12.7183481017
0.456,-12.716748897150001
0.4574,-12.71529419175
0.4589,-12.7139000412
0.4607,-12.713445753650001
0.4622,-12.711921737150002
0.4637,-12.709795706700001
0.4652,-12.707727705950001
0.4674,-12.70563923305
0.4689,-12.703830030050002
0.4704,-12.7020385596
0.4719,-12.70002526975
0.4738,-12.698104818500001
0.4754,-12.69633126015
0.477,-12.69506762005
0.4786,-12.69334408595
0.4801,-12.691861620800001
0.4821,-12.690176387100001
0.4837,-12.688336725800001
0.4853,-12.686186400250001
0.487,-12.6842743447
0.4886,-12.682919889550002
0.4906,-12.681374416950002
0.4922,-12.6803936914
0.4938,-12.6793028478
0.4955,-12.677779337450001
0.4975,-12.676543618050001
0.4992,-12.675059958650001
0.5009,-12.673160729900001
0.5026,-12.671962295050001
0.5047,-12.66990406975
0.5063,-12.668017231550001
0.508,-12.66707612285
0.5097,-12.6646428373
0.5114,-12.661856629850002
0.5134,-12.6604388787
0.5152,-12.657822603600001
0.5168,-12.655581552800001
0.5185,-12.6529143856
0.5202,-12.650731141000001
0.5223,-12.649136856650001
0.5239,-12.64655495995
0.5257,-12.64456201315
0.5277,-12.642110805700002
0.5294,-12.63952048155
0.531,-12.636707369900002
0.5327,-12.634689294100001
0.5347,-12.632016041650001
0.5364,-12.62916711055
0.538,-12.6270209104
0.5397,-12.6253239475
0.5417,-12.623320437750001
0.5434,-12.619966543750001
0.5451,-12.617813754450001
0.5468,-12.615626158000001
0.5484,-12.612173163300001
0.5504,-12.60996601215
0.552,-12.607509638400002
0.5537,-12.6053200371
0.5553,-12.603058126
0.557,-12.59957160245
0.559,-12.59763166345
0.5606,-12.594651053700002
0.5622,-12.591570356
0.5642,-12.588581523250001
0.5659,-12.58594522645
0.5678,-12.58201072235
0.5695,-12.579692059000001
0.5711,-12.5773187835
0.5731,-12.57379909165
0.5747,-12.57080201345
0.5763,-12.5677366692
0.578,-12.565679744250001
0.5796,-12.562947144550002
0.5816,-12.5592551919
0.5832,-12.556538253700001
0.5849,-12.5534106509
0.5865,-12.55097086325
0.5881,-12.548003030150001
0.5897,-12.5447515254
0.5917,-12.5420732356
0.5934,-12.53852224995
0.595,-12.535897997200001
0.5966,-12.5321977789
0.5982,-12.5289406656
0.5998,-12.5254588831
0.6019,-12.522859136700001
0.6035,-12.519138362600001
0.6051,-12.516046249650001
0.6071,-12.51338012535
0.6088,-12.5092490845
0.6104,-12.506088158550002
0.6124,-12.502343602200002
0.6141,-12.499283733650001
0.6157,-12.497593167900002
0.6177,-12.49415551755
0.6194,-12.490481632900002
0.621,-12.486835547250001
0.6227,-12.48367375125
0.6244,-12.47990087065
0.6263,-12.476889626350001
0.628,-12.472781336250002
0.6297,-12.46865476315
0.6314,-12.465595354600001
