# Temperature (K),delta_v_33/v_33
0.3617,-0.0
0.3618,6.572118151165844e-07
0.362,1.2741962610523063e-06
0.3622,-8.808006761230235e-07
0.3625,-5.820324999036901e-07
0.3628,3.897379605123587e-07
0.3632,1.8893379350140598e-06
0.3638,1.8578074361933926e-06
0.3642,8.745378475626489e-07
0.3647,1.4023359725536357e-06
0.3654,-4.2380477832409285e-07
0.366,5.861133385606614e-07
0.3666,-2.2658663456860196e-06
0.3673,2.1968458608719228e-07
0.3682,5.12976674073469e-07
0.3689,3.1218258141474246e-07
0.3697,-8.692685565582254e-08
0.3704,-1.208674481922739e-06
0.3714,2.1089426644630772e-07
0.3722,-2.1792469162408112e-07
0.373,3.600752792719958e-08
0.3739,6.637309133702914e-07
0.375,1.4220749522920952e-07
0.3759,1.2078629264874585e-06
0.3767,1.112453011847109e-06
0.3776,2.23218415049882e-07
0.3785,-1.0470486662814458e-06
0.3786,1.1812909892041555e-06
0.3796,-6.840770128860947e-07
0.3804,3.272088233597124e-07
0.3809,1.2678247319950045e-06
0.3812,-2.4111127816814424e-07
0.3819,1.381952398179167e-06
0.3824,4.7402274903547996e-07
0.3829,9.656237963368794e-07
0.3837,1.080178250260848e-06
0.3843,6.08556300653036e-08
0.3848,7.225524645681499e-07
0.3849,-8.053532899734376e-07
0.3857,9.154916896414223e-07
0.386,1.2368442191985354e-07
0.3862,2.1648541362465686e-06
0.3867,1.3590932453686865e-06
0.3871,2.813589837249357e-06
0.3872,4.093628091876567e-07
0.3876,7.447215607030383e-07
0.3878,1.5266564213958214e-06
0.3879,-2.2439189593213165e-07
0.388,2.3962727609184883e-06
0.3881,2.0841765418469667e-07
0.3882,1.379812672610821e-06
0.3883,-4.116296068975352e-07
0.4228,1.1158874285644495e-06
0.4247,1.7645581154800388e-07
0.4266,2.407926808066293e-06
0.4292,1.1365712368576722e-06
0.431,6.304659564223034e-07
0.4335,2.2836219562243478e-06
0.4353,2.2258899910855757e-06
0.4371,1.125677192679591e-06
0.4388,1.3552387526289983e-06
0.4405,1.0289477527018845e-06
0.4427,5.989541468105216e-07
0.4443,1.5635982445802427e-06
0.4459,4.834977408033823e-07
0.4475,4.3929247505119053e-07
0.4495,1.8738719052272446e-06
0.451,2.2215546274067773e-06
0.4524,3.3807350813452517e-07
0.4543,1.8328551392282329e-06
0.4558,1.4090902890807633e-06
0.4572,2.4057045191858844e-06
0.459,6.714371524926929e-07
0.4604,1.0435825119516892e-06
0.4621,1.8237056655503932e-06
0.4634,2.763033617183934e-06
0.4647,6.240207550118037e-07
0.4664,1.7530698226676079e-06
0.4676,1.159979673855284e-06
0.4692,1.956113762943462e-06
0.4704,1.1548356918372467e-06
0.4716,2.571182097837934e-06
0.4731,2.16693915644019e-06
0.4743,1.0045841868096234e-06
0.4754,2.2545057283106246e-06
0.4769,5.686089892391354e-07
0.4781,8.013532968249496e-07
0.4792,2.0034668551745287e-06
0.4803,7.757770884012414e-07
0.4817,1.699271786591251e-06
0.4828,1.0549012368084011e-06
0.4839,9.875672765771894e-07
0.485,7.349498646660855e-07
0.4861,-2.783356384135734e-07
0.4875,-9.19796692361248e-08
0.4886,2.931413335804185e-06
0.4896,-1.7855375026471518e-07
0.4907,1.5514660522101425e-06
0.4921,4.558951307459693e-07
0.4932,-3.886453832585915e-08
0.4942,3.3726742218761856e-07
0.4957,6.461985633414083e-07
0.4967,9.02762659681257e-07
0.4978,1.1761928163519185e-06
0.4989,6.788838005606317e-07
0.5003,1.5157317021438903e-06
0.5014,2.6256252610128833e-06
0.5025,2.0656074847166117e-06
0.5039,1.5911913603711716e-06
0.505,2.0542697785533016e-06
0.5061,1.2398020906603352e-06
0.5072,-5.165292372693312e-07
0.5087,-8.41663464662076e-07
0.5098,-9.975826250202275e-07
0.5109,3.473404705452187e-07
0.5124,3.857131799285692e-07
0.5135,9.082913935747278e-07
0.5146,-1.461010961632689e-07
0.5157,-5.112412982137733e-07
0.5172,1.944772167094324e-06
0.5184,2.383745311201977e-06
0.5195,2.5064757326973014e-06
0.5207,2.4547444921564144e-06
0.5222,3.65438211252618e-07
0.5233,1.0015700593370418e-06
0.5245,2.1876394025414637e-06
0.5257,1.2456059807261212e-06
0.5269,1.0887848857013956e-06
0.5285,1.5740575476844544e-06
0.53,2.764131559187741e-07
0.5311,1.106534270519223e-06
0.5323,1.9085748339720714e-06
0.5335,1.5016005682539529e-06
0.5352,-1.8991307542487402e-07
0.5363,1.4720147070523912e-06
0.5376,1.1056832013908301e-06
0.5388,2.081627553833222e-06
0.5404,2.3922880597310707e-06
0.5416,8.519881802813864e-07
0.5433,2.0850814745434657e-06
0.5445,1.8059871614632775e-06
