# Temperature (K),alpha_33
0.3514,-16.92455765749058
0.3515,-16.92198757135951
0.3516,-16.915322653523745
0.3518,-16.91141143424352
0.3519,-16.917462100971285
0.352,-16.910890925740908
0.3521,-16.902532263009654
0.3522,-16.900184866414584
0.3523,-16.914402920890907
0.3524,-16.898399674579423
0.3525,-16.9040616780957
0.3526,-16.91771543206834
0.3528,-16.876012656659555
0.353,-16.905633298055847
0.3531,-16.8732605982594
0.3533,-16.89157676262677
0.3536,-16.878079434421288
0.3537,-16.895431089982893
0.3539,-16.890365935562556
0.3541,-16.890054465666736
0.3543,-16.876093946273627
0.3545,-16.88325551970521
0.355,-16.901518945445225
0.3556,-16.889321157568794
0.3561,-16.875704351056896
0.3567,-16.85118374980734
0.3575,-16.862679609003465
0.3582,-16.860043600849068
0.3589,-16.860167767887752
0.3599,-16.856726364050104
0.3607,-16.831870013651688
0.3615,-16.81445633501685
0.3627,-16.79369334641757
0.3635,-16.77702467693183
0.3644,-16.789700726024982
0.3657,-16.75870770095142
0.3667,-16.74819404259577
0.3677,-16.73122044023382
0.3691,-16.700870663430997
0.3702,-16.68139553752249
0.3712,-16.667349266654256
0.3727,-16.676497496367354
0.3737,-16.66639511375802
0.3749,-16.64739537232643
0.3763,-16.640006616768652
0.3774,-16.620782792424556
0.3785,-16.610834904001706
0.38,-16.60088151081446
0.3811,-16.595496145902267
0.3822,-16.56398317594718
0.3833,-16.536066776406606
0.3847,-16.521478384797803
0.3858,-16.512211696220888
0.3868,-16.50086748336981
0.3882,-16.491383758226796
0.3892,-16.49015340883792
0.3902,-16.459403562214902
0.3915,-16.438345795339785
0.3924,-16.425588765578
0.3934,-16.425191377068465
0.3946,-16.424259983118645
0.3955,-16.392163047237652
0.3964,-16.400906537835922
0.3976,-16.378986817329853
0.3984,-16.353426583529647
0.3992,-16.329512913016217
0.4003,-16.306631879315972
0.4011,-16.3152398606888
0.4018,-16.312139047768632
0.4026,-16.310753480481928
0.4036,-16.29572635289555
0.4043,-16.27538580091607
0.405,-16.261601835111193
0.4057,-16.248324795847957
0.4066,-16.24502155288517
0.4073,-16.26118161054336
0.4079,-16.250039445106218
0.4085,-16.23301457098904
0.4094,-16.209184834459002
0.41,-16.22211361884306
0.4106,-16.21186646070901
0.4112,-16.18507369771941
0.412,-16.17781619206699
0.4125,-16.15812188921054
0.4131,-16.14172794431296
0.4136,-16.122473839933384
0.4144,-16.132342360564678
0.4149,-16.15623676901344
0.4155,-16.127949194410668
0.416,-16.12606330874391
0.4167,-16.101338819942683
0.4171,-16.091358330560666
0.4176,-16.069628287964633
0.4181,-16.07273134467384
0.4189,-16.073054742549566
0.4194,-16.045160834255007
0.4201,-16.063303274133034
0.4206,-16.055605263792188
0.4211,-16.055629459929868
0.4218,-16.041147524410476
0.4224,-16.007849491417268
0.4229,-15.989252509378872
0.4236,-15.986622818297477
