# Temperature (K),delta_v_33/v_33
1.5118,1.3954506197846222e-05
1.5117,1.3422740045086648e-05
1.5116,1.3704589711640918e-05
1.5115,1.3652568663542319e-05
1.5114,1.3652832661106091e-05
1.5113,1.3604141536062127e-05
1.5112,1.3896595691019085e-05
1.5111,1.3909951618598258e-05
1.511,1.3984483603122046e-05
1.5108,1.3494567208867999e-05
1.5107,1.3815725112817693e-05
1.5105,1.3623595955954116e-05
1.5103,1.3766806102757803e-05
1.5101,1.3752851433067727e-05
1.5099,1.3732442706866686e-05
1.5098,1.3930912679880995e-05
1.5096,1.3513266044266794e-05
1.5095,1.3837824015212614e-05
1.5094,1.3810330738896182e-05
1.5091,1.3252139329948892e-05
1.5087,1.3723730884444428e-05
1.5083,1.3494895704922846e-05
1.5078,1.3845820253317919e-05
1.5073,1.377217736070772e-05
1.5069,1.3785402256525497e-05
1.5065,1.3438055611612594e-05
1.506,1.3588747922721944e-05
1.5054,1.3660930490821304e-05
1.5049,1.4023477237453113e-05
1.5043,1.3615095620906996e-05
1.5038,1.3437868990181883e-05
1.5031,1.367264522588444e-05
1.5027,1.35280454829836e-05
1.5021,1.3524389603901768e-05
1.5015,1.3554307969004939e-05
1.5007,1.4119687392157184e-05
1.5002,1.3357830066941588e-05
1.4994,1.389265932498306e-05
1.4988,1.3420832167468171e-05
1.498,1.3591315900479955e-05
1.4973,1.3929108763818191e-05
1.4967,1.4002764625371692e-05
1.4961,1.3519963108397101e-05
1.4953,1.3527869260947505e-05
1.4946,1.3867234804648362e-05
1.494,1.3668029038308533e-05
1.4934,1.3634632912821597e-05
1.4926,1.3592807453487795e-05
1.4919,1.364747308094257e-05
1.4911,1.3576861134681093e-05
1.4904,1.3932662722925611e-05
1.4897,1.3427155889493417e-05
1.489,1.3374217206007762e-05
1.4884,1.3605377470456777e-05
1.4877,1.3445600229536217e-05
1.4868,1.3517964904791483e-05
1.4862,1.3877874812958215e-05
1.4856,1.3988219146313064e-05
1.485,1.4179459771838725e-05
1.4841,1.372557005881658e-05
1.4835,1.3987080982459969e-05
1.4829,1.3749551347960797e-05
1.4822,1.350556913300605e-05
1.4815,1.376641169569448e-05
1.4808,1.4149604199242371e-05
1.4802,1.3754218166024841e-05
1.4793,1.3352207287288358e-05
1.4786,1.3376743095391374e-05
1.4779,1.3461187031820463e-05
1.4773,1.3417616645623341e-05
1.4766,1.409643316516206e-05
1.4758,1.3512968141184383e-05
1.4752,1.3684964828804117e-05
1.4744,1.4016258602235921e-05
1.4738,1.333876220706553e-05
1.4731,1.350069733962279e-05
1.4723,1.3602011049227e-05
1.4716,1.394449979681922e-05
1.4709,1.3951992771269709e-05
1.47,1.3746694929086037e-05
1.4694,1.3822466117584557e-05
1.4686,1.3846738516752122e-05
1.4681,1.3542344824499968e-05
1.4674,1.3825842835187084e-05
1.4667,1.368869322871828e-05
1.4659,1.4277876771933633e-05
1.4652,1.3541744162383351e-05
1.4646,1.3476920583756257e-05
1.4639,1.3655432591419504e-05
1.4633,1.3544446338782006e-05
1.4622,1.3598519264954902e-05
1.4614,1.366735427238354e-05
1.4606,1.3427913037629164e-05
1.4599,1.383404358346914e-05
1.4593,1.3827001053817571e-05
1.4584,1.406252981626374e-05
1.4575,1.33705491004858e-05
1.4566,1.3912537532075856e-05
1.456,1.3856383933465936e-05
1.4553,1.3631439575954526e-05
1.4546,1.3891149694576917e-05
1.4537,1.3609876015191252e-05
1.4529,1.3889190721976137e-05
1.4523,1.3283197968343976e-05
1.4517,1.3787595312622462e-05
1.4507,1.3759103736684568e-05
1.4501,1.393960179196861e-05
1.4493,1.397152348112503e-05
1.4484,1.397486140003603e-05
1.4478,1.385792006200579e-05
1.4469,1.3582560850123118e-05
1.446,1.2974615814150719e-05
1.4454,1.3463800444328783e-05
1.4447,1.4280732809322317e-05
1.4438,1.373163051051116e-05
1.4431,1.3607941183178167e-05
1.4424,1.3454089162753932e-05
1.4416,1.348305499904596e-05
1.4408,1.353785805994031e-05
1.44,1.3611857675853586e-05
1.4391,1.3877581097094301e-05
1.4383,1.3580215089343704e-05
1.4377,1.3900867790004473e-05
1.4369,1.3917738976975216e-05
1.4362,1.39768731613585e-05
1.4356,1.3399306006445103e-05
1.4345,1.3647595781279658e-05
1.4338,1.3785415897334195e-05
1.4332,1.308068671723202e-05
1.4323,1.3687882222988585e-05
1.4315,1.3801626961432178e-05
1.4309,1.3221028818254045e-05
1.4302,1.3856036672407973e-05
1.4294,1.3865000227070536e-05
1.4287,1.3843354020053977e-05
1.4279,1.3434012888393525e-05
1.4273,1.3964166609113594e-05
1.4264,1.4121281000379347e-05
1.4256,1.3797199375761903e-05
1.4249,1.421137108167719e-05
1.4241,1.3725727935695955e-05
1.4235,1.3289784611804118e-05
1.4225,1.3778710780969878e-05
1.4218,1.3269708011373106e-05
1.4212,1.3610045434593316e-05
1.4205,1.3687297407190258e-05
1.4196,1.364351358463541e-05
1.4187,1.3873669486834806e-05
1.4178,1.360556039672466e-05
1.4172,1.3386503334894431e-05
1.4166,1.4003736545810028e-05
1.4158,1.296041318735034e-05
1.4151,1.3201048441590648e-05
1.4143,1.3705976201101595e-05
1.4134,1.3409085649371201e-05
1.4125,1.3899674740023345e-05
1.4116,1.3760436521067479e-05
1.4109,1.4088163229507593e-05
1.4103,1.3216066404496895e-05
1.4095,1.3903490387230232e-05
1.4089,1.3236610913910896e-05
1.408,1.3412404162268295e-05
1.407,1.302710806503493e-05
1.4063,1.347777601850192e-05
1.4055,1.3122429877511857e-05
1.4047,1.3497117385094493e-05
1.4039,1.3472471090063872e-05
1.403,1.3696218504509353e-05
1.4022,1.3365062599492205e-05
1.4012,1.3104617289084e-05
1.4005,1.3862053132840911e-05
1.3999,1.3473805089122008e-05
1.399,1.3391902494991304e-05
1.3981,1.3682087099465656e-05
1.3975,1.3369878300967654e-05
1.3968,1.3604569473131425e-05
1.396,1.3683902513666514e-05
1.3952,1.3669680325081217e-05
1.3945,1.3740682507276973e-05
1.3937,1.3399936015079069e-05
1.3928,1.3799981314546001e-05
1.3919,1.3630035884417172e-05
1.3913,1.3867089750805347e-05
1.3904,1.3789811282649133e-05
1.3895,1.3593168424796303e-05
1.3886,1.3658669710460696e-05
1.3877,1.3340533643199268e-05
1.3872,1.3949940850069048e-05
1.3866,1.3450941459336788e-05
1.3858,1.3450720666084509e-05
1.3852,1.3282745044748809e-05
1.3844,1.3615208405317334e-05
1.3837,1.3685271313420612e-05
1.3831,1.3720699930299426e-05
1.3825,1.3636605159515031e-05
1.3819,1.355561676712907e-05
1.3813,1.3600374760486917e-05
1.3805,1.3444416454903591e-05
1.3799,1.392039484329478e-05
1.3793,1.3566271898537768e-05
1.3787,1.3332862739694369e-05
1.3777,1.386200053223437e-05
1.377,1.3783545308543614e-05
1.3765,1.3475487089012505e-05
1.3758,1.3754472012333398e-05
1.3749,1.3984068088298976e-05
1.3742,1.385952756369972e-05
1.3736,1.3627399568172437e-05
1.3729,1.3746968673042088e-05
1.372,1.3438338285984297e-05
1.3714,1.377318682412211e-05
1.3709,1.4200356267581645e-05
1.3703,1.3621945727946758e-05
1.3694,1.3485306588492208e-05
1.3687,1.3083889543849168e-05
1.3681,1.3101981948465907e-05
1.3676,1.3551279613844603e-05
1.3666,1.3705028364000308e-05
1.3658,1.3440845431056685e-05
1.3652,1.3528829685181788e-05
1.3646,1.3256176809275672e-05
1.3637,1.3467360068860658e-05
1.3631,1.4113199955557325e-05
1.3625,1.341238374408314e-05
1.3618,1.3702614317131925e-05
1.3611,1.3890626055159771e-05
1.3604,1.3499912785773656e-05
1.3598,1.431929415307814e-05
1.3592,1.331265986911055e-05
1.3584,1.4018969609234998e-05
1.3579,1.3721961826718815e-05
1.3572,1.3710402983836624e-05
1.3565,1.408036470202295e-05
1.3556,1.3121351725422386e-05
1.3549,1.3340603587955419e-05
1.3544,1.3699500782367064e-05
1.3538,1.3116413242951442e-05
1.3529,1.3819499566092579e-05
1.3521,1.3652059871124942e-05
1.3515,1.3887864322369072e-05
1.3509,1.3561977045954384e-05
1.35,1.3508881758993857e-05
1.3494,1.321355319260694e-05
1.3488,1.3961290450632618e-05
1.3481,1.3628693443235463e-05
1.3472,1.3154727698228474e-05
1.3465,1.3413279931561752e-05
1.3457,1.3215363354813917e-05
1.3452,1.3376054189054721e-05
1.3445,1.3605950280126428e-05
1.3438,1.3536852522461887e-05
1.3432,1.3955218101740238e-05
1.3423,1.3522106348021125e-05
1.3416,1.366951404891065e-05
1.341,1.3101934376865277e-05
1.3404,1.3532466036472832e-05
1.3399,1.3503280704664207e-05
1.3389,1.3322756197509632e-05
1.3383,1.3206073012235074e-05
1.3376,1.3474511310573607e-05
1.3369,1.3479275515181847e-05
1.3361,1.3721173984103017e-05
1.3356,1.3767532728350778e-05
1.3349,1.3384174218251282e-05
1.3343,1.3490684355283822e-05
1.3335,1.3807322962291362e-05
1.3327,1.3670527642679463e-05
1.332,1.3538770232293315e-05
1.3314,1.3615100146101777e-05
1.3306,1.4319023866906603e-05
1.3299,1.3528218198602426e-05
1.3294,1.362771966734492e-05
