# Temperature (K), \delta v/v
2.018100000000000005e+00,-0.000000000000000000e+00
2.018800000000000150e+00,-1.799097121990845055e-06
2.020000000000000018e+00,1.141523336554632037e-06
2.020599999999999952e+00,-1.837143371170898688e-07
2.021999999999999797e+00,-9.728015670425859535e-07
2.022899999999999920e+00,-9.963972702773371673e-07
2.024599999999999955e+00,4.531538358769311915e-07
2.025599999999999845e+00,2.307457199587444237e-07
2.025700000000000056e+00,1.666061367066360121e-07
2.025999999999999801e+00,-4.516813870580875946e-07
2.026100000000000012e+00,-1.135583394437715589e-06
2.026299999999999990e+00,3.131210472652206538e-07
2.026400000000000201e+00,1.362050555573336643e-06
2.026800000000000157e+00,-1.594236069910790171e-06
2.027000000000000135e+00,-1.119619181118219816e-07
2.027200000000000113e+00,3.860781525794356980e-08
2.027899999999999814e+00,-4.788598354596151896e-08
2.028000000000000025e+00,1.698898849028305624e-06
2.028200000000000003e+00,-4.199452434508950144e-07
2.028300000000000214e+00,2.276797820261911996e-07
2.028399999999999981e+00,2.055245853204432701e-06
2.028599999999999959e+00,-1.223757386229772339e-06
2.028700000000000170e+00,9.831586067100246760e-08
2.028799999999999937e+00,-1.819963149663181469e-06
2.029100000000000126e+00,-1.338704882433412483e-06
2.029399999999999871e+00,-2.106172912834270114e-06
2.029799999999999827e+00,-1.239922408538815182e-06
2.029999999999999805e+00,-2.249639305801311154e-06
2.030100000000000016e+00,8.596741416093636626e-07
2.030299999999999994e+00,-1.715836466178187445e-06
2.030400000000000205e+00,2.594115895845521870e-06
2.030800000000000161e+00,-6.320922556547096878e-07
2.031000000000000139e+00,-1.401903463762091255e-06
2.031099999999999905e+00,3.908484846342047381e-08
2.031200000000000117e+00,-5.977732613760300157e-08
2.031400000000000095e+00,1.026307398812788008e-06
2.031699999999999839e+00,-1.277635216025565262e-06
2.031800000000000050e+00,-2.163047014685184384e-07
2.031899999999999817e+00,4.100430905406464362e-07
2.032399999999999984e+00,-1.148161475406000239e-06
2.032500000000000195e+00,-1.576802525397498624e-07
2.032599999999999962e+00,1.122323511239993747e-06
2.032700000000000173e+00,1.223040636254437265e-07
2.032900000000000151e+00,-6.550107992364132220e-07
2.032999999999999918e+00,-3.104545889544777293e-06
2.033100000000000129e+00,-8.422302253830621940e-07
2.033199999999999896e+00,1.547044657144604055e-07
2.033500000000000085e+00,-3.319059342724270151e-06
2.033599999999999852e+00,-1.131120385246579550e-06
2.033799999999999830e+00,-1.732124407099791519e-06
2.034100000000000019e+00,-1.365075481368593333e-06
2.034199999999999786e+00,2.326255817927379310e-06
2.035200000000000120e+00,-5.978263625989964337e-07
2.035600000000000076e+00,-1.021545107298533927e-06
2.036200000000000010e+00,-2.473123357525315442e-06
2.037300000000000111e+00,-1.876456522458054446e-06
2.037799999999999834e+00,-2.069412229825751495e-06
2.037999999999999812e+00,5.380877921625241891e-07
2.038499999999999979e+00,5.905124313497123645e-07
2.040799999999999947e+00,-1.184351240170973798e-06
2.045500000000000096e+00,-7.493792432679700541e-07
2.046499999999999986e+00,2.386440068912155178e-06
2.052799999999999958e+00,-1.075543368520121319e-06
2.067499999999999893e+00,4.992407159618353612e-07
2.083099999999999952e+00,-1.412427909139533154e-06
2.095600000000000129e+00,-1.652330337285758084e-06
2.105100000000000193e+00,1.448255995365293867e-07
2.113799999999999901e+00,-1.085154858243174417e-06
2.124899999999999789e+00,1.049146650076220543e-06
2.136800000000000033e+00,-1.338282423027640212e-06
2.146399999999999864e+00,-2.344654654416212313e-06
2.153399999999999981e+00,-1.056402294334636267e-06
2.160200000000000120e+00,-6.074259492593177631e-07
2.168499999999999872e+00,-2.529607157241794781e-06
2.181400000000000006e+00,-3.236376790433869680e-06
2.191100000000000048e+00,-3.678650261924394077e-06
2.201900000000000190e+00,-3.172371368114267084e-06
2.210399999999999920e+00,-3.830151905241561624e-06
2.221000000000000085e+00,-2.594949567125370455e-06
2.232299999999999951e+00,-2.511649693649118160e-06
2.245499999999999829e+00,-3.570403399201144799e-06
2.254799999999999915e+00,-3.037844415018463437e-06
2.264800000000000146e+00,-2.534469767252966560e-06
2.275599999999999845e+00,-4.927276257997808181e-06
2.287500000000000089e+00,-1.994093822210856072e-06
2.297600000000000087e+00,-5.405385994779355615e-06
2.313400000000000123e+00,-4.401555658479297200e-06
2.321600000000000108e+00,-5.037278820856418780e-06
2.327599999999999891e+00,-3.759324442401093912e-06
2.339999999999999858e+00,-4.900260264351313875e-06
2.350200000000000067e+00,-6.878918846291654911e-06
2.358800000000000008e+00,-4.902002799755806993e-06
2.370000000000000107e+00,-5.421766211094655776e-06
2.383399999999999963e+00,-6.958366518489351302e-06
2.392300000000000093e+00,-7.738224520334757467e-06
2.403300000000000214e+00,-5.698023888157899389e-06
2.412300000000000111e+00,-6.976174178525481817e-06
2.425699999999999967e+00,-6.029825761809582251e-06
2.437300000000000022e+00,-6.119652026844856364e-06
2.447400000000000020e+00,-7.040602507876505322e-06
2.459600000000000009e+00,-7.736240865851818732e-06
2.472199999999999953e+00,-7.246928254534668605e-06
2.480599999999999916e+00,-6.990379835142565633e-06
2.490600000000000147e+00,-9.270797098705607761e-06
2.502099999999999991e+00,-9.106084922619630103e-06
2.514899999999999913e+00,-8.822395927131181431e-06
2.524599999999999955e+00,-8.860728769853030995e-06
2.532300000000000217e+00,-8.622551236087710227e-06
2.542499999999999982e+00,-9.104301970869329783e-06
2.557999999999999829e+00,-9.878538819453860421e-06
2.566500000000000004e+00,-9.694241595113729082e-06
2.574199999999999822e+00,-9.471139545968616509e-06
2.584099999999999842e+00,-1.082038711697263273e-05
2.596699999999999786e+00,-1.234464475249565834e-05
2.604499999999999815e+00,-1.127739013650878264e-05
2.611400000000000166e+00,-9.460927764986942293e-06
2.620999999999999996e+00,-1.234188781250568946e-05
2.637399999999999967e+00,-1.084220409758480602e-05
2.649500000000000188e+00,-1.242140127402143539e-05
2.657599999999999962e+00,-1.164072392867467844e-05
2.667100000000000026e+00,-1.252791650016298023e-05
2.679499999999999993e+00,-1.260459077460933875e-05
2.690100000000000158e+00,-1.362516849332072009e-05
2.700400000000000134e+00,-1.437073737662736465e-05
2.709799999999999986e+00,-1.439077495098190464e-05
2.724000000000000199e+00,-1.200020844135788531e-05
2.736699999999999910e+00,-1.502369325219334916e-05
2.746700000000000141e+00,-1.502849546680565586e-05
2.753099999999999881e+00,-1.427623856008004960e-05
2.763900000000000023e+00,-1.643459642239449977e-05
2.775500000000000078e+00,-1.481585549929123484e-05
2.786000000000000032e+00,-1.695524321002383269e-05
2.792899999999999938e+00,-1.468888213602877676e-05
2.805499999999999883e+00,-1.658239463932840947e-05
2.818299999999999805e+00,-1.622362774357538983e-05
2.828800000000000203e+00,-1.715144087799939360e-05
2.836699999999999999e+00,-1.554880636917566004e-05
2.849299999999999944e+00,-1.725831131325070085e-05
2.860899999999999999e+00,-1.708866417443809669e-05
2.869099999999999984e+00,-1.734510498932094539e-05
2.875900000000000123e+00,-1.678961769622287043e-05
2.891399999999999970e+00,-1.787601732946096899e-05
2.902899999999999814e+00,-2.070597101557926215e-05
2.914899999999999824e+00,-2.076001527242799367e-05
2.924100000000000144e+00,-1.745835174977492481e-05
2.935700000000000198e+00,-2.175261165867231424e-05
2.945199999999999818e+00,-1.983637293914376407e-05
2.956399999999999917e+00,-2.288242544171969079e-05
2.963299999999999823e+00,-2.233675001631713349e-05
2.973700000000000010e+00,-2.305946856614613324e-05
2.983099999999999863e+00,-1.979355248878866827e-05
2.993399999999999839e+00,-2.139603224175086439e-05
3.003899999999999793e+00,-2.300101296148271602e-05
3.014200000000000212e+00,-2.171773849369802991e-05
3.021500000000000075e+00,-2.214005890362539714e-05
3.033199999999999896e+00,-2.190235720367601912e-05
3.044700000000000184e+00,-2.366613929543688626e-05
3.059200000000000141e+00,-2.439459825985534224e-05
3.069500000000000117e+00,-2.102789289114469570e-05
3.081399999999999917e+00,-2.421858671235797874e-05
3.087200000000000166e+00,-2.608393809532264846e-05
3.101399999999999935e+00,-2.549071201582921880e-05
3.113500000000000156e+00,-2.440770610702858601e-05
