# B (T), \delta v/v
1.729999999999999941e-02,-0.000000000000000000e+00
3.470000000000000168e-02,7.919633254851229237e-07
5.170000000000000290e-02,-1.433825731255410074e-06
6.880000000000000004e-02,-2.487211547982194149e-06
8.599999999999999312e-02,-5.500159983085127317e-07
1.030999999999999972e-01,-4.272807176466388804e-07
1.202000000000000013e-01,-1.724744950531910837e-06
1.371999999999999886e-01,-8.866150585303022354e-07
1.542000000000000037e-01,1.188124416860795703e-06
1.715000000000000135e-01,-2.319628459050075524e-06
1.885999999999999899e-01,-1.424449268806841093e-06
2.056000000000000050e-01,-3.243995772587591944e-06
2.230999999999999928e-01,-2.012383020670458151e-06
2.403000000000000136e-01,-3.238818978930216915e-06
2.574000000000000177e-01,-2.586166484584045185e-06
2.746999999999999997e-01,-6.347572366781979898e-06
2.917000000000000148e-01,-4.725793010282406271e-06
3.086999999999999744e-01,-4.528983200557707041e-06
3.256999999999999895e-01,-4.616677030997383933e-06
3.432000000000000051e-01,-7.416355120842534022e-06
3.602000000000000202e-01,-5.345054309682291003e-06
3.771999999999999797e-01,-7.944299079155149384e-06
3.941999999999999948e-01,-8.971324733731447483e-06
4.114999999999999769e-01,-7.769807827469088794e-06
4.285999999999999810e-01,-1.008656778409949264e-05
4.455999999999999961e-01,-9.892516751301315067e-06
4.627000000000000002e-01,-1.153413341020481436e-05
4.798000000000000043e-01,-1.086240728576001431e-05
4.968000000000000194e-01,-1.066070551650983374e-05
5.139000000000000234e-01,-1.590101509397887818e-05
5.309000000000000385e-01,-1.472062365356950966e-05
5.481000000000000316e-01,-1.484610283451203729e-05
5.653000000000000247e-01,-1.657792825807176819e-05
5.823000000000000398e-01,-1.563008318261754361e-05
5.994000000000000439e-01,-1.873825878572317949e-05
6.163999999999999480e-01,-1.726904785711197736e-05
6.333999999999999631e-01,-1.947285771542625024e-05
6.503999999999999782e-01,-1.971738247088852532e-05
6.674999999999999822e-01,-2.252092173809505118e-05
6.846999999999999753e-01,-2.469092329016004750e-05
7.016999999999999904e-01,-2.486879863188617480e-05
7.187999999999999945e-01,-2.537119805691404766e-05
7.358999999999999986e-01,-2.740210014624076666e-05
7.531999999999999806e-01,-2.606906410334018697e-05
7.701999999999999957e-01,-2.687721096936724068e-05
7.872999999999999998e-01,-2.988697542769531263e-05
8.047999999999999599e-01,-3.191068157416200222e-05
8.218999999999999639e-01,-3.403419202927055669e-05
8.388999999999999790e-01,-3.503638267228414093e-05
8.560999999999999721e-01,-3.503810173581555810e-05
8.731999999999999762e-01,-3.656555672075945812e-05
8.901999999999999913e-01,-3.682844927406034460e-05
9.072999999999999954e-01,-3.905180607642545938e-05
9.244999999999999885e-01,-4.162350984082853608e-05
9.415000000000000036e-01,-4.288752868185745902e-05
9.586000000000000076e-01,-4.359903465160427254e-05
9.756000000000000227e-01,-4.632822102352830403e-05
9.926000000000000378e-01,-4.588504620456969633e-05
1.009800000000000031e+00,-4.875341062864405571e-05
1.026799999999999935e+00,-5.143329279466642189e-05
1.043900000000000050e+00,-5.318115136064221842e-05
1.060999999999999943e+00,-5.467873586644168187e-05
1.078200000000000047e+00,-5.552888897924709594e-05
1.095299999999999940e+00,-5.826688960337763094e-05
1.112300000000000066e+00,-5.958077145606482375e-05
1.129299999999999971e+00,-6.047844072253107388e-05
1.146500000000000075e+00,-6.234476592169077417e-05
1.163499999999999979e+00,-6.557149515987507025e-05
1.180600000000000094e+00,-6.827339359940406125e-05
1.197799999999999976e+00,-6.744885315188812059e-05
1.214800000000000102e+00,-7.208292137844452040e-05
1.231899999999999995e+00,-7.193806244231500547e-05
1.248899999999999899e+00,-7.447856692486930089e-05
1.266000000000000014e+00,-7.673670632719632170e-05
1.283099999999999907e+00,-7.914923951759093878e-05
1.300200000000000022e+00,-8.169149912293872723e-05
1.317299999999999915e+00,-8.223232679752657506e-05
1.334400000000000031e+00,-8.287924965468562743e-05
1.351499999999999924e+00,-8.654228050275345656e-05
1.368600000000000039e+00,-8.855643471001816932e-05
