# B (T), A/A(0)
7.000000000000000666e-02,9.981218516141204811e-01
7.184028336821768335e-02,9.996056875419337961e-01
7.368056673643536003e-02,1.000816991517869514e+00
7.552085010465303672e-02,1.001874597744966344e+00
7.736113347287071340e-02,1.002695457948592495e+00
7.920141684108839009e-02,1.003466883797333731e+00
8.104170020930608065e-02,1.004362530286749600e+00
8.288198357752375733e-02,1.005576738526057667e+00
8.472226694574143402e-02,1.006785054742862062e+00
8.656255031395911070e-02,1.007708911400886143e+00
8.840283368217678739e-02,1.008339896023946691e+00
9.024311705039446407e-02,1.008952763079570714e+00
9.208340041861214076e-02,1.009246214466062774e+00
9.392368378682983132e-02,1.008826471353889698e+00
9.576396715504750801e-02,1.007791145908343067e+00
9.760425052326518469e-02,1.006548818879763330e+00
9.944453389148286138e-02,1.005253530663627881e+00
1.012848172597005381e-01,1.003854834162137388e+00
1.031251006279182147e-01,1.002706714606373284e+00
1.049653839961358914e-01,1.001649061542573049e+00
1.068056673643535681e-01,1.000477083099066800e+00
1.086459507325712448e-01,9.989235439063648414e-01
1.104862341007889215e-01,9.974891874353880583e-01
1.123265174690065982e-01,9.966965284691264859e-01
1.141668008372242749e-01,9.963892869387499518e-01
1.160070842054419515e-01,9.964062585324364729e-01
1.178473675736596421e-01,9.965626318226290525e-01
1.196876509418773188e-01,9.971709047205267185e-01
1.215279343100949955e-01,9.977532307186144367e-01
1.233682176783126722e-01,9.983461836995189964e-01
1.252085010465303627e-01,9.991757191324838194e-01
1.270487844147480394e-01,9.999663300015519951e-01
1.288890677829657161e-01,1.000443979099488789e+00
1.307293511511833928e-01,1.000737049426990932e+00
1.325696345194010695e-01,1.000737403456879004e+00
1.344099178876187461e-01,1.000710232256509791e+00
1.362502012558364228e-01,1.000859653971943208e+00
1.380904846240540995e-01,1.000529468271091904e+00
1.399307679922717762e-01,1.000005229961808961e+00
1.417710513604894529e-01,9.994356672906875572e-01
1.436113347287071296e-01,9.989800553481046341e-01
1.454516180969248063e-01,9.985408778712761002e-01
1.472919014651424829e-01,9.983159358261132210e-01
1.491321848333601596e-01,9.982079430087476002e-01
1.509724682015778363e-01,9.980637818226804070e-01
1.528127515697955130e-01,9.982026029886436058e-01
1.546530349380131897e-01,9.984483209364570788e-01
1.564933183062308664e-01,9.991881456479311252e-01
1.583336016744485431e-01,1.000459173798891266e+00
1.601738850426662197e-01,1.001672345061839886e+00
1.620141684108838964e-01,1.002797822652249149e+00
1.638544517791016009e-01,1.004131845582036275e+00
1.656947351473192775e-01,1.005657406025025846e+00
1.675350185155369542e-01,1.007139520674645627e+00
1.693753018837546309e-01,1.008114647648747031e+00
1.712155852519723076e-01,1.008602774138181335e+00
1.730558686201899843e-01,1.009020679409971200e+00
1.748961519884076610e-01,1.009291553453488088e+00
1.767364353566253377e-01,1.009141384787004769e+00
1.785767187248430143e-01,1.008552351973407646e+00
1.804170020930607188e-01,1.007860122702131989e+00
1.822572854612783955e-01,1.006551720835393349e+00
1.840975688294960722e-01,1.004987929973865990e+00
1.859378521977137488e-01,1.003678509549681186e+00
1.877781355659314255e-01,1.002542783242255320e+00
1.896184189341491022e-01,1.001545366572155205e+00
1.914587023023667789e-01,1.000665775719739692e+00
1.932989856705844556e-01,9.997293714671954268e-01
1.951392690388021323e-01,9.990332544040063656e-01
1.969795524070198089e-01,9.986935939128587236e-01
1.988198357752374856e-01,9.983785498711210682e-01
2.006601191434551623e-01,9.982953613069260879e-01
2.025004025116728390e-01,9.985117457297177923e-01
2.043406858798905157e-01,9.989015771301678059e-01
2.061809692481081924e-01,9.994114057274597895e-01
2.080212526163258691e-01,1.000312411590728701e+00
2.098615359845435457e-01,1.001165407999126344e+00
2.117018193527612224e-01,1.001821324153576276e+00
2.135421027209788991e-01,1.002317670382987247e+00
2.153823860891965758e-01,1.002804109821687550e+00
2.172226694574142525e-01,1.003144019925388708e+00
2.190629528256319292e-01,1.003209930856979293e+00
2.209032361938496059e-01,1.002723645721836920e+00
2.227435195620673103e-01,1.002117627184351267e+00
2.245838029302849870e-01,1.001452687842877776e+00
2.264240862985026637e-01,1.000640576271251359e+00
2.282643696667203403e-01,9.996548924138027870e-01
2.301046530349380170e-01,9.986144337736833076e-01
2.319449364031556937e-01,9.974066100604214169e-01
2.337852197713733704e-01,9.962336463781332752e-01
2.356255031395910471e-01,9.951532051932584499e-01
2.374657865078087238e-01,9.944325694669553517e-01
2.393060698760264005e-01,9.943379378473730101e-01
2.411463532442440771e-01,9.945260730070023536e-01
2.429866366124617538e-01,9.946956200204500886e-01
2.448269199806794305e-01,9.950911327071644275e-01
2.466672033488971072e-01,9.959587375138212462e-01
2.485074867171147839e-01,9.969566344358194998e-01
2.503477700853324883e-01,9.979140843265587035e-01
2.521880534535501095e-01,9.986322645626206640e-01
2.540283368217678417e-01,9.991759966341565713e-01
2.558686201899855184e-01,9.997840825234838302e-01
2.577089035582031951e-01,1.000273062936346768e+00
2.595491869264208717e-01,1.000340013592125654e+00
2.613894702946385484e-01,1.000254075516793906e+00
2.632297536628562251e-01,9.997858310666896120e-01
2.650700370310739018e-01,9.985653693611789006e-01
2.669103203992915785e-01,9.971461316198219071e-01
2.687506037675092552e-01,9.961169067453907733e-01
2.705908871357269319e-01,9.955640193172231589e-01
2.724311705039446085e-01,9.954911234057532976e-01
2.742714538721622852e-01,9.954078951809209874e-01
2.761117372403799619e-01,9.953851387492057556e-01
2.779520206085976386e-01,9.957545576316834124e-01
2.797923039768153153e-01,9.964746858708393162e-01
2.816325873450329920e-01,9.972520271436150496e-01
2.834728707132506687e-01,9.985893979008313437e-01
2.853131540814683453e-01,1.000239439136394459e+00
2.871534374496860220e-01,1.001894922403017807e+00
2.889937208179037542e-01,1.003514416247877294e+00
2.908340041861213754e-01,1.004949880670217288e+00
2.926742875543391076e-01,1.006176169740533144e+00
2.945145709225567288e-01,1.006800344113095491e+00
2.963548542907744610e-01,1.007187303445397086e+00
2.981951376589920821e-01,1.007207925058317022e+00
3.000354210272098143e-01,1.007117721999145621e+00
3.018757043954274355e-01,1.006882209152067942e+00
3.037159877636451677e-01,1.006508197128487714e+00
3.055562711318627889e-01,1.006366869129990738e+00
3.073965545000805211e-01,1.006272228758873677e+00
3.092368378682981422e-01,1.005933464322517290e+00
3.110771212365158744e-01,1.005072558981599640e+00
3.129174046047334956e-01,1.004245830163945863e+00
3.147576879729512278e-01,1.003729730935516651e+00
3.165979713411688490e-01,1.003628124771783092e+00
3.184382547093865812e-01,1.003636135541570384e+00
3.202785380776042579e-01,1.004013226858405883e+00
3.221188214458219345e-01,1.004103496094222336e+00
3.239591048140396112e-01,1.003751694216594048e+00
3.257993881822572879e-01,1.003365416879028471e+00
3.276396715504749646e-01,1.003101134240754311e+00
3.294799549186926413e-01,1.003221421846180350e+00
3.313202382869103180e-01,1.003433275570826844e+00
3.331605216551279947e-01,1.003477800779768447e+00
3.350008050233456713e-01,1.003291076677012228e+00
3.368410883915633480e-01,1.003324875167119101e+00
3.386813717597810247e-01,1.003185017970165793e+00
3.405216551279987014e-01,1.003083550366246746e+00
3.423619384962163781e-01,1.003283566326327536e+00
3.442022218644340548e-01,1.003444481434401014e+00
3.460425052326517315e-01,1.003489269779725745e+00
3.478827886008694081e-01,1.003875970145639673e+00
3.497230719690870848e-01,1.004579339108250702e+00
3.515633553373047615e-01,1.005489955727322027e+00
3.534036387055224382e-01,1.006580609233325374e+00
3.552439220737401149e-01,1.007136452628311529e+00
3.570842054419577916e-01,1.007377728205169687e+00
3.589244888101754682e-01,1.007623825310185461e+00
3.607647721783931449e-01,1.008050740203440432e+00
3.626050555466108216e-01,1.008892274058952987e+00
3.644453389148284983e-01,1.010143196162880841e+00
3.662856222830461750e-01,1.011246575309762585e+00
3.681259056512638517e-01,1.011700980439203201e+00
3.699661890194815284e-01,1.012215973182807760e+00
3.718064723876992050e-01,1.012567704364859322e+00
3.736467557559169372e-01,1.012889976066143616e+00
3.754870391241346139e-01,1.013258241254315850e+00
3.773273224923522906e-01,1.013341644775813677e+00
3.791676058605699673e-01,1.013241042795786084e+00
3.810078892287876440e-01,1.013088007292288761e+00
3.828481725970053207e-01,1.012723242569417037e+00
3.846884559652229973e-01,1.012100133343511121e+00
3.865287393334406740e-01,1.011303823216353814e+00
3.883690227016583507e-01,1.010523572864392650e+00
3.902093060698760274e-01,1.009682618547678379e+00
3.920495894380937041e-01,1.008797658884200699e+00
3.938898728063113808e-01,1.008402755544655971e+00
3.957301561745290575e-01,1.008378523188441012e+00
3.975704395427467341e-01,1.008855718953354241e+00
3.994107229109644108e-01,1.009292325416490721e+00
4.012510062791820875e-01,1.009767475607512566e+00
4.030912896473997642e-01,1.010663401719501531e+00
4.049315730156174409e-01,1.011770830136781596e+00
4.067718563838351176e-01,1.013101282968687400e+00
4.086121397520527943e-01,1.014182273938560197e+00
4.104524231202704709e-01,1.015310265076598384e+00
4.122927064884881476e-01,1.016404999557920519e+00
4.141329898567058243e-01,1.016959758729601759e+00
4.159732732249235010e-01,1.017285998040670103e+00
4.178135565931411777e-01,1.017583500882031311e+00
4.196538399613588544e-01,1.017832060417796614e+00
4.214941233295765310e-01,1.017379534707567590e+00
4.233344066977942077e-01,1.016707364095537081e+00
4.251746900660118844e-01,1.015722391715130346e+00
4.270149734342295611e-01,1.014567893554131350e+00
4.288552568024472378e-01,1.013086179576688339e+00
4.306955401706649145e-01,1.011473472526640549e+00
4.325358235388825912e-01,1.009710590046318135e+00
4.343761069071002678e-01,1.008515160896313656e+00
4.362163902753179445e-01,1.007410859978671080e+00
4.380566736435356212e-01,1.006160215920106182e+00
4.398969570117532979e-01,1.005320314608203924e+00
4.417372403799710301e-01,1.004647849189048481e+00
4.435775237481887068e-01,1.003680861948972991e+00
4.454178071164063835e-01,1.002620294855655514e+00
4.472580904846240601e-01,1.002018171776033251e+00
4.490983738528417368e-01,1.001349755388902363e+00
4.509386572210594135e-01,1.001074028709127095e+00
4.527789405892770902e-01,1.001061249818119947e+00
4.546192239574947669e-01,1.001131576089468345e+00
4.564595073257124436e-01,1.001411502836214718e+00
4.582997906939301203e-01,1.001928007453081859e+00
4.601400740621477969e-01,1.001895842208422094e+00
4.619803574303654736e-01,1.002003253335170818e+00
4.638206407985831503e-01,1.002649699650233206e+00
4.656609241668008270e-01,1.003563683666943485e+00
4.675012075350185037e-01,1.004610930050541251e+00
4.693414909032361804e-01,1.005848229168305741e+00
4.711817742714538571e-01,1.007052451716807351e+00
4.730220576396715337e-01,1.007950878962250441e+00
4.748623410078892104e-01,1.008549042570560994e+00
4.767026243761068871e-01,1.008638035441401515e+00
4.785429077443245638e-01,1.008586839459038265e+00
4.803831911125422405e-01,1.008421400040667715e+00
4.822234744807599172e-01,1.007662099582721016e+00
4.840637578489775938e-01,1.006487936220770374e+00
4.859040412171952705e-01,1.005319674795747131e+00
4.877443245854129472e-01,1.004284047963730275e+00
4.895846079536306239e-01,1.003101420881532535e+00
4.914248913218483006e-01,1.001353334491254410e+00
4.932651746900659773e-01,9.991795535412990592e-01
4.951054580582836540e-01,9.970029798605831717e-01
4.969457414265013306e-01,9.950771315843569553e-01
4.987860247947190073e-01,9.933035902363105407e-01
5.006263081629367395e-01,9.919384690242758484e-01
5.024665915311543607e-01,9.909393483434822958e-01
5.043068748993719819e-01,9.896819794132805104e-01
5.061471582675897141e-01,9.886413153656131714e-01
5.079874416358074463e-01,9.879328792263326608e-01
5.098277250040250674e-01,9.874867177944713914e-01
5.116680083722427996e-01,9.876480614909116662e-01
5.135082917404605318e-01,9.880275049864334358e-01
5.153485751086781530e-01,9.884095019595913190e-01
5.171888584768957742e-01,9.890904159790011585e-01
5.190291418451135064e-01,9.900384103158946791e-01
5.208694252133312386e-01,9.911757357066266483e-01
5.227097085815488597e-01,9.924796775125611648e-01
5.245499919497664809e-01,9.940119540127376752e-01
5.263902753179842131e-01,9.952957769895912632e-01
5.282305586862019453e-01,9.964975544960903431e-01
5.300708420544195665e-01,9.979944399224158769e-01
5.319111254226371877e-01,9.993031335189657138e-01
5.337514087908549199e-01,1.000903315324677356e+00
5.355916921590726520e-01,1.002826399670137203e+00
5.374319755272902732e-01,1.004511905481444201e+00
5.392722588955078944e-01,1.006166704177960725e+00
5.411125422637256266e-01,1.007799127741931589e+00
5.429528256319433588e-01,1.009324715407471817e+00
5.447931090001609800e-01,1.011000620639176173e+00
5.466333923683786011e-01,1.012604962055852598e+00
5.484736757365963333e-01,1.013867252529496721e+00
5.503139591048140655e-01,1.014765992285100227e+00
5.521542424730316867e-01,1.015482072472588149e+00
5.539945258412493079e-01,1.015692480715571389e+00
5.558348092094670401e-01,1.015498141947397404e+00
5.576750925776847723e-01,1.015342244830680363e+00
5.595153759459023934e-01,1.015074598576271248e+00
5.613556593141200146e-01,1.014491790020169315e+00
5.631959426823377468e-01,1.013539027129178871e+00
5.650362260505554790e-01,1.012167768098625631e+00
5.668765094187731002e-01,1.010997473516115353e+00
5.687167927869907214e-01,1.010223124588339072e+00
5.705570761552085646e-01,1.009585824228373507e+00
5.723973595234261857e-01,1.008945992451343310e+00
5.742376428916438069e-01,1.008581696269920114e+00
5.760779262598614281e-01,1.008545483594015080e+00
5.779182096280792713e-01,1.008462677672940178e+00
5.797584929962968925e-01,1.008782086252216104e+00
5.815987763645145137e-01,1.009481516276630853e+00
5.834390597327321348e-01,1.010107547376346337e+00
5.852793431009499781e-01,1.010275548297406401e+00
5.871196264691675992e-01,1.010228385844935239e+00
5.889599098373852204e-01,1.010597904853513418e+00
5.908001932056028416e-01,1.011382619614187295e+00
5.926404765738206848e-01,1.012177288275007303e+00
5.944807599420383060e-01,1.012093034080439713e+00
5.963210433102559271e-01,1.011670880127487848e+00
5.981613266784735483e-01,1.011262576611289488e+00
6.000016100466913915e-01,1.010677351173661975e+00
6.018418934149090127e-01,1.010478359750848654e+00
6.036821767831266339e-01,1.010973170540158561e+00
6.055224601513442551e-01,1.011840357936688806e+00
6.073627435195620983e-01,1.012398341149091108e+00
6.092030268877797194e-01,1.012656293948604569e+00
6.110433102559973406e-01,1.013188572569451606e+00
6.128835936242151838e-01,1.014141725809903916e+00
6.147238769924328050e-01,1.015181329958088741e+00
6.165641603606504262e-01,1.015972785221779029e+00
6.184044437288680474e-01,1.016356978357035645e+00
6.202447270970858906e-01,1.016901778652896216e+00
6.220850104653035118e-01,1.017271672448040842e+00
6.239252938335211329e-01,1.017509928167398048e+00
6.257655772017387541e-01,1.017857718412757517e+00
6.276058605699565973e-01,1.017953443140348080e+00
6.294461439381742185e-01,1.017907482713918510e+00
6.312864273063918397e-01,1.017180073492727210e+00
6.331267106746094608e-01,1.016674415112402086e+00
6.349669940428273041e-01,1.016521415734621181e+00
6.368072774110449252e-01,1.016222604332425394e+00
6.386475607792625464e-01,1.015994393063547330e+00
6.404878441474801676e-01,1.015481905641394400e+00
6.423281275156980108e-01,1.014456689563439484e+00
6.441684108839156320e-01,1.013318996376284753e+00
6.460086942521332531e-01,1.012436705411757343e+00
6.478489776203508743e-01,1.011963641448991424e+00
6.496892609885687175e-01,1.011582962694862475e+00
6.515295443567863387e-01,1.011274662950842229e+00
6.533698277250039599e-01,1.010835906599134359e+00
6.552101110932215811e-01,1.010271003016628422e+00
6.570503944614394243e-01,1.010125609857643436e+00
6.588906778296570455e-01,1.009891074201353600e+00
6.607309611978746666e-01,1.009880079160531574e+00
6.625712445660922878e-01,1.010412539972709522e+00
6.644115279343101310e-01,1.010943711559022962e+00
6.662518113025277522e-01,1.011168912291707356e+00
6.680920946707453734e-01,1.011228787859604905e+00
6.699323780389629945e-01,1.011428803731755588e+00
6.717726614071808378e-01,1.011279739783975007e+00
6.736129447753984589e-01,1.010703994810588702e+00
6.754532281436160801e-01,1.009986623998723854e+00
6.772935115118339233e-01,1.008983440369174200e+00
6.791337948800515445e-01,1.007883730120001653e+00
6.809740782482691657e-01,1.006962566831454797e+00
