# B (T), A/A(0)
7.000000000000000666e-02,9.876799692350411997e-01
7.184028336821768335e-02,9.873242117778920912e-01
7.368056673643536003e-02,9.868293444195336273e-01
7.552085010465303672e-02,9.867950566030323500e-01
7.736113347287071340e-02,9.868848461103134628e-01
7.920141684108839009e-02,9.869340656588844185e-01
8.104170020930608065e-02,9.872264508867918398e-01
8.288198357752375733e-02,9.879384232006368505e-01
8.472226694574143402e-02,9.878938607871282640e-01
8.656255031395911070e-02,9.880512290734833059e-01
8.840283368217678739e-02,9.888874971899423993e-01
9.024311705039446407e-02,9.902730304392639571e-01
9.208340041861214076e-02,9.921633428951379674e-01
9.392368378682983132e-02,9.942471517314587226e-01
9.576396715504750801e-02,9.964691610428056956e-01
9.760425052326518469e-02,9.990276683044677641e-01
9.944453389148286138e-02,1.001886079337604762e+00
1.012848172597005381e-01,1.004332194535165979e+00
1.031251006279182147e-01,1.006489491721736851e+00
1.049653839961358914e-01,1.008851206254570476e+00
1.068056673643535681e-01,1.011032802641564476e+00
1.086459507325712448e-01,1.012769625906792870e+00
1.104862341007889215e-01,1.014533751173794851e+00
1.123265174690065982e-01,1.016314858128025467e+00
1.141668008372242749e-01,1.017932537983095465e+00
1.160070842054419515e-01,1.019541213544471470e+00
1.178473675736596421e-01,1.020876425185755831e+00
1.196876509418773188e-01,1.021563864811811717e+00
1.215279343100949955e-01,1.021908612660641591e+00
1.233682176783126722e-01,1.022055030877604853e+00
1.252085010465303627e-01,1.021956449268541123e+00
1.270487844147480394e-01,1.021641569251332982e+00
1.288890677829657161e-01,1.020980012526694125e+00
1.307293511511833928e-01,1.019703095321597974e+00
1.325696345194010695e-01,1.018056831888150215e+00
1.344099178876187461e-01,1.015989162689392655e+00
1.362502012558364228e-01,1.013497123389009325e+00
1.380904846240540995e-01,1.011498680668514227e+00
1.399307679922717762e-01,1.009646764609576364e+00
1.417710513604894529e-01,1.007650658968936908e+00
1.436113347287071296e-01,1.005467757984510380e+00
1.454516180969248063e-01,1.003620618388850527e+00
1.472919014651424829e-01,1.002460066283721307e+00
1.491321848333601596e-01,1.001568766397217036e+00
1.509724682015778363e-01,1.000969230779242158e+00
1.528127515697955130e-01,1.000676515350831020e+00
1.546530349380131897e-01,1.000962927495563148e+00
1.564933183062308664e-01,1.001530383595762519e+00
1.583336016744485431e-01,1.002027835908769759e+00
1.601738850426662197e-01,1.002716029066719861e+00
1.620141684108838964e-01,1.003606907285484073e+00
1.638544517791016009e-01,1.004133251006868788e+00
1.656947351473192775e-01,1.004273617470571311e+00
1.675350185155369542e-01,1.004025436452667952e+00
1.693753018837546309e-01,1.003838322925365345e+00
1.712155852519723076e-01,1.003746843759627305e+00
1.730558686201899843e-01,1.003254553242444391e+00
1.748961519884076610e-01,1.002411205459482479e+00
1.767364353566253377e-01,1.001576459837200783e+00
1.785767187248430143e-01,1.001358992819177507e+00
1.804170020930607188e-01,1.001512598245340113e+00
1.822572854612783955e-01,1.001958055945634252e+00
1.840975688294960722e-01,1.003104527696191184e+00
1.859378521977137488e-01,1.005000724958636571e+00
1.877781355659314255e-01,1.007046179394291752e+00
1.896184189341491022e-01,1.008943114003545860e+00
1.914587023023667789e-01,1.010961150427718280e+00
1.932989856705844556e-01,1.013356396180174368e+00
1.951392690388021323e-01,1.015826547335929586e+00
1.969795524070198089e-01,1.018037970857047059e+00
1.988198357752374856e-01,1.019538587698957111e+00
2.006601191434551623e-01,1.020688982116017440e+00
2.025004025116728390e-01,1.021485689750833092e+00
2.043406858798905157e-01,1.021587371753131190e+00
2.061809692481081924e-01,1.021145086079243924e+00
2.080212526163258691e-01,1.020531208006052459e+00
2.098615359845435457e-01,1.019568789625455052e+00
2.117018193527612224e-01,1.017928549894897783e+00
2.135421027209788991e-01,1.015849942437964115e+00
2.153823860891965758e-01,1.013749949401406836e+00
2.172226694574142525e-01,1.011744363812132841e+00
2.190629528256319292e-01,1.010105766795754034e+00
2.209032361938496059e-01,1.008531618324157497e+00
2.227435195620673103e-01,1.006806865294212594e+00
2.245838029302849870e-01,1.005410036243339134e+00
2.264240862985026637e-01,1.004179967765070680e+00
2.282643696667203403e-01,1.003143709259925354e+00
2.301046530349380170e-01,1.002432489563072515e+00
2.319449364031556937e-01,1.001917555384151504e+00
2.337852197713733704e-01,1.001706224883392560e+00
2.356255031395910471e-01,1.001632311153292987e+00
2.374657865078087238e-01,1.001708426137649655e+00
2.393060698760264005e-01,1.002062913041150916e+00
2.411463532442440771e-01,1.002584776494842123e+00
2.429866366124617538e-01,1.003449265525796053e+00
2.448269199806794305e-01,1.004308634405485900e+00
2.466672033488971072e-01,1.005335496008825436e+00
2.485074867171147839e-01,1.006759827413748143e+00
2.503477700853324883e-01,1.008441440590873928e+00
2.521880534535501095e-01,1.010316617063767630e+00
2.540283368217678417e-01,1.012161669049823631e+00
2.558686201899855184e-01,1.013724167105041873e+00
2.577089035582031951e-01,1.015238387153092559e+00
2.595491869264208717e-01,1.016452758612201190e+00
2.613894702946385484e-01,1.017338877472224734e+00
2.632297536628562251e-01,1.017910008121857501e+00
2.650700370310739018e-01,1.018381196018093737e+00
2.669103203992915785e-01,1.018686358086539956e+00
2.687506037675092552e-01,1.018471082427151897e+00
2.705908871357269319e-01,1.018126273555105543e+00
2.724311705039446085e-01,1.017478612589668874e+00
2.742714538721622852e-01,1.016849310941657425e+00
2.761117372403799619e-01,1.016241045698894174e+00
2.779520206085976386e-01,1.015863254562537898e+00
2.797923039768153153e-01,1.015658531067668013e+00
2.816325873450329920e-01,1.015624993987163105e+00
2.834728707132506687e-01,1.016018032240110669e+00
2.853131540814683453e-01,1.016524618222489407e+00
2.871534374496860220e-01,1.017525331279370615e+00
2.889937208179037542e-01,1.018908788298847012e+00
2.908340041861213754e-01,1.020625063512501596e+00
2.926742875543391076e-01,1.022643470093084650e+00
2.945145709225567288e-01,1.024455510511507184e+00
2.963548542907744610e-01,1.025611430979502803e+00
2.981951376589920821e-01,1.026521964990597890e+00
3.000354210272098143e-01,1.027248219038488175e+00
3.018757043954274355e-01,1.027818182037334882e+00
3.037159877636451677e-01,1.027764812226887425e+00
3.055562711318627889e-01,1.027496049154180024e+00
3.073965545000805211e-01,1.027093184067734644e+00
3.092368378682981422e-01,1.025970594166991878e+00
3.110771212365158744e-01,1.024545879428786499e+00
3.129174046047334956e-01,1.022516809084405676e+00
3.147576879729512278e-01,1.020403424583024909e+00
3.165979713411688490e-01,1.018240082898463905e+00
3.184382547093865812e-01,1.015796590627263685e+00
3.202785380776042579e-01,1.013589410919507383e+00
3.221188214458219345e-01,1.011687157781181901e+00
3.239591048140396112e-01,1.009897365828981153e+00
3.257993881822572879e-01,1.008029127563826899e+00
3.276396715504749646e-01,1.006237781977379564e+00
3.294799549186926413e-01,1.005112598605648611e+00
3.313202382869103180e-01,1.004404269273356576e+00
3.331605216551279947e-01,1.003964135470525987e+00
3.350008050233456713e-01,1.004185641728056799e+00
3.368410883915633480e-01,1.004751798359612369e+00
3.386813717597810247e-01,1.005924719247811350e+00
3.405216551279987014e-01,1.006878189595640238e+00
3.423619384962163781e-01,1.007795188537036424e+00
3.442022218644340548e-01,1.008848331448623625e+00
3.460425052326517315e-01,1.009762778641393188e+00
3.478827886008694081e-01,1.010491541166720575e+00
3.497230719690870848e-01,1.011041921349692396e+00
3.515633553373047615e-01,1.011862800199144763e+00
3.534036387055224382e-01,1.012830318007398978e+00
3.552439220737401149e-01,1.013233950475648903e+00
3.570842054419577916e-01,1.013456285482995378e+00
3.589244888101754682e-01,1.013536921387882428e+00
3.607647721783931449e-01,1.013252385499552988e+00
3.626050555466108216e-01,1.012772661193370505e+00
3.644453389148284983e-01,1.012216333569481819e+00
3.662856222830461750e-01,1.012083226679930892e+00
3.681259056512638517e-01,1.012218611266581414e+00
3.699661890194815284e-01,1.012155256526380498e+00
3.718064723876992050e-01,1.011962799522131640e+00
3.736467557559169372e-01,1.011962086971640806e+00
3.754870391241346139e-01,1.012199640273395485e+00
3.773273224923522906e-01,1.012070119163711590e+00
3.791676058605699673e-01,1.011691058540473476e+00
3.810078892287876440e-01,1.011715999487772022e+00
3.828481725970053207e-01,1.011796081319034091e+00
3.846884559652229973e-01,1.011584514166041782e+00
3.865287393334406740e-01,1.011151114646272609e+00
3.883690227016583507e-01,1.010494161429100313e+00
3.902093060698760274e-01,1.009495719241155776e+00
3.920495894380937041e-01,1.008220103957181868e+00
3.938898728063113808e-01,1.006534525174356265e+00
3.957301561745290575e-01,1.005026282092287948e+00
3.975704395427467341e-01,1.003993279676138162e+00
3.994107229109644108e-01,1.003159643820065616e+00
4.012510062791820875e-01,1.002419721898578198e+00
4.030912896473997642e-01,1.001799924355970983e+00
4.049315730156174409e-01,1.001239558527409645e+00
4.067718563838351176e-01,1.000768745892169020e+00
4.086121397520527943e-01,1.000030036429401248e+00
4.104524231202704709e-01,9.995141064877052228e-01
4.122927064884881476e-01,9.993689091814739189e-01
4.141329898567058243e-01,9.998906916701679748e-01
4.159732732249235010e-01,1.000596409459136860e+00
4.178135565931411777e-01,1.001255178391441847e+00
4.196538399613588544e-01,1.002175257848959111e+00
4.214941233295765310e-01,1.003090840015621987e+00
4.233344066977942077e-01,1.004042024460364724e+00
4.251746900660118844e-01,1.005118435159881862e+00
4.270149734342295611e-01,1.006571969022811208e+00
4.288552568024472378e-01,1.008008714738156231e+00
4.306955401706649145e-01,1.009429496342070465e+00
4.325358235388825912e-01,1.010522762256556684e+00
4.343761069071002678e-01,1.011668051240324440e+00
4.362163902753179445e-01,1.013104042969457774e+00
4.380566736435356212e-01,1.014499388667998492e+00
4.398969570117532979e-01,1.015482566281809440e+00
4.417372403799710301e-01,1.016166866417993475e+00
4.435775237481887068e-01,1.016763678077212685e+00
4.454178071164063835e-01,1.016927981522646851e+00
4.472580904846240601e-01,1.017023247205022463e+00
4.490983738528417368e-01,1.017204682082091916e+00
4.509386572210594135e-01,1.017324727856417921e+00
4.527789405892770902e-01,1.017210866404863356e+00
4.546192239574947669e-01,1.017288296246345425e+00
4.564595073257124436e-01,1.017203043950820840e+00
4.582997906939301203e-01,1.017280640737435737e+00
4.601400740621477969e-01,1.017483673606424555e+00
4.619803574303654736e-01,1.017539534552379665e+00
4.638206407985831503e-01,1.017353317298508752e+00
4.656609241668008270e-01,1.017040875459840343e+00
4.675012075350185037e-01,1.017091114848562849e+00
4.693414909032361804e-01,1.017713541432386792e+00
4.711817742714538571e-01,1.018547319709547816e+00
4.730220576396715337e-01,1.019148947192379362e+00
4.748623410078892104e-01,1.019204428490752212e+00
4.767026243761068871e-01,1.018977138774478153e+00
4.785429077443245638e-01,1.018425183143596202e+00
4.803831911125422405e-01,1.017828346910070403e+00
4.822234744807599172e-01,1.017621037562463249e+00
4.840637578489775938e-01,1.017749020048593689e+00
4.859040412171952705e-01,1.017880393468802769e+00
4.877443245854129472e-01,1.017766179548346583e+00
4.895846079536306239e-01,1.017481254937225410e+00
4.914248913218483006e-01,1.017235840464702168e+00
4.932651746900659773e-01,1.016992008692946481e+00
4.951054580582836540e-01,1.016512961582907160e+00
4.969457414265013306e-01,1.016312814469557457e+00
4.987860247947190073e-01,1.016634519048241314e+00
5.006263081629367395e-01,1.017047528723157068e+00
5.024665915311543607e-01,1.017070650689531730e+00
5.043068748993719819e-01,1.017006988919773258e+00
5.061471582675897141e-01,1.016669536310616406e+00
5.079874416358074463e-01,1.016260202300531379e+00
5.098277250040250674e-01,1.015301779500264123e+00
5.116680083722427996e-01,1.014042268840720684e+00
5.135082917404605318e-01,1.012834979247202449e+00
5.153485751086781530e-01,1.011802025302343644e+00
5.171888584768957742e-01,1.010768755286880705e+00
5.190291418451135064e-01,1.009779328323369807e+00
5.208694252133312386e-01,1.009110859274793048e+00
