# B (T), A/A(0)
7.000000000000000666e-02,1.004966719962508526e+00
7.184028336821768335e-02,1.007098027049648126e+00
7.368056673643536003e-02,1.008586858905473171e+00
7.552085010465303672e-02,1.009827539638614935e+00
7.736113347287071340e-02,1.010881518361713471e+00
7.920141684108839009e-02,1.012016672569959530e+00
8.104170020930608065e-02,1.013077339715902747e+00
8.288198357752375733e-02,1.013991499116198680e+00
8.472226694574143402e-02,1.015904092017513749e+00
8.656255031395911070e-02,1.017795597509460359e+00
8.840283368217678739e-02,1.019713473599611175e+00
9.024311705039446407e-02,1.021652677341195581e+00
9.208340041861214076e-02,1.023213508199873667e+00
9.392368378682983132e-02,1.024450699590160774e+00
9.576396715504750801e-02,1.025329059057860981e+00
9.760425052326518469e-02,1.026185669010001522e+00
9.944453389148286138e-02,1.026569829924728117e+00
1.012848172597005381e-01,1.026669981770965467e+00
1.031251006279182147e-01,1.026602965208534890e+00
1.049653839961358914e-01,1.026318544927242726e+00
1.068056673643535681e-01,1.025593739450201491e+00
1.086459507325712448e-01,1.024248889741197210e+00
1.104862341007889215e-01,1.022590130519442475e+00
1.123265174690065982e-01,1.020984051162921569e+00
1.141668008372242749e-01,1.019165264448504749e+00
1.160070842054419515e-01,1.017214183742497946e+00
1.178473675736596421e-01,1.015664144459190732e+00
1.196876509418773188e-01,1.014114695773233432e+00
1.215279343100949955e-01,1.012102490915936182e+00
1.233682176783126722e-01,1.010419910234998220e+00
1.252085010465303627e-01,1.009631539367267683e+00
1.270487844147480394e-01,1.009484873998012455e+00
1.288890677829657161e-01,1.009633836554454378e+00
1.307293511511833928e-01,1.010016096810952169e+00
1.325696345194010695e-01,1.010732170236166683e+00
1.344099178876187461e-01,1.011932044920553775e+00
1.362502012558364228e-01,1.013442054517561530e+00
1.380904846240540995e-01,1.014780620951698076e+00
1.399307679922717762e-01,1.016482308303641613e+00
1.417710513604894529e-01,1.018495646523709608e+00
1.436113347287071296e-01,1.020200454899448772e+00
1.454516180969248063e-01,1.020926349468221250e+00
1.472919014651424829e-01,1.021442822800253447e+00
1.491321848333601596e-01,1.022142347627331915e+00
1.509724682015778363e-01,1.023036372309534814e+00
1.528127515697955130e-01,1.023603754301259938e+00
1.546530349380131897e-01,1.023597454418376129e+00
1.564933183062308664e-01,1.023138302743624717e+00
1.583336016744485431e-01,1.022576910416359786e+00
1.601738850426662197e-01,1.022209991453308486e+00
1.620141684108838964e-01,1.021829859065764623e+00
1.638544517791016009e-01,1.021815911744955230e+00
1.656947351473192775e-01,1.022172957991274611e+00
1.675350185155369542e-01,1.022495181406133602e+00
1.693753018837546309e-01,1.022445555106658022e+00
1.712155852519723076e-01,1.022562961078925081e+00
1.730558686201899843e-01,1.022781082524798935e+00
1.748961519884076610e-01,1.023213083923091293e+00
1.767364353566253377e-01,1.023402339952885765e+00
1.785767187248430143e-01,1.023744078605980379e+00
1.804170020930607188e-01,1.024377531359685678e+00
1.822572854612783955e-01,1.024874240211168130e+00
1.840975688294960722e-01,1.025341111755791346e+00
1.859378521977137488e-01,1.025478166933138091e+00
1.877781355659314255e-01,1.024867423588764703e+00
1.896184189341491022e-01,1.024015899057060475e+00
1.914587023023667789e-01,1.022913756949395125e+00
1.932989856705844556e-01,1.021570759259981642e+00
1.951392690388021323e-01,1.019990694335351167e+00
1.969795524070198089e-01,1.018498443415965404e+00
1.988198357752374856e-01,1.017169345872362296e+00
2.006601191434551623e-01,1.015596314934960276e+00
2.025004025116728390e-01,1.014083991822827269e+00
2.043406858798905157e-01,1.012215938812257132e+00
2.061809692481081924e-01,1.010619936440494415e+00
2.080212526163258691e-01,1.009527411349840920e+00
2.098615359845435457e-01,1.008148242285255902e+00
2.117018193527612224e-01,1.006857158211139858e+00
2.135421027209788991e-01,1.006356714212075731e+00
2.153823860891965758e-01,1.006367422493114061e+00
2.172226694574142525e-01,1.006197355952973549e+00
2.190629528256319292e-01,1.005673542512416807e+00
2.209032361938496059e-01,1.005214121706168307e+00
2.227435195620673103e-01,1.004932113508249625e+00
2.245838029302849870e-01,1.004650942569325967e+00
2.264240862985026637e-01,1.004236984111052555e+00
2.282643696667203403e-01,1.003736605176205332e+00
2.301046530349380170e-01,1.003679847806918657e+00
2.319449364031556937e-01,1.003225547220924829e+00
2.337852197713733704e-01,1.002511544693077239e+00
2.356255031395910471e-01,1.002321952042116715e+00
2.374657865078087238e-01,1.002536055597825326e+00
2.393060698760264005e-01,1.002696948352548523e+00
2.411463532442440771e-01,1.002404165297463345e+00
2.429866366124617538e-01,1.002325336837484260e+00
2.448269199806794305e-01,1.002771396166825202e+00
2.466672033488971072e-01,1.003783701405353668e+00
2.485074867171147839e-01,1.005042195555202911e+00
2.503477700853324883e-01,1.006090679400110544e+00
2.521880534535501095e-01,1.007036137379430984e+00
2.540283368217678417e-01,1.007579709042477623e+00
2.558686201899855184e-01,1.007729006436180130e+00
2.577089035582031951e-01,1.007987492676807983e+00
2.595491869264208717e-01,1.008433144603333220e+00
2.613894702946385484e-01,1.008826385199616205e+00
2.632297536628562251e-01,1.008783259723301295e+00
2.650700370310739018e-01,1.008544321881081451e+00
2.669103203992915785e-01,1.008023063579035483e+00
2.687506037675092552e-01,1.007165030671339556e+00
2.705908871357269319e-01,1.006673993090578367e+00
2.724311705039446085e-01,1.006287469421967007e+00
2.742714538721622852e-01,1.006190238751161647e+00
2.761117372403799619e-01,1.006401212547263668e+00
2.779520206085976386e-01,1.006562093889320719e+00
2.797923039768153153e-01,1.007140481532381004e+00
2.816325873450329920e-01,1.008124564388543698e+00
2.834728707132506687e-01,1.009254459998359277e+00
2.853131540814683453e-01,1.010469598611466013e+00
2.871534374496860220e-01,1.011855771911946755e+00
2.889937208179037542e-01,1.013606992209787894e+00
2.908340041861213754e-01,1.015500098731348499e+00
2.926742875543391076e-01,1.017730271210202542e+00
2.945145709225567288e-01,1.019888697684638634e+00
2.963548542907744610e-01,1.021750521077941398e+00
2.981951376589920821e-01,1.023463052136007745e+00
3.000354210272098143e-01,1.024467395335316500e+00
3.018757043954274355e-01,1.025386408432512608e+00
3.037159877636451677e-01,1.026618535353218453e+00
3.055562711318627889e-01,1.028002574063669794e+00
3.073965545000805211e-01,1.029094881002127426e+00
3.092368378682981422e-01,1.030120603048737538e+00
3.110771212365158744e-01,1.030800886424491081e+00
3.129174046047334956e-01,1.030928367824236469e+00
3.147576879729512278e-01,1.030515758510909929e+00
3.165979713411688490e-01,1.029921003813447422e+00
3.184382547093865812e-01,1.029341558824913294e+00
3.202785380776042579e-01,1.029111529654727519e+00
3.221188214458219345e-01,1.028579927394673632e+00
3.239591048140396112e-01,1.027946012276125032e+00
3.257993881822572879e-01,1.027793867883560752e+00
3.276396715504749646e-01,1.027587987872164099e+00
3.294799549186926413e-01,1.026880207576732706e+00
3.313202382869103180e-01,1.025949580609127665e+00
3.331605216551279947e-01,1.025223903810957182e+00
3.350008050233456713e-01,1.024781980524951619e+00
3.368410883915633480e-01,1.024770439346649464e+00
3.386813717597810247e-01,1.025324557908593892e+00
3.405216551279987014e-01,1.026266641192862705e+00
3.423619384962163781e-01,1.027369980310465225e+00
3.442022218644340548e-01,1.027557916351703238e+00
3.460425052326517315e-01,1.026754425241616309e+00
3.478827886008694081e-01,1.025848203502803369e+00
3.497230719690870848e-01,1.024976924977480719e+00
3.515633553373047615e-01,1.023737538243356449e+00
3.534036387055224382e-01,1.022172756243536762e+00
3.552439220737401149e-01,1.020461388783718393e+00
3.570842054419577916e-01,1.018252876296305454e+00
