# B (T), A/A(0)
7.000000000000000666e-02,9.976257368317352769e-01
7.184028336821768335e-02,9.974232111254532906e-01
7.368056673643536003e-02,9.974637992429218336e-01
7.552085010465303672e-02,9.972843197130105697e-01
7.736113347287071340e-02,9.974758186501987423e-01
7.920141684108839009e-02,9.977228572498103576e-01
8.104170020930608065e-02,9.980368776348573778e-01
8.288198357752375733e-02,9.985414555653863156e-01
8.472226694574143402e-02,9.992535385265959302e-01
8.656255031395911070e-02,1.000214172540431212e+00
8.840283368217678739e-02,1.001536849932261442e+00
9.024311705039446407e-02,1.002690653188465397e+00
9.208340041861214076e-02,1.003684555553732372e+00
9.392368378682983132e-02,1.004891671630691263e+00
9.576396715504750801e-02,1.006596911134897132e+00
9.760425052326518469e-02,1.008298537678112616e+00
9.944453389148286138e-02,1.010083812724718699e+00
1.012848172597005381e-01,1.011975850870664440e+00
1.031251006279182147e-01,1.013674658471384049e+00
1.049653839961358914e-01,1.015045862204403848e+00
1.068056673643535681e-01,1.016207076565533773e+00
1.086459507325712448e-01,1.017430207968634148e+00
1.104862341007889215e-01,1.019149884550768492e+00
1.123265174690065982e-01,1.020623673186984215e+00
1.141668008372242749e-01,1.021758060443008764e+00
1.160070842054419515e-01,1.022901508778194746e+00
1.178473675736596421e-01,1.023756629921313444e+00
1.196876509418773188e-01,1.024564511695296387e+00
1.215279343100949955e-01,1.024981492016724616e+00
1.233682176783126722e-01,1.024520103798691517e+00
1.252085010465303627e-01,1.023648192824968550e+00
1.270487844147480394e-01,1.022881080914332275e+00
1.288890677829657161e-01,1.021607756101738707e+00
1.307293511511833928e-01,1.020442474882361505e+00
1.325696345194010695e-01,1.019232542595962743e+00
1.344099178876187461e-01,1.017643174641819526e+00
1.362502012558364228e-01,1.015238015392437632e+00
1.380904846240540995e-01,1.013052966741933236e+00
1.399307679922717762e-01,1.010348158439423383e+00
1.417710513604894529e-01,1.007920582258587938e+00
1.436113347287071296e-01,1.006456774641915075e+00
1.454516180969248063e-01,1.005325114269659981e+00
1.472919014651424829e-01,1.003985887371942276e+00
1.491321848333601596e-01,1.003109601335945289e+00
1.509724682015778363e-01,1.002639598591330783e+00
1.528127515697955130e-01,1.002107867190729307e+00
1.546530349380131897e-01,1.001744807057727726e+00
1.564933183062308664e-01,1.001490665390281531e+00
1.583336016744485431e-01,1.001424327267530279e+00
1.601738850426662197e-01,1.001592634206923904e+00
1.620141684108838964e-01,1.001596774904979670e+00
1.638544517791016009e-01,1.001301568561339783e+00
1.656947351473192775e-01,1.001662683557259514e+00
1.675350185155369542e-01,1.001854066287860112e+00
1.693753018837546309e-01,1.001008306978779849e+00
1.712155852519723076e-01,9.996558510609937498e-01
1.730558686201899843e-01,9.985967740593933994e-01
1.748961519884076610e-01,9.977944826559800306e-01
1.767364353566253377e-01,9.967474442004482516e-01
1.785767187248430143e-01,9.960036598102561811e-01
1.804170020930607188e-01,9.955648406963018004e-01
1.822572854612783955e-01,9.952444286397501561e-01
1.840975688294960722e-01,9.946674754297525345e-01
1.859378521977137488e-01,9.938734119844763182e-01
1.877781355659314255e-01,9.936169438479212079e-01
1.896184189341491022e-01,9.938860222261818311e-01
1.914587023023667789e-01,9.944327692658579965e-01
1.932989856705844556e-01,9.952109244689270051e-01
1.951392690388021323e-01,9.965201833108503493e-01
1.969795524070198089e-01,9.979303407793235214e-01
1.988198357752374856e-01,9.988255958867308104e-01
2.006601191434551623e-01,9.995746381454172491e-01
2.025004025116728390e-01,1.000662279563118817e+00
2.043406858798905157e-01,1.001725542409117153e+00
2.061809692481081924e-01,1.002902054842193413e+00
2.080212526163258691e-01,1.004111052104324608e+00
2.098615359845435457e-01,1.005549646832283761e+00
2.117018193527612224e-01,1.006808740173847250e+00
2.135421027209788991e-01,1.007756349415410480e+00
2.153823860891965758e-01,1.008449729726990984e+00
2.172226694574142525e-01,1.009002866722298775e+00
2.190629528256319292e-01,1.009588085240032296e+00
2.209032361938496059e-01,1.009626381249250526e+00
2.227435195620673103e-01,1.009536186893369658e+00
2.245838029302849870e-01,1.009676598031488126e+00
2.264240862985026637e-01,1.009361314392549058e+00
2.282643696667203403e-01,1.008317094084742349e+00
2.301046530349380170e-01,1.006875039697265217e+00
2.319449364031556937e-01,1.005326561272799291e+00
2.337852197713733704e-01,1.003556070135874556e+00
2.356255031395910471e-01,1.001582239433209454e+00
2.374657865078087238e-01,9.996012148003324826e-01
2.393060698760264005e-01,9.976588519374913755e-01
2.411463532442440771e-01,9.958279890948151802e-01
2.429866366124617538e-01,9.942258615846363279e-01
2.448269199806794305e-01,9.929354268103987025e-01
2.466672033488971072e-01,9.927856748684315003e-01
2.485074867171147839e-01,9.933491191823878852e-01
2.503477700853324883e-01,9.943525269075345063e-01
2.521880534535501095e-01,9.957597579378022479e-01
2.540283368217678417e-01,9.978500740689764115e-01
2.558686201899855184e-01,1.000275093561684647e+00
2.577089035582031951e-01,1.002723932059197187e+00
2.595491869264208717e-01,1.005201673644588345e+00
2.613894702946385484e-01,1.007717691524230741e+00
2.632297536628562251e-01,1.010100707089437444e+00
2.650700370310739018e-01,1.012124006842782364e+00
2.669103203992915785e-01,1.013628101057631348e+00
2.687506037675092552e-01,1.014520977970607918e+00
2.705908871357269319e-01,1.015506227929085847e+00
2.724311705039446085e-01,1.015740066038989475e+00
2.742714538721622852e-01,1.015557923182958122e+00
2.761117372403799619e-01,1.015088827562831364e+00
2.779520206085976386e-01,1.014702407367349402e+00
2.797923039768153153e-01,1.014443208287939546e+00
2.816325873450329920e-01,1.014846948607257993e+00
2.834728707132506687e-01,1.015614591600872973e+00
2.853131540814683453e-01,1.016424133764774362e+00
2.871534374496860220e-01,1.017653305782486362e+00
2.889937208179037542e-01,1.019103415004429802e+00
2.908340041861213754e-01,1.020523282553574163e+00
2.926742875543391076e-01,1.022352312050469836e+00
2.945145709225567288e-01,1.024382774428579168e+00
2.963548542907744610e-01,1.025740141649543746e+00
2.981951376589920821e-01,1.027057167500152302e+00
3.000354210272098143e-01,1.027808270069172192e+00
3.018757043954274355e-01,1.027837296895984354e+00
3.037159877636451677e-01,1.027752324185343902e+00
3.055562711318627889e-01,1.027336675110791298e+00
3.073965545000805211e-01,1.025668562314712373e+00
3.092368378682981422e-01,1.023418433351196644e+00
3.110771212365158744e-01,1.020861117887488234e+00
3.129174046047334956e-01,1.017457617936948999e+00
3.147576879729512278e-01,1.013923328252019918e+00
3.165979713411688490e-01,1.011119515706946137e+00
3.184382547093865812e-01,1.008764880783319162e+00
3.202785380776042579e-01,1.006742346421605649e+00
3.221188214458219345e-01,1.005038445352482546e+00
3.239591048140396112e-01,1.003469605821583510e+00
3.257993881822572879e-01,1.002221095583991639e+00
3.276396715504749646e-01,1.001777314903863791e+00
3.294799549186926413e-01,1.001651232797995617e+00
3.313202382869103180e-01,1.001879299208263241e+00
3.331605216551279947e-01,1.003201048694779995e+00
3.350008050233456713e-01,1.004730360265566613e+00
3.368410883915633480e-01,1.005880172376542925e+00
3.386813717597810247e-01,1.007327008256878598e+00
3.405216551279987014e-01,1.009081725765036852e+00
3.423619384962163781e-01,1.010100401405384929e+00
3.442022218644340548e-01,1.010436117216369389e+00
3.460425052326517315e-01,1.010655861459740290e+00
3.478827886008694081e-01,1.010600846775484341e+00
3.497230719690870848e-01,1.010849898456129603e+00
3.515633553373047615e-01,1.011816394760219229e+00
3.534036387055224382e-01,1.012963470325723980e+00
3.552439220737401149e-01,1.014156716791635882e+00
3.570842054419577916e-01,1.015012794268585150e+00
3.589244888101754682e-01,1.014861872018888223e+00
3.607647721783931449e-01,1.014560231059873585e+00
3.626050555466108216e-01,1.015178803248295569e+00
3.644453389148284983e-01,1.016142196342017412e+00
3.662856222830461750e-01,1.017426075061425905e+00
3.681259056512638517e-01,1.019287320744305392e+00
3.699661890194815284e-01,1.020989464339322472e+00
3.718064723876992050e-01,1.022429482839134929e+00
3.736467557559169372e-01,1.024143345679574102e+00
3.754870391241346139e-01,1.025771245672966625e+00
3.773273224923522906e-01,1.027287702823566962e+00
3.791676058605699673e-01,1.028625498973891217e+00
3.810078892287876440e-01,1.029658851095679006e+00
3.828481725970053207e-01,1.030919796080584261e+00
3.846884559652229973e-01,1.032031099121648143e+00
3.865287393334406740e-01,1.032848611513653259e+00
3.883690227016583507e-01,1.033272467064979550e+00
3.902093060698760274e-01,1.033279474285409671e+00
3.920495894380937041e-01,1.032260043529461102e+00
3.938898728063113808e-01,1.030221306486507560e+00
3.957301561745290575e-01,1.028031307536050765e+00
3.975704395427467341e-01,1.025723884678741538e+00
3.994107229109644108e-01,1.023103843590032591e+00
4.012510062791820875e-01,1.019937308293795697e+00
4.030912896473997642e-01,1.016543979783097740e+00
4.049315730156174409e-01,1.013192452949373878e+00
4.067718563838351176e-01,1.009836842244872468e+00
4.086121397520527943e-01,1.006229598654416302e+00
4.104524231202704709e-01,1.003278003321105505e+00
4.122927064884881476e-01,1.001259179059356796e+00
4.141329898567058243e-01,9.998965435626941956e-01
4.159732732249235010e-01,9.989101653233193323e-01
4.178135565931411777e-01,9.985694711983532645e-01
4.196538399613588544e-01,9.990706227628409763e-01
4.214941233295765310e-01,1.000173468734984805e+00
4.233344066977942077e-01,1.001505359056511280e+00
4.251746900660118844e-01,1.002891145659067229e+00
4.270149734342295611e-01,1.004585074145808443e+00
4.288552568024472378e-01,1.006060539478579319e+00
4.306955401706649145e-01,1.007304157249358401e+00
4.325358235388825912e-01,1.008371160499520247e+00
4.343761069071002678e-01,1.009482762935827171e+00
4.362163902753179445e-01,1.010383826048544265e+00
4.380566736435356212e-01,1.010524625880334870e+00
4.398969570117532979e-01,1.010143016529602367e+00
4.417372403799710301e-01,1.009621831776152501e+00
4.435775237481887068e-01,1.009321852860600943e+00
4.454178071164063835e-01,1.009058305420583279e+00
4.472580904846240601e-01,1.008777381377947036e+00
4.490983738528417368e-01,1.008491747379319126e+00
4.509386572210594135e-01,1.008475642317867793e+00
4.527789405892770902e-01,1.008502957367551689e+00
4.546192239574947669e-01,1.008586187482555907e+00
4.564595073257124436e-01,1.008742171816694677e+00
4.582997906939301203e-01,1.009138907262493889e+00
4.601400740621477969e-01,1.009454889248030174e+00
4.619803574303654736e-01,1.009757261819196561e+00
4.638206407985831503e-01,1.010038895183548835e+00
4.656609241668008270e-01,1.010163067176353069e+00
4.675012075350185037e-01,1.010502354925488788e+00
4.693414909032361804e-01,1.010238448081657747e+00
4.711817742714538571e-01,1.009544462061296333e+00
4.730220576396715337e-01,1.008724962915708678e+00
4.748623410078892104e-01,1.008113926381839942e+00
4.767026243761068871e-01,1.007547336435355989e+00
4.785429077443245638e-01,1.006900882698467337e+00
4.803831911125422405e-01,1.006280364913598735e+00
4.822234744807599172e-01,1.005949195694413545e+00
4.840637578489775938e-01,1.006003214758798725e+00
4.859040412171952705e-01,1.006256520711480196e+00
4.877443245854129472e-01,1.006912941218869983e+00
4.895846079536306239e-01,1.008107706824342475e+00
4.914248913218483006e-01,1.009499870061486337e+00
4.932651746900659773e-01,1.010548199606051467e+00
4.951054580582836540e-01,1.011933297682374500e+00
4.969457414265013306e-01,1.013223514527139546e+00
4.987860247947190073e-01,1.014250653115256862e+00
5.006263081629367395e-01,1.014676678170818969e+00
5.024665915311543607e-01,1.014197963782805134e+00
5.043068748993719819e-01,1.013399231269340506e+00
5.061471582675897141e-01,1.013005854345950585e+00
5.079874416358074463e-01,1.012252649891780987e+00
5.098277250040250674e-01,1.011193686937490899e+00
5.116680083722427996e-01,1.009645692276787576e+00
5.135082917404605318e-01,1.007543544103097322e+00
5.153485751086781530e-01,1.005114871079296535e+00
5.171888584768957742e-01,1.003419251325990968e+00
5.190291418451135064e-01,1.002110016148747729e+00
5.208694252133312386e-01,1.000904265561001871e+00
