# B (T), A_asym/A(0)
7.000000000000000666e-02,-1.115334899958765613e-02
7.184028336821768335e-02,-1.139186473276919583e-02
7.368056673643536003e-02,-1.168900418935275853e-02
7.552085010465303672e-02,-1.198731629017303450e-02
7.736113347287071340e-02,-1.225073305774863029e-02
7.920141684108839009e-02,-1.247826642180882573e-02
8.104170020930608065e-02,-1.266386444122881948e-02
8.288198357752375733e-02,-1.279088901543550851e-02
8.472226694574143402e-02,-1.317990282143057489e-02
8.656255031395911070e-02,-1.346300343857505764e-02
8.840283368217678739e-02,-1.356494741833607666e-02
9.024311705039446407e-02,-1.348729213554482331e-02
9.208340041861214076e-02,-1.325230903720779271e-02
9.392368378682983132e-02,-1.289275661930416872e-02
9.576396715504750801e-02,-1.245990372400393974e-02
9.760425052326518469e-02,-1.195044955883443720e-02
9.944453389148286138e-02,-1.128305719870965375e-02
1.012848172597005381e-01,-1.049302563489219395e-02
1.031251006279182147e-01,-9.610455581650093060e-03
1.049653839961358914e-01,-8.636827593715677015e-03
1.068056673643535681e-01,-7.598423962679306046e-03
1.086459507325712448e-01,-6.541053417370019420e-03
1.104862341007889215e-01,-5.463588159678328844e-03
1.123265174690065982e-01,-4.390425409274422396e-03
1.141668008372242749e-01,-3.372850735834165455e-03
1.160070842054419515e-01,-2.411286477574455574e-03
1.178473675736596421e-01,-1.512529874608063143e-03
1.196876509418773188e-01,-6.926033410303803362e-04
1.215279343100949955e-01,5.612792084656702810e-05
1.233682176783126722e-01,7.205775405581409153e-04
1.252085010465303627e-01,1.270690540428995709e-03
1.270487844147480394e-01,1.714375262327530111e-03
1.288890677829657161e-01,2.049357212884847252e-03
1.307293511511833928e-01,2.261403869953132039e-03
1.325696345194010695e-01,2.373231194577870695e-03
1.344099178876187461e-01,2.395767783793661954e-03
1.362502012558364228e-01,2.301409712526412792e-03
1.380904846240540995e-01,2.085881781711505355e-03
1.399307679922717762e-01,1.764574135203962483e-03
1.417710513604894529e-01,1.342138207055543165e-03
1.436113347287071296e-01,8.476090063465642607e-04
1.454516180969248063e-01,3.081290109400741271e-04
1.472919014651424829e-01,-2.544795482733992298e-04
1.491321848333601596e-01,-8.157508844784433543e-04
1.509724682015778363e-01,-1.353657748634915425e-03
1.528127515697955130e-01,-1.876770999552937426e-03
1.546530349380131897e-01,-2.366679537579993980e-03
1.564933183062308664e-01,-2.797909017759270950e-03
1.583336016744485431e-01,-3.172654304499924419e-03
1.601738850426662197e-01,-3.468598525093216558e-03
1.620141684108838964e-01,-3.650901171924673949e-03
1.638544517791016009e-01,-3.693823151915212339e-03
1.656947351473192775e-01,-3.582545807482469691e-03
1.675350185155369542e-01,-3.329987453113243071e-03
1.693753018837546309e-01,-2.975372041446423550e-03
1.712155852519723076e-01,-2.541140244865778153e-03
1.730558686201899843e-01,-2.045556461369849467e-03
1.748961519884076610e-01,-1.516753176466803217e-03
1.767364353566253377e-01,-9.690955519344388036e-04
1.785767187248430143e-01,-3.961971610005804770e-04
