# B (T), A_asym/A(0)
7.000000000000000666e-02,-1.360014549436876089e-03
7.184028336821768335e-02,-1.279981667318756591e-03
7.368056673643536003e-02,-1.195172698117719871e-03
7.552085010465303672e-02,-1.084551555750729078e-03
7.736113347287071340e-02,-9.848280744345569177e-04
7.920141684108839009e-02,-9.164744650195315832e-04
8.104170020930608065e-02,-8.607370432116759730e-04
8.288198357752375733e-02,-8.059123993450384741e-04
8.472226694574143402e-02,-6.928274522529322870e-04
8.656255031395911070e-02,-5.918887865489994840e-04
8.840283368217678739e-02,-5.134970137964552095e-04
9.024311705039446407e-02,-4.612590214756211366e-04
9.208340041861214076e-02,-4.743294809300267647e-04
9.392368378682983132e-02,-5.729165210844279141e-04
9.576396715504750801e-02,-7.701636217506585861e-04
9.760425052326518469e-02,-1.022015552883549306e-03
9.944453389148286138e-02,-1.330217612925650847e-03
1.012848172597005381e-01,-1.724925008869065621e-03
1.031251006279182147e-01,-2.168707799585186877e-03
1.049653839961358914e-01,-2.629047499731847291e-03
1.068056673643535681e-01,-3.109575853252519260e-03
1.086459507325712448e-01,-3.619800283098719654e-03
1.104862341007889215e-01,-4.126894209879601420e-03
1.123265174690065982e-01,-4.617338375168388888e-03
1.141668008372242749e-01,-5.068438244497928610e-03
1.160070842054419515e-01,-5.453294117720114929e-03
1.178473675736596421e-01,-5.717717152245313343e-03
1.196876509418773188e-01,-5.839566817062664950e-03
1.215279343100949955e-01,-5.811882369589652271e-03
1.233682176783126722e-01,-5.678699974224836813e-03
1.252085010465303627e-01,-5.456266171177873506e-03
1.270487844147480394e-01,-5.126628395926413444e-03
1.288890677829657161e-01,-4.701973439177851988e-03
1.307293511511833928e-01,-4.194541646473775968e-03
1.325696345194010695e-01,-3.628559107015557391e-03
1.344099178876187461e-01,-3.038034664414639846e-03
1.362502012558364228e-01,-2.475460186672665680e-03
1.380904846240540995e-01,-1.965366271213669219e-03
1.399307679922717762e-01,-1.545995255739612958e-03
1.417710513604894529e-01,-1.238119611154848716e-03
1.436113347287071296e-01,-1.052799757257642755e-03
1.454516180969248063e-01,-9.937668364682268086e-04
1.472919014651424829e-01,-1.061191928596570688e-03
1.491321848333601596e-01,-1.240935854620662518e-03
1.509724682015778363e-01,-1.515656314468672447e-03
1.528127515697955130e-01,-1.874100547948004750e-03
1.546530349380131897e-01,-2.311088817447602001e-03
1.564933183062308664e-01,-2.811588033113062487e-03
1.583336016744485431e-01,-3.330994200262046845e-03
1.601738850426662197e-01,-3.815049622990510786e-03
1.620141684108838964e-01,-4.222898102148508505e-03
1.638544517791016009e-01,-4.543183968721511978e-03
1.656947351473192775e-01,-4.758157940543828422e-03
1.675350185155369542e-01,-4.872624543850555615e-03
1.693753018837546309e-01,-4.888509823300702002e-03
1.712155852519723076e-01,-4.799674765069537538e-03
1.730558686201899843e-01,-4.602543749852881783e-03
1.748961519884076610e-01,-4.298214370287253838e-03
1.767364353566253377e-01,-3.917384023314744550e-03
1.785767187248430143e-01,-3.494284141574570922e-03
1.804170020930607188e-01,-3.031090235544364568e-03
1.822572854612783955e-01,-2.545040845360759842e-03
1.840975688294960722e-01,-2.090171168661593849e-03
1.859378521977137488e-01,-1.681981745082064116e-03
1.877781355659314255e-01,-1.331810373240982287e-03
1.896184189341491022e-01,-1.041126858870582584e-03
1.914587023023667789e-01,-8.210940806557180758e-04
1.932989856705844556e-01,-6.545099992328926681e-04
1.951392690388021323e-01,-5.457419501914745254e-04
