# B (T), A_asym/A_sym
7.000000000000000666e-02,4.117926227828298813e-03
1.254854368932039055e-01,2.043129983763334462e-02
1.809708737864077766e-01,-1.245169409191008124e-02
2.364563106796116476e-01,5.717547212217699917e-03
2.919417475728155464e-01,5.459183749774151884e-03
3.474271844660194453e-01,-3.998400365980016302e-03
4.029126213592232886e-01,5.356067587374909074e-03
4.583980582524271874e-01,1.434420975890505871e-02
5.138834951456310307e-01,-7.376218612902179020e-03
5.693689320388349850e-01,8.940565217733467684e-03
6.248543689320389394e-01,3.987439515153338998e-03
6.803398058252427827e-01,7.504903972910792996e-04
7.358252427184466260e-01,1.548665656954756331e-02
7.913106796116504693e-01,-7.916623029677017590e-04
8.467961165048543126e-01,2.184384456308867905e-04
9.022815533980583780e-01,7.139288844499363379e-03
9.577669902912622213e-01,4.200726702805190026e-03
1.013252427184466065e+00,1.853025978666558021e-02
1.068737864077669908e+00,9.863596932853822483e-03
1.124223300970873973e+00,1.421049068078194047e-02
1.179708737864077817e+00,-2.161364444921139681e-03
1.235194174757281660e+00,1.547926334357360018e-02
1.290679611650485503e+00,-6.310365913931018610e-03
1.346165048543689347e+00,-5.111710097835025883e-03
1.401650485436893190e+00,1.915828577850488268e-02
1.457135922330097255e+00,1.276112980484630025e-02
1.512621359223301098e+00,1.341672929758466314e-03
1.568106796116504942e+00,8.811542576912429620e-03
1.623592233009708785e+00,-3.150896191995370809e-03
1.679077669902912628e+00,5.007070807734464134e-03
1.734563106796116694e+00,7.262294905778972527e-03
1.790048543689320537e+00,1.728714597166113032e-02
1.845533980582524380e+00,1.716063022738908636e-02
1.901019417475728224e+00,1.819967804024306968e-02
1.956504854368932067e+00,-3.745833038014628399e-03
2.011990291262136132e+00,-3.302730286283473305e-03
2.067475728155339976e+00,-3.430263970404710816e-03
2.122961165048543375e+00,5.384546086908604048e-03
2.178446601941747662e+00,1.392634092430364637e-02
2.233932038834951506e+00,1.783279953729671741e-02
2.289417475728155349e+00,1.192380635159007163e-02
2.344902912621359192e+00,1.797044316566277430e-02
2.400388349514563036e+00,1.488642128005250413e-02
2.455873786407766879e+00,1.564200619540623630e-02
2.511359223300970722e+00,7.771991582293699165e-03
2.566844660194174566e+00,1.240836017637785178e-02
2.622330097087378409e+00,1.964392138167739624e-02
2.677815533980582252e+00,6.156932302343772791e-03
2.733300970873786095e+00,1.003138267780414802e-02
2.788786407766990383e+00,1.480968965126129751e-02
2.844271844660194226e+00,1.917773805078176047e-02
2.899757281553398069e+00,1.388364902550455297e-02
2.955242718446601913e+00,4.677500654690786193e-03
3.010728155339805756e+00,1.082328556975271569e-02
3.066213592233009599e+00,8.174774321911805475e-03
3.121699029126213443e+00,4.432053803790239263e-03
3.177184466019417286e+00,1.362918102205886751e-02
3.232669902912621129e+00,6.937931035340611993e-03
3.288155339805824973e+00,9.365882839158177695e-03
3.343640776699029260e+00,2.368770171213302814e-02
3.399126213592233103e+00,2.712680153962269969e-02
3.454611650485436947e+00,2.098646114217085634e-02
3.510097087378640790e+00,1.075308723084647533e-02
3.565582524271844633e+00,2.063078938244124541e-02
3.621067961165048477e+00,1.490970888653299353e-02
3.676553398058252320e+00,1.476522561428919057e-02
3.732038834951456163e+00,1.805402830186396065e-02
3.787524271844660007e+00,2.455223051645932450e-02
3.843009708737863850e+00,2.209170492290720572e-02
3.898495145631067693e+00,7.487871672839942726e-03
3.953980582524271981e+00,1.263842651363314244e-02
4.009466019417476268e+00,7.461546886226578558e-03
4.064951456310679667e+00,5.507703771777278448e-03
4.120436893203883955e+00,1.272530586322407481e-02
4.175922330097087354e+00,-3.832566566047803714e-04
4.231407766990291641e+00,3.339038434867594961e-03
4.286893203883495929e+00,1.019088395574933512e-02
4.342378640776699328e+00,2.090183812776477690e-02
4.397864077669903615e+00,2.095764911552013693e-02
4.453349514563107014e+00,1.141399696566663957e-02
4.508834951456311302e+00,1.854480472115626818e-02
4.564320388349514701e+00,2.933897316167364752e-02
4.619805825242718988e+00,2.547443388642421647e-02
4.675291262135922388e+00,1.442025656518292065e-02
4.730776699029126675e+00,1.113538256924783386e-02
4.786262135922330074e+00,2.132716823837317588e-02
4.841747572815534362e+00,3.094955092964343443e-02
4.897233009708738649e+00,3.101402749814174617e-02
4.952718446601942048e+00,1.455524619790425286e-02
5.008203883495146336e+00,3.104836731584665124e-02
5.063689320388349735e+00,3.330351024224870171e-02
5.119174757281554022e+00,1.349672812074360038e-02
5.174660194174757422e+00,1.345081200906594193e-02
5.230145631067961709e+00,2.009244241095953579e-02
5.285631067961165108e+00,1.588588222838589054e-02
5.341116504854369396e+00,2.759401789839746252e-02
5.396601941747572795e+00,2.086410396963198077e-02
5.452087378640777082e+00,2.633453741146936020e-02
5.507572815533981370e+00,3.623793701912944587e-02
5.563058252427184769e+00,1.515860981175565225e-02
5.618543689320389056e+00,1.081814359499286109e-02
