# B (T), A_asym/A_sym
7.000000000000000666e-02,5.323352545287771153e-05
1.254854368932039055e-01,1.200092884797691363e-02
1.809708737864077766e-01,-7.378263664797051098e-03
2.364563106796116476e-01,3.904943499110434101e-03
2.919417475728155464e-01,7.356550899821027480e-03
3.474271844660194453e-01,7.255145157497633161e-03
4.029126213592232886e-01,-4.414952978915619337e-03
4.583980582524271874e-01,5.617885645253265295e-03
5.138834951456310307e-01,1.116279054682885359e-02
5.693689320388349850e-01,1.031446576316885459e-02
6.248543689320389394e-01,5.899338414058607344e-04
6.803398058252427827e-01,1.371140642238964993e-02
7.358252427184466260e-01,9.996904377450958543e-03
7.913106796116504693e-01,-2.798887545442039528e-03
8.467961165048543126e-01,-5.708076400358676195e-03
9.022815533980583780e-01,-2.492592069879759169e-03
9.577669902912622213e-01,1.243489687280785461e-02
1.013252427184466065e+00,1.407203592051432459e-02
1.068737864077669908e+00,-5.096894959800771230e-04
1.124223300970873973e+00,-1.265498702441978512e-02
1.179708737864077817e+00,1.081485284696590346e-02
1.235194174757281660e+00,2.725413954485110622e-03
1.290679611650485503e+00,4.855204202759810794e-03
1.346165048543689347e+00,2.665053220808739909e-03
1.401650485436893190e+00,-1.839290502790846653e-03
1.457135922330097255e+00,7.943242432444052453e-03
1.512621359223301098e+00,-8.914010660187149729e-03
1.568106796116504942e+00,-8.353890090191643317e-03
1.623592233009708785e+00,-4.621446720193335064e-03
1.679077669902912628e+00,2.785768123718922792e-03
1.734563106796116694e+00,7.527790763954129690e-04
1.790048543689320537e+00,-1.304639507400588705e-02
1.845533980582524380e+00,-2.694202609564978930e-03
1.901019417475728224e+00,-4.719885924938928452e-03
1.956504854368932067e+00,-9.747852326385348862e-03
2.011990291262136132e+00,-1.035761924351663241e-02
2.067475728155339976e+00,-1.325577923071367265e-02
2.122961165048543375e+00,-7.344998894103380895e-03
2.178446601941747662e+00,-6.710027430846117816e-03
2.233932038834951506e+00,-5.618737533898819636e-03
2.289417475728155349e+00,-1.107539576236432448e-02
2.344902912621359192e+00,-7.936077642881140398e-03
2.400388349514563036e+00,-9.966662824101005583e-03
2.455873786407766879e+00,1.373809206533645958e-04
2.511359223300970722e+00,-8.916603504702781680e-03
2.566844660194174566e+00,-5.331274312225159351e-03
2.622330097087378409e+00,-9.251425963404776714e-03
2.677815533980582252e+00,-4.622030437814062843e-03
2.733300970873786095e+00,-4.113923385871520733e-03
2.788786407766990383e+00,-5.152200113456554056e-03
2.844271844660194226e+00,-1.654413770247543025e-03
2.899757281553398069e+00,-5.902879968814118972e-03
2.955242718446601913e+00,-1.735750979671992498e-03
3.010728155339805756e+00,-2.725666409491568111e-03
3.066213592233009599e+00,-9.393878475317326768e-03
3.121699029126213443e+00,-1.342493114618265211e-02
3.177184466019417286e+00,-1.646206178133303999e-02
3.232669902912621129e+00,-9.921181720237842727e-03
3.288155339805824973e+00,-1.729004692442839136e-02
3.343640776699029260e+00,-9.647998248289921253e-03
3.399126213592233103e+00,-5.071373528575310805e-03
3.454611650485436947e+00,-6.127347515421703583e-03
3.510097087378640790e+00,-1.463827299393897011e-02
3.565582524271844633e+00,-9.413604243010700867e-03
3.621067961165048477e+00,-1.872633903122778928e-02
3.676553398058252320e+00,-1.813663913046010406e-02
3.732038834951456163e+00,-7.200471232573937494e-03
3.787524271844660007e+00,-2.167142076642058351e-02
3.843009708737863850e+00,-1.826983426004220520e-02
3.898495145631067693e+00,-1.352615890840138529e-02
3.953980582524271981e+00,-6.848363303164572979e-03
4.009466019417476268e+00,-1.191164877745210697e-03
4.064951456310679667e+00,-1.296055342178364239e-02
4.120436893203883955e+00,-9.765703446586906922e-03
4.175922330097087354e+00,-1.715317749729328156e-02
4.231407766990291641e+00,-1.724735020611228506e-02
4.286893203883495929e+00,-2.059417230394119946e-02
4.342378640776699328e+00,-8.154508524958766977e-03
4.397864077669903615e+00,-1.349816506320448278e-02
4.453349514563107014e+00,-1.721621549284168759e-02
4.508834951456311302e+00,-2.503959547946641578e-02
4.564320388349514701e+00,-1.913803744627315048e-02
4.619805825242718988e+00,-2.221859655465709474e-02
4.675291262135922388e+00,-2.098757417726723751e-02
4.730776699029126675e+00,-1.559818322253440567e-02
4.786262135922330074e+00,-2.948016726180671329e-02
4.841747572815534362e+00,-2.086830879737332570e-02
4.897233009708738649e+00,-1.238365734970362647e-02
4.952718446601942048e+00,-2.138522485834485481e-02
5.008203883495146336e+00,-1.513735487415991676e-02
5.063689320388349735e+00,-2.850627292901572116e-02
5.119174757281554022e+00,-3.383467511624443230e-02
5.174660194174757422e+00,-1.678850185446314341e-02
5.230145631067961709e+00,-2.038704886297081423e-02
5.285631067961165108e+00,-2.333006021505448779e-02
5.341116504854369396e+00,-2.494420569989913572e-02
5.396601941747572795e+00,-2.929222169995962174e-02
5.452087378640777082e+00,-2.690441960930821386e-02
5.507572815533981370e+00,-2.509451741474811801e-02
5.563058252427184769e+00,-1.762628980661479564e-02
5.618543689320389056e+00,-4.086123306967192476e-02
5.674029126213592455e+00,-5.127842696145316903e-02
5.729514563106796743e+00,-3.955929480330690889e-02
5.785000000000000142e+00,-2.586480949095262480e-02
5.840485436893204430e+00,-2.392202696525239439e-02
5.895970873786407829e+00,-3.350709066007368647e-02
5.951456310679612116e+00,-2.659583559752000392e-02
6.006941747572816404e+00,-3.168973317636013948e-02
6.062427184466019803e+00,-3.794151653306408745e-02
6.117912621359224090e+00,-5.149792122341055600e-02
6.173398058252427489e+00,-4.428674998143708463e-02
6.228883495145631777e+00,-4.794885507805721203e-02
6.284368932038835176e+00,-3.771880635006652494e-02
6.339854368932039463e+00,-2.416280160826033904e-02
6.395339805825242863e+00,-2.712366118243485225e-02
6.450825242718447150e+00,-4.367323755394392215e-02
6.506310679611650549e+00,-4.810635408296451421e-02
6.561796116504854837e+00,-4.256051736511792805e-02
6.617281553398059124e+00,-3.669100098900657941e-02
6.672766990291262523e+00,-4.976618299981978855e-02
6.728252427184466811e+00,-4.653004621921325024e-02
6.783737864077670210e+00,-6.052109130696793626e-02
6.839223300970874497e+00,-3.872940906295690294e-02
6.894708737864077897e+00,-5.605417140960530786e-02
6.950194174757282184e+00,-4.575364831846209790e-02
7.005679611650485583e+00,-4.411249574583323008e-02
7.061165048543689871e+00,-3.869173910419480833e-02
7.116650485436893270e+00,-3.763911952178695258e-02
7.172135922330097557e+00,-4.883720601999619326e-02
7.227621359223301845e+00,-4.614681793359719925e-02
7.283106796116505244e+00,-5.130426293237385499e-02
7.338592233009709531e+00,-3.838880278769010029e-02
7.394077669902912930e+00,-4.264679125424907652e-02
7.449563106796117218e+00,-3.818213712988743208e-02
7.505048543689320617e+00,-4.008724998947512524e-02
7.560533980582524904e+00,-4.841344818049968246e-02
7.616019417475728304e+00,-4.318735177413769027e-02
7.671504854368932591e+00,-4.322204420243085793e-02
7.726990291262135990e+00,-6.173853068507126340e-02
7.782475728155340278e+00,-5.520327183622028566e-02
7.837961165048544565e+00,-4.957403533642451565e-02
7.893446601941747964e+00,-5.723969300927834319e-02
7.948932038834952252e+00,-6.002061779670572056e-02
8.004417475728155651e+00,-5.941565499248965820e-02
8.059902912621359050e+00,-5.405976541970083232e-02
8.115388349514564226e+00,-5.153901091768506998e-02
8.170873786407767625e+00,-7.117170231992712981e-02
8.226359223300971024e+00,-6.728542441435468591e-02
8.281844660194174423e+00,-4.877581676373626829e-02
8.337330097087379599e+00,-5.219468608401485465e-02
8.392815533980582998e+00,-4.379598872687418681e-02
8.448300970873786397e+00,-5.519645752975863712e-02
8.503786407766991573e+00,-5.285825234036053977e-02
8.559271844660194972e+00,-3.393494446052950503e-02
8.614757281553398371e+00,-5.419115649307981036e-02
8.670242718446601771e+00,-6.292262574212632853e-02
8.725728155339806946e+00,-5.646876508637632686e-02
8.781213592233010345e+00,-6.548908343574780244e-02
8.836699029126213745e+00,-7.325023651452684803e-02
8.892184466019417144e+00,-8.592263563749527600e-02
8.947669902912622319e+00,-6.201472027918725899e-02
9.003155339805825719e+00,-6.834095783827880133e-02
9.058640776699029118e+00,-9.737671602506423052e-02
9.114126213592234294e+00,-8.552736474736077898e-02
9.169611650485437693e+00,-8.940912382719455598e-02
9.225097087378641092e+00,-6.434253573586469488e-02
9.280582524271844491e+00,-7.316296763644669632e-02
9.336067961165049667e+00,-7.166237403935317440e-02
9.391553398058253066e+00,-7.908375047176359474e-02
9.447038834951456465e+00,-7.413204140524638774e-02
9.502524271844659864e+00,-7.602117870305456770e-02
9.558009708737865040e+00,-6.891275337570930415e-02
9.613495145631068439e+00,-8.108078097978284327e-02
9.668980582524271838e+00,-1.057469897229816186e-01
9.724466019417477014e+00,-1.023897914638914192e-01
9.779951456310680413e+00,-9.505750922715784645e-02
9.835436893203883812e+00,-8.907330890921209832e-02
9.890922330097087212e+00,-1.016643038062407106e-01
9.946407766990292387e+00,-9.881313849828125828e-02
1.000189320388349579e+01,-8.407977451364692656e-02
1.005737864077669919e+01,-8.893544896144486844e-02
1.011286407766990258e+01,-1.196501508922140078e-01
1.016834951456310776e+01,-1.274445359875895356e-01
1.022383495145631116e+01,-1.118327868169720490e-01
1.027932038834951456e+01,-1.294294495517456789e-01
1.033480582524271973e+01,-1.213194168970516407e-01
1.039029126213592313e+01,-1.184635199269398337e-01
1.044577669902912653e+01,-1.415743873512726736e-01
1.050126213592232993e+01,-1.211314674909242106e-01
1.055674757281553511e+01,-1.068375360552720754e-01
1.061223300970873851e+01,-1.088618936472186827e-01
1.066771844660194191e+01,-1.193735827735029342e-01
1.072320388349514531e+01,-1.307673088220561997e-01
1.077868932038835048e+01,-1.286990266855030096e-01
1.083417475728155388e+01,-1.232519221989631791e-01
1.088966019417475728e+01,-1.253176642600940249e-01
1.094514563106796246e+01,-1.243994899436744878e-01
1.100063106796116585e+01,-1.213447293260706966e-01
1.105611650485436925e+01,-1.286319599129999713e-01
1.111160194174757265e+01,-1.516954960795443841e-01
1.116708737864077783e+01,-1.313601463514312562e-01
1.122257281553398123e+01,-1.264285584402159990e-01
1.127805825242718463e+01,-1.455002624068886530e-01
1.133354368932038980e+01,-1.617094285900142758e-01
1.138902912621359320e+01,-1.502967512317791299e-01
1.144451456310679660e+01,-1.586378623539003441e-01
1.150000000000000000e+01,-1.457411634189385852e-01
