# B (T), A_asym/A_sym
1.500000000000000222e-01,3.707061015150600602e-02
1.570256073539067765e-01,4.357316381707809771e-02
1.640512147078135585e-01,4.025661577241908956e-02
1.710768220617203128e-01,4.785022860124657496e-02
1.781024294156270671e-01,5.851343618139043246e-02
1.851280367695338214e-01,6.366599567730797660e-02
1.921536441234406034e-01,7.139951360621225873e-02
1.991792514773473577e-01,7.176600085208408031e-02
2.062048588312541120e-01,6.837938698375442548e-02
2.132304661851608940e-01,6.757824884430510548e-02
2.202560735390676483e-01,7.214270343278594844e-02
2.272816808929744026e-01,7.834466092702788154e-02
2.343072882468811846e-01,8.267454837816635982e-02
2.413328956007879111e-01,8.747062319671231045e-02
2.483585029546946932e-01,8.632132182892920946e-02
2.553841103086014197e-01,8.896078040865312841e-02
2.624097176625082017e-01,8.925337651887919888e-02
2.694353250164149838e-01,8.865079820550086920e-02
2.764609323703217658e-01,9.398557026146116267e-02
2.834865397242284923e-01,9.938080179060912456e-02
2.905121470781352744e-01,1.011448039449365788e-01
2.975377544320420009e-01,9.423205215386232236e-02
3.045633617859487829e-01,9.070636332159819071e-02
3.115889691398555650e-01,8.477593501767741180e-02
3.186145764937623470e-01,7.757648786674994912e-02
3.256401838476690735e-01,7.012979117017414943e-02
3.326657912015758001e-01,6.286454930513966921e-02
3.396913985554825821e-01,6.258252667004968184e-02
3.467170059093893641e-01,6.466395168223948442e-02
3.537426132632961462e-01,6.596817689956316344e-02
3.607682206172028727e-01,6.047266227040629105e-02
3.677938279711096548e-01,6.398017478217325749e-02
3.748194353250163813e-01,6.341590583438401485e-02
3.818450426789231633e-01,6.900449133329279727e-02
3.888706500328299454e-01,7.102692314846278943e-02
3.958962573867367274e-01,6.393177734648865240e-02
4.029218647406434539e-01,6.107080228121348348e-02
4.099474720945502360e-01,6.341473652132471883e-02
4.169730794484569625e-01,6.107102203229830550e-02
4.239986868023637445e-01,6.187026850130411537e-02
4.310242941562705266e-01,5.834349461512165769e-02
4.380499015101772531e-01,6.316517208795714711e-02
4.450755088640840351e-01,6.233003470525850381e-02
4.521011162179908172e-01,5.633570555666795460e-02
4.591267235718975437e-01,5.076346052762562705e-02
4.661523309258043257e-01,5.024774251213952325e-02
4.731779382797110522e-01,4.252404637052549508e-02
4.802035456336178343e-01,3.724962714256738888e-02
4.872291529875246163e-01,3.456581626546351843e-02
4.942547603414313429e-01,3.142507522529248282e-02
5.012803676953381249e-01,2.507790744203760094e-02
5.083059750492449069e-01,7.637467553334244957e-03
5.153315824031516890e-01,-2.403413671566993932e-03
5.223571897570584710e-01,-1.793088756516603849e-02
5.293827971109652530e-01,-2.099117161118919592e-02
5.364084044648719241e-01,-2.373155142602485432e-02
5.434340118187787061e-01,-3.567993288662209966e-02
5.504596191726854881e-01,-4.896423742633203291e-02
5.574852265265921591e-01,-5.892639358856286563e-02
5.645108338804989412e-01,-6.439710823136869655e-02
5.715364412344057232e-01,-6.951413740065053026e-02
5.785620485883125053e-01,-8.193040152935378295e-02
5.855876559422192873e-01,-8.537934443485108160e-02
5.926132632961260693e-01,-8.080520217686956719e-02
5.996388706500328514e-01,-7.824220051541609655e-02
6.066644780039396334e-01,-7.361301367681584440e-02
6.136900853578463044e-01,-6.628738795292926644e-02
6.207156927117530865e-01,-6.798014126756074527e-02
6.277413000656598685e-01,-7.294892989214050993e-02
6.347669074195665395e-01,-8.010653880080216560e-02
6.417925147734733216e-01,-8.113413892097397218e-02
6.488181221273801036e-01,-7.409563339835932572e-02
6.558437294812868856e-01,-6.979650281973752424e-02
6.628693368351936677e-01,-6.004595812171887453e-02
6.698949441891004497e-01,-6.136216458586059297e-02
6.769205515430072317e-01,-5.965069697154207901e-02
6.839461588969139028e-01,-4.672712217494436049e-02
6.909717662508206848e-01,-3.284426991953537378e-02
6.979973736047274668e-01,-2.229039347785055983e-02
7.050229809586342489e-01,-2.170240807220847473e-02
7.120485883125410309e-01,-1.553884351729462217e-02
7.190741956664477019e-01,-4.600550388507236924e-03
7.260998030203544840e-01,4.747268483181531912e-03
7.331254103742612660e-01,7.859587821044951989e-03
7.401510177281680480e-01,8.034372547096681888e-03
7.471766250820748301e-01,2.352601762795698305e-03
7.542022324359816121e-01,4.907501084509892884e-03
7.612278397898882831e-01,1.387408660855801723e-02
7.682534471437950652e-01,2.142105478684645792e-02
7.752790544977018472e-01,2.881793538819624884e-02
7.823046618516086292e-01,3.478200435767746235e-02
7.893302692055154113e-01,3.924229360933188110e-02
7.963558765594220823e-01,4.412659711097866727e-02
8.033814839133288643e-01,4.288920056190667629e-02
8.104070912672356464e-01,4.394782312613552955e-02
8.174326986211424284e-01,4.871277143416963273e-02
8.244583059750492104e-01,4.473487871912609076e-02
8.314839133289559925e-01,3.543936368257816216e-02
8.385095206828626635e-01,2.408510551433169430e-02
8.455351280367694455e-01,1.376483269780338567e-02
