# B (T), A_asym/A_sym
1.500000000000000222e-01,1.631405245611550203e-01
1.570256073539067765e-01,1.689502272541850147e-01
1.640512147078135585e-01,1.757107056513035337e-01
1.710768220617203128e-01,1.796828671496083774e-01
1.781024294156270671e-01,1.758351147429116912e-01
1.851280367695338214e-01,1.778237258329690706e-01
1.921536441234406034e-01,1.847327503298287488e-01
1.991792514773473577e-01,1.868095382081872424e-01
2.062048588312541120e-01,1.817427772592303536e-01
2.132304661851608940e-01,1.769642034988867241e-01
2.202560735390676483e-01,1.725091973489524255e-01
2.272816808929744026e-01,1.755566324094045838e-01
2.343072882468811846e-01,1.687702082655742064e-01
2.413328956007879111e-01,1.610718288934293585e-01
2.483585029546946932e-01,1.582382334513712518e-01
2.553841103086014197e-01,1.597424426089343874e-01
2.624097176625082017e-01,1.628421544733729687e-01
2.694353250164149838e-01,1.669814773959173715e-01
2.764609323703217658e-01,1.732749971085857932e-01
2.834865397242284923e-01,1.647751113316090754e-01
2.905121470781352744e-01,1.638362244381536548e-01
2.975377544320420009e-01,1.592161937512969472e-01
3.045633617859487829e-01,1.470201283532791281e-01
3.115889691398555650e-01,1.452307025730770196e-01
3.186145764937623470e-01,1.512810047606191199e-01
3.256401838476690735e-01,1.528405727768692435e-01
3.326657912015758001e-01,1.408907176814971907e-01
3.396913985554825821e-01,1.332693366618472597e-01
3.467170059093893641e-01,1.349821132702783144e-01
3.537426132632961462e-01,1.335031918689640051e-01
3.607682206172028727e-01,1.284720351777721148e-01
3.677938279711096548e-01,1.327751339060369296e-01
3.748194353250163813e-01,1.390773094015547162e-01
3.818450426789231633e-01,1.363399275495922047e-01
3.888706500328299454e-01,1.341514979504815352e-01
3.958962573867367274e-01,1.250659139290959676e-01
4.029218647406434539e-01,1.217184390620706658e-01
4.099474720945502360e-01,1.164378020272757441e-01
4.169730794484569625e-01,1.010862780662172694e-01
4.239986868023637445e-01,1.053805832257612290e-01
4.310242941562705266e-01,9.753494366483989042e-02
4.380499015101772531e-01,9.819331442902758111e-02
4.450755088640840351e-01,1.011214265351079999e-01
4.521011162179908172e-01,9.159752443805853350e-02
4.591267235718975437e-01,8.165347146802587330e-02
4.661523309258043257e-01,6.935095922900358367e-02
4.731779382797110522e-01,6.961651580014617535e-02
4.802035456336178343e-01,6.400274329340274737e-02
4.872291529875246163e-01,6.497576420508813233e-02
4.942547603414313429e-01,5.878181840272453385e-02
5.012803676953381249e-01,6.285571177435514412e-02
5.083059750492449069e-01,5.308102155115073523e-02
5.153315824031516890e-01,4.034547065722898090e-02
5.223571897570584710e-01,4.176433799182504431e-02
5.293827971109652530e-01,3.282164361418851012e-02
5.364084044648719241e-01,3.447874683209663921e-02
5.434340118187787061e-01,3.118963738844440087e-02
5.504596191726854881e-01,2.504388981531371558e-02
5.574852265265921591e-01,2.207803816735362176e-02
5.645108338804989412e-01,1.624062353103218614e-02
5.715364412344057232e-01,6.397431860211979203e-03
5.785620485883125053e-01,-6.507783206739458509e-03
5.855876559422192873e-01,-4.581827220369768562e-03
5.926132632961260693e-01,1.355792096843549868e-03
5.996388706500328514e-01,6.517817446295745554e-03
6.066644780039396334e-01,6.330033365709359164e-03
6.136900853578463044e-01,4.762955332418734172e-03
6.207156927117530865e-01,4.274374102952826007e-03
6.277413000656598685e-01,-1.483093938222740165e-03
6.347669074195665395e-01,-2.739177750141417924e-03
6.417925147734733216e-01,-5.017544534686541220e-03
6.488181221273801036e-01,-1.602397895775823722e-03
6.558437294812868856e-01,-2.718008733492780892e-03
6.628693368351936677e-01,-5.983799693161537432e-03
6.698949441891004497e-01,-2.890089033150414037e-03
6.769205515430072317e-01,-6.234472633126009536e-03
6.839461588969139028e-01,-3.039927947447426931e-03
6.909717662508206848e-01,5.074628151745712648e-03
