# B (T), Viscosity (1e-5 Pa*s)
1.500000000000000222e-01,0.000000000000000000e+00
1.570256073539067765e-01,0.000000000000000000e+00
1.640512147078135585e-01,0.000000000000000000e+00
1.710768220617203128e-01,0.000000000000000000e+00
1.781024294156270671e-01,0.000000000000000000e+00
1.851280367695338214e-01,0.000000000000000000e+00
1.921536441234406034e-01,0.000000000000000000e+00
1.991792514773473577e-01,0.000000000000000000e+00
2.062048588312541120e-01,0.000000000000000000e+00
2.132304661851608940e-01,0.000000000000000000e+00
2.202560735390676483e-01,0.000000000000000000e+00
2.272816808929744026e-01,0.000000000000000000e+00
2.343072882468811846e-01,0.000000000000000000e+00
2.413328956007879111e-01,0.000000000000000000e+00
2.483585029546946932e-01,0.000000000000000000e+00
2.553841103086014197e-01,0.000000000000000000e+00
2.624097176625082017e-01,0.000000000000000000e+00
2.694353250164149838e-01,0.000000000000000000e+00
2.764609323703217658e-01,0.000000000000000000e+00
2.834865397242284923e-01,0.000000000000000000e+00
2.905121470781352744e-01,0.000000000000000000e+00
2.975377544320420009e-01,0.000000000000000000e+00
3.045633617859487829e-01,0.000000000000000000e+00
3.115889691398555650e-01,0.000000000000000000e+00
3.186145764937623470e-01,0.000000000000000000e+00
3.256401838476690735e-01,0.000000000000000000e+00
3.326657912015758001e-01,0.000000000000000000e+00
3.396913985554825821e-01,0.000000000000000000e+00
3.467170059093893641e-01,0.000000000000000000e+00
3.537426132632961462e-01,0.000000000000000000e+00
3.607682206172028727e-01,0.000000000000000000e+00
3.677938279711096548e-01,0.000000000000000000e+00
3.748194353250163813e-01,0.000000000000000000e+00
3.818450426789231633e-01,0.000000000000000000e+00
3.888706500328299454e-01,0.000000000000000000e+00
3.958962573867367274e-01,0.000000000000000000e+00
4.029218647406434539e-01,0.000000000000000000e+00
4.099474720945502360e-01,0.000000000000000000e+00
4.169730794484569625e-01,3.264979391816070792e-03
4.239986868023637445e-01,-3.728632695927599355e-02
4.310242941562705266e-01,-7.783763331036805400e-02
4.380499015101772531e-01,-8.281528838017931937e-02
4.450755088640840351e-01,-9.105792284180666551e-02
4.521011162179908172e-01,-5.105068224680783112e-02
4.591267235718975437e-01,-1.104344165180898632e-02
4.661523309258043257e-01,-6.609852338090932249e-03
4.731779382797110522e-01,-2.176263024372877743e-03
4.802035456336178343e-01,-2.176263024372877743e-03
4.872291529875246163e-01,-2.176263024372877743e-03
4.942547603414313429e-01,-2.176263024372877743e-03
5.012803676953381249e-01,-2.176263024372877743e-03
5.083059750492449069e-01,-2.001320160611911366e-03
5.153315824031516890e-01,-1.826377296850944772e-03
5.223571897570584710e-01,1.060695379393220786e-03
5.293827971109652530e-01,-1.315384751637472920e-02
5.364084044648719241e-01,-7.838724151689492603e-04
5.434340118187787061e-01,-4.057927313704810801e-02
5.504596191726854881e-01,-2.622228474585117097e-02
5.574852265265921591e-01,-3.002355759186804696e-02
5.645108338804989412e-01,-3.044527930669471347e-02
5.715364412344057232e-01,1.997678498401311148e-02
5.785620485883125053e-01,-9.479123414173390785e-03
5.855876559422192873e-01,3.258898174353633270e-02
5.926132632961260693e-01,1.157257329557775938e-02
5.996388706500328514e-01,-8.122245334830358043e-03
6.066644780039396334e-01,2.581980814612779354e-02
6.136900853578463044e-01,1.081298940952545549e-02
6.207156927117530865e-01,2.279304676282735767e-02
6.277413000656598685e-01,6.618755468255282937e-02
6.347669074195665395e-01,7.481619994270223561e-02
6.417925147734733216e-01,3.828614056860109999e-02
