# Temperature (K), Viscosity (1e-5 Pa*s)
5.765537708783938342e+00,2.319377555769799670e+01
6.105427660251128152e+00,1.240291511109019851e+01
6.445317611718317963e+00,5.595450944105178515e+00
6.785207563185507773e+00,8.108655570692270942e+00
7.125097514652697583e+00,1.211056798650953148e+01
7.464987466119887394e+00,1.293384040134041157e+01
7.804877417587077204e+00,1.576018688291872749e+01
8.144767369054266126e+00,1.828609579892101422e+01
8.484657320521456825e+00,1.881801437445860259e+01
8.824547271988645747e+00,1.871258128390503472e+01
9.164437223455836445e+00,1.855510066022829463e+01
9.504327174923025368e+00,1.817461068575964234e+01
9.844217126390216066e+00,1.792659065730205725e+01
1.018410707785740499e+01,1.833048796457429575e+01
1.052399702932459391e+01,1.856493948050733778e+01
1.086388698079178461e+01,1.877427927993013768e+01
1.120377693225897531e+01,1.865311288992586469e+01
1.154366688372616423e+01,1.846161124533487197e+01
1.188355683519335315e+01,1.825131463022901812e+01
1.222344678666054385e+01,1.800687640278124846e+01
1.256333673812773455e+01,1.778801534469825540e+01
1.290322668959492347e+01,1.766683078302868992e+01
1.324311664106211239e+01,1.771038004986310810e+01
1.358300659252930309e+01,1.774991322606890165e+01
1.392289654399649201e+01,1.743396569807185514e+01
1.426278649546368271e+01,1.707467645265760581e+01
1.460267644693087163e+01,1.674755207636258447e+01
1.494256639839806233e+01,1.643196112183080615e+01
1.528245634986525125e+01,1.608725369660969662e+01
1.562234630133244195e+01,1.577240170752471293e+01
1.596223625279963088e+01,1.548368744059471069e+01
1.630212620426681980e+01,1.520033891482656152e+01
1.664201615573401227e+01,1.492602654586956845e+01
1.698190610720119764e+01,1.467318875926607369e+01
1.732179605866839012e+01,1.443939883214061659e+01
1.766168601013557904e+01,1.418946615319264737e+01
1.800157596160276796e+01,1.394942585308439043e+01
1.834146591306996044e+01,1.372687794586507337e+01
1.868135586453714936e+01,1.352010676355991592e+01
1.902124581600433828e+01,1.331553922166214754e+01
1.936113576747153076e+01,1.311736746521400931e+01
1.970102571893871612e+01,1.293226864445925450e+01
2.004091567040590860e+01,1.275899047716862533e+01
2.038080562187309752e+01,1.259477356768073975e+01
2.072069557334028644e+01,1.239172875733012091e+01
2.106058552480747892e+01,1.215898291180968371e+01
2.140047547627466784e+01,1.194001568415310821e+01
2.174036542774185676e+01,1.173363870337196424e+01
2.208025537920904569e+01,1.153332719145768870e+01
2.242014533067623461e+01,1.132279562022294428e+01
2.276003528214342708e+01,1.112430819085663813e+01
2.309992523361061600e+01,1.091718200383924930e+01
2.343981518507780493e+01,1.071082251785852613e+01
2.377970513654499385e+01,1.051533550352278112e+01
2.411959508801218632e+01,1.032320427807351670e+01
2.445948503947937525e+01,1.014028239753290528e+01
2.479937499094656417e+01,9.966521810087668243e+00
2.513926494241375309e+01,9.801251090457711257e+00
2.547915489388094556e+01,9.612922794550355476e+00
2.581904484534813449e+01,9.427486954560528432e+00
2.615893479681532341e+01,9.244091933264240168e+00
2.649882474828251233e+01,9.069153718429165068e+00
2.683871469974970481e+01,8.902100545823014244e+00
2.717860465121689373e+01,8.742411057816461550e+00
2.751849460268408265e+01,8.586390752478127553e+00
2.785838455415127157e+01,8.410881068387986659e+00
2.819827450561846049e+01,8.232794583551550360e+00
2.853816445708565297e+01,8.062322765482734965e+00
2.887805440855284189e+01,7.898987452109717644e+00
2.921794436002003081e+01,7.742349695386069541e+00
2.955783431148721974e+01,7.592005822130251325e+00
2.989772426295441221e+01,7.441881381355413438e+00
3.023761421442160113e+01,7.285351147887297429e+00
3.057750416588879006e+01,7.131635139935754708e+00
3.091739411735597898e+01,6.983823281138494821e+00
3.125728406882317145e+01,6.841581818346758936e+00
3.159717402029036037e+01,6.704601688631457890e+00
3.193706397175754930e+01,6.572596277591292946e+00
3.227695392322473822e+01,6.442064275964963116e+00
3.261684387469193069e+01,6.313658931771665372e+00
3.295673382615912317e+01,6.188035321847238812e+00
3.329662377762630854e+01,6.066733581594249358e+00
3.363651372909349391e+01,5.949534452602078360e+00
3.397640368056068638e+01,5.836233261134822214e+00
3.431629363202787886e+01,5.726638725284907139e+00
3.465618358349506423e+01,5.615804143477264532e+00
3.499607353496225670e+01,5.507408247336215368e+00
3.533596348642944918e+01,5.401824146664732318e+00
3.567585343789663455e+01,5.297830728323067007e+00
3.601574338936382702e+01,5.197065159854987293e+00
3.635563334083101950e+01,5.099379454181901750e+00
3.669552329229820486e+01,5.004584551103167023e+00
3.703541324376539734e+01,4.911619884483671150e+00
3.737530319523258981e+01,4.821372088696537439e+00
3.771519314669977518e+01,4.733723779130357023e+00
3.805508309816696766e+01,4.648564237430035107e+00
3.839497304963415303e+01,4.565457094991946185e+00
3.873486300110134550e+01,4.484565364550093136e+00
3.907475295256853087e+01,4.404042504517382994e+00
3.941464290403572335e+01,4.321007584215323938e+00
