# B_inplane (T), \kappa_{xy} (mW/K*m)
1.461118633825573943e+00,-7.638097919289646986e-01
2.875314799283139156e+00,-1.838099648383207940e-01
4.283140373110824406e+00,-2.543969081449817815e-01
4.641211342796328410e+00,-5.471731982482778145e-01
5.029612606040711142e+00,-4.153964355006552894e-02
5.309206710543320717e+00,1.317336933425387879e-01
5.574444778390532207e+00,6.762920216620879055e-01
5.756425535247517544e+00,8.117193026528189970e-01
5.883573431951920618e+00,3.116130059395189056e-01
6.099435243013793695e+00,-3.527804762221815604e-01
6.272747955080682836e+00,-2.231581706087460149e-01
6.399946383771426106e+00,6.559809263231239918e-01
6.507449571890699502e+00,2.185607405853334129e+00
6.608458976124745199e+00,3.099221105399255993e+00
6.767954007515511350e+00,4.058662843137457621e+00
7.022363412233427304e+00,3.984546379045470488e+00
7.101235272648141361e+00,3.795583879434674568e+00
7.438477924018306098e+00,3.761912877589335569e+00
7.510551587652880556e+00,3.530070814909110677e+00
7.577885453513409253e+00,2.677658105400289923e+00
7.588348744070553487e+00,2.423475898137753770e+00
7.665437094654581784e+00,1.515807821594262972e+00
7.816165798412574972e+00,6.681544912931491886e-01
7.930372182327814379e+00,-5.862898224088747973e-02
8.148591161447164666e+00,3.566062151568032135e-02
8.426431615880460413e+00,9.147263224468252241e-02
