# T (K), dc/c (x 1e-5)
2.506099999999999994e+00,-1.683212383183155136e+00
2.505999999999999783e+00,-1.652330317077971733e+00
2.505900000000000016e+00,-1.716693912302732716e+00
2.505799999999999805e+00,-1.702289152721815357e+00
2.505700000000000038e+00,-1.665462743534511514e+00
2.505599999999999827e+00,-1.713231456030174016e+00
2.505500000000000060e+00,-1.690463738062130350e+00
2.505399999999999849e+00,-1.681036085986116868e+00
2.505300000000000082e+00,-1.686421603730719143e+00
2.505199999999999871e+00,-1.690218706846646546e+00
2.505100000000000104e+00,-1.683365624169196106e+00
2.504999999999999893e+00,-1.695871240891698273e+00
2.504900000000000126e+00,-1.633646227521754923e+00
2.504799999999999915e+00,-1.591064916220662928e+00
2.504700000000000149e+00,-1.722314229473092428e+00
2.504599999999999937e+00,-1.675621146263601702e+00
2.504500000000000171e+00,-1.633130241181316444e+00
2.504399999999999959e+00,-1.683364339888024031e+00
2.504300000000000193e+00,-1.720495233247844036e+00
2.504199999999999982e+00,-1.707570669572973543e+00
2.504100000000000215e+00,-1.672849215330777906e+00
2.504000000000000004e+00,-1.712890272307846073e+00
2.503899999999999793e+00,-1.688412302016073285e+00
2.503800000000000026e+00,-1.675882075294273355e+00
2.503699999999999815e+00,-1.664264108868130698e+00
2.503600000000000048e+00,-1.705092160902927922e+00
2.503499999999999837e+00,-1.684949411703991373e+00
2.503400000000000070e+00,-1.677161575004899152e+00
2.503299999999999859e+00,-1.674851675606564116e+00
2.503200000000000092e+00,-1.652454741096282431e+00
2.503099999999999881e+00,-1.659588516377175971e+00
2.503000000000000114e+00,-1.650694737825820768e+00
2.502899999999999903e+00,-1.675991855361531169e+00
2.502800000000000136e+00,-1.669422668734113824e+00
2.502699999999999925e+00,-1.674920112179774989e+00
2.502600000000000158e+00,-1.620973425015399760e+00
2.502499999999999947e+00,-1.592761980213100337e+00
2.502400000000000180e+00,-1.645725432787808806e+00
2.502299999999999969e+00,-1.670808039862465177e+00
2.502200000000000202e+00,-1.712771295777731684e+00
2.502099999999999991e+00,-1.649980807873419497e+00
2.501999999999999780e+00,-1.629686957559453475e+00
2.501900000000000013e+00,-1.596159327748192913e+00
2.501799999999999802e+00,-1.648578101863876100e+00
2.501700000000000035e+00,-1.711938697444967294e+00
2.501599999999999824e+00,-1.649396503392296376e+00
2.501500000000000057e+00,-1.672402396535414004e+00
2.501399999999999846e+00,-1.571100213751164265e+00
2.501300000000000079e+00,-1.578663247468379272e+00
2.501199999999999868e+00,-1.643929198826221905e+00
2.501100000000000101e+00,-1.667042023694240038e+00
2.500999999999999890e+00,-1.660740954743402442e+00
2.500900000000000123e+00,-1.696604605538410304e+00
2.500799999999999912e+00,-1.717745212182018255e+00
2.500700000000000145e+00,-1.709702547194745792e+00
2.500599999999999934e+00,-1.693104247240642790e+00
2.500500000000000167e+00,-1.707561632151386677e+00
2.500399999999999956e+00,-1.713926639849999267e+00
2.500300000000000189e+00,-1.672700552620559611e+00
2.500199999999999978e+00,-1.654627407804182493e+00
2.500100000000000211e+00,-1.645552173703494159e+00
