# T (K), dc/c (x 1e-5)
1.699899999999999967e+00,2.738280272746376753e-01
1.699699999999999989e+00,1.763599792105850772e-01
1.699000000000000066e+00,2.319879187652126862e-01
1.698700000000000099e+00,2.292772863402708916e-01
1.698399999999999910e+00,2.397527797718193576e-01
1.698099999999999943e+00,1.855658140866717210e-01
1.697400000000000020e+00,1.788509368610621819e-01
1.697100000000000053e+00,1.855205205288784631e-01
1.696499999999999897e+00,2.126404793530156656e-01
1.696099999999999941e+00,1.999002175583422525e-01
1.695799999999999974e+00,1.664316628761583483e-01
1.695400000000000018e+00,1.839671643859459860e-01
1.694700000000000095e+00,2.128042224591557285e-01
1.694399999999999906e+00,1.939929521925856659e-01
1.693599999999999994e+00,1.296581918269236466e-01
1.693200000000000038e+00,2.014178998217992789e-01
1.692900000000000071e+00,9.507833692414327520e-02
1.692199999999999926e+00,1.527056209593702363e-01
1.691899999999999959e+00,5.305910560741977644e-03
1.691300000000000026e+00,9.268997513177737457e-02
1.690900000000000070e+00,7.839840048574908682e-02
1.690600000000000103e+00,1.809364156774365129e-02
1.689999999999999947e+00,1.967705069751135571e-02
1.689699999999999980e+00,-4.142281601390157553e-02
1.689000000000000057e+00,6.092111666010716076e-02
1.688700000000000090e+00,3.874666183439207101e-02
1.688399999999999901e+00,1.521500561578285893e-01
1.687999999999999945e+00,1.617818678787720510e-01
1.687300000000000022e+00,1.843890774410467115e-01
1.686500000000000110e+00,1.967689393836576095e-01
1.686199999999999921e+00,1.832734705446877055e-01
1.685899999999999954e+00,7.059769984848682234e-02
1.685200000000000031e+00,-3.614802341475251146e-02
1.684900000000000064e+00,-1.005259160856940281e-01
1.684199999999999919e+00,-4.098953081798500930e-02
1.683899999999999952e+00,7.323928368297219493e-02
1.683200000000000029e+00,1.695839403894824904e-02
1.682900000000000063e+00,1.584389633145846799e-02
1.682500000000000107e+00,2.917004438838036173e-02
1.681799999999999962e+00,2.198369779046055461e-02
1.681200000000000028e+00,-7.625361166186186979e-02
1.680800000000000072e+00,-1.209718322739243568e-01
1.680299999999999905e+00,-8.386329823188709565e-02
1.679899999999999949e+00,-1.623367103871682648e-01
1.679599999999999982e+00,-1.672123169287574596e-01
1.679000000000000048e+00,-3.735413365239109718e-02
1.678600000000000092e+00,-4.870110517805545380e-02
1.677799999999999958e+00,-1.390891949698547236e-01
1.677400000000000002e+00,-2.314733448458006215e-02
1.677100000000000035e+00,1.799537938749345978e-02
1.676800000000000068e+00,-1.036997336854861285e-01
1.676099999999999923e+00,-1.528337844182957317e-01
1.675799999999999956e+00,-1.457075808052391008e-01
1.675499999999999989e+00,-1.090216657050405158e-01
1.674900000000000055e+00,-8.003253996009471183e-02
1.674299999999999899e+00,-1.254644160417726917e-01
1.673999999999999932e+00,-1.555706891521319024e-01
1.673300000000000010e+00,-1.781413647426385860e-01
1.673000000000000043e+00,-2.215449032240933425e-01
1.672600000000000087e+00,-1.457991070863244587e-01
1.671899999999999942e+00,-1.563653748880983185e-01
1.671599999999999975e+00,-1.583152435946123815e-01
1.671000000000000041e+00,2.781010891329815937e-02
1.670700000000000074e+00,-1.421394287982186144e-02
1.670299999999999896e+00,-6.550918323485963035e-02
1.669599999999999973e+00,-8.782549336195169531e-02
1.669300000000000006e+00,-8.352849733272993404e-02
1.668900000000000050e+00,1.706328209456764444e-02
1.668199999999999905e+00,-2.624538614076632470e-02
1.667799999999999949e+00,-8.207056283486210968e-02
1.667200000000000015e+00,-6.563329529689354569e-02
1.666900000000000048e+00,-5.997586080006347964e-02
1.666600000000000081e+00,-1.278725307380518261e-01
1.665899999999999936e+00,-7.290059464678047552e-02
1.665499999999999980e+00,-1.235063625832505396e-01
1.664800000000000058e+00,-3.124572346972949166e-01
1.664400000000000102e+00,-3.031025593908630578e-01
1.664099999999999913e+00,-1.369421016772856547e-01
1.663499999999999979e+00,-7.135595812557404827e-02
1.663200000000000012e+00,-1.725591208876289806e-01
1.662800000000000056e+00,-1.592413477176021774e-01
1.662500000000000089e+00,-1.181651777629535993e-01
1.661499999999999977e+00,-6.672820443091170839e-02
1.661299999999999999e+00,-1.716076430294082023e-01
1.660500000000000087e+00,-1.042465010124733749e-01
1.660199999999999898e+00,-1.263753284605310945e-01
1.659499999999999975e+00,-1.854110804725556116e-01
1.659200000000000008e+00,-9.692124803926255305e-02
1.658800000000000052e+00,-2.578841743860853519e-01
1.658199999999999896e+00,-4.013036802220752985e-01
1.657499999999999973e+00,-3.865389693027444507e-01
1.657100000000000017e+00,-3.869710326688188817e-01
1.656800000000000050e+00,-2.119073360984900789e-01
1.656500000000000083e+00,-3.376088716764216735e-01
1.655899999999999928e+00,-2.698288520555300329e-01
1.655499999999999972e+00,-2.932678185186589070e-01
1.655200000000000005e+00,-3.111322284828250684e-01
1.654199999999999893e+00,-3.053441902605910641e-01
1.653899999999999926e+00,-3.005870780022241728e-01
1.653499999999999970e+00,-3.432910178270687229e-01
1.652900000000000036e+00,-4.060535917558769081e-01
1.652600000000000069e+00,-4.121908497524764958e-01
1.651999999999999913e+00,-3.332486829023262320e-01
1.651599999999999957e+00,-2.882308369265076942e-01
1.651299999999999990e+00,-2.537557611605699703e-01
1.650600000000000067e+00,-3.281962448215686168e-01
1.650400000000000089e+00,-4.362505317989651132e-01
1.649699999999999944e+00,-4.629357195523944868e-01
1.649399999999999977e+00,-3.838786218820882112e-01
1.648800000000000043e+00,-2.792829967249166323e-01
1.648600000000000065e+00,-3.222575087502566049e-01
1.648300000000000098e+00,-4.379387403495235698e-01
1.647599999999999953e+00,-4.702303541942974840e-01
1.647000000000000020e+00,-4.620513840502583625e-01
1.646700000000000053e+00,-3.471014215147838478e-01
1.646300000000000097e+00,-3.327577295210784603e-01
1.645599999999999952e+00,-4.182882631713520372e-01
1.645299999999999985e+00,-4.055759207392470311e-01
1.644900000000000029e+00,-4.249861336391540512e-01
1.644099999999999895e+00,-2.891304625172834708e-01
1.643799999999999928e+00,-3.381236282094801648e-01
1.643100000000000005e+00,-4.239168846806827817e-01
1.642800000000000038e+00,-4.313774288920019240e-01
1.642200000000000104e+00,-5.158501651200513294e-01
1.641899999999999915e+00,-5.412810573193413965e-01
1.641599999999999948e+00,-6.037395119339560301e-01
1.641000000000000014e+00,-4.379633999459370264e-01
1.640600000000000058e+00,-5.199633100707278244e-01
1.640200000000000102e+00,-5.422038128511351696e-01
1.639599999999999946e+00,-4.222098400945284435e-01
1.639199999999999990e+00,-4.450813748824861138e-01
1.639000000000000012e+00,-5.687184784859168341e-01
1.638700000000000045e+00,-6.235215073616302561e-01
1.637999999999999901e+00,-5.695743980058988187e-01
1.637299999999999978e+00,-5.758424133937845024e-01
1.636700000000000044e+00,-5.249038690322351819e-01
1.636300000000000088e+00,-5.273856708972075591e-01
1.635999999999999899e+00,-5.431713700017672952e-01
1.635699999999999932e+00,-6.743357595156638240e-01
1.635099999999999998e+00,-6.536167524938928386e-01
1.634900000000000020e+00,-6.744447818881303958e-01
1.634200000000000097e+00,-7.917171172635607546e-01
1.633899999999999908e+00,-6.425683569784117477e-01
1.633499999999999952e+00,-6.292485257264681664e-01
1.633199999999999985e+00,-5.411670437039522996e-01
1.632600000000000051e+00,-7.186424721607014288e-01
1.632200000000000095e+00,-7.314117867097611470e-01
1.631899999999999906e+00,-6.419576602780842078e-01
1.631299999999999972e+00,-8.145310170811110861e-01
1.631000000000000005e+00,-7.548070038225669354e-01
1.630400000000000071e+00,-8.226277449749006543e-01
1.629999999999999893e+00,-7.103401346615287881e-01
1.629699999999999926e+00,-7.821610565986527597e-01
1.629000000000000004e+00,-8.832513400247078428e-01
1.628600000000000048e+00,-7.847707467393758574e-01
1.628300000000000081e+00,-7.766254677550078478e-01
1.627699999999999925e+00,-6.980276864519339153e-01
1.627399999999999958e+00,-6.749250236260002644e-01
1.627099999999999991e+00,-7.040698377793787044e-01
1.626200000000000090e+00,-8.999202024938430799e-01
1.625399999999999956e+00,-8.871933138474181746e-01
1.625099999999999989e+00,-8.544399112314464695e-01
1.624800000000000022e+00,-7.548111351522203138e-01
1.624100000000000099e+00,-7.997209761900596625e-01
1.623699999999999921e+00,-6.936844376114956745e-01
1.623399999999999954e+00,-7.631049989509191001e-01
1.623099999999999987e+00,-6.766114323296552602e-01
1.622500000000000053e+00,-7.691192359313148152e-01
1.622200000000000086e+00,-7.721370865837635655e-01
1.621899999999999897e+00,-8.042187976773674807e-01
1.621199999999999974e+00,-8.050663147691171639e-01
1.620900000000000007e+00,-7.893718628125891978e-01
1.620600000000000041e+00,-8.664038080507738826e-01
1.620000000000000107e+00,-7.322920007744176951e-01
1.619699999999999918e+00,-7.812410653857543297e-01
1.619399999999999951e+00,-7.990274209849524967e-01
1.618900000000000006e+00,-7.498393371160178011e-01
1.618600000000000039e+00,-8.553171699247387183e-01
1.618200000000000083e+00,-9.332711407513544222e-01
1.617499999999999938e+00,-7.995781861224425802e-01
1.617199999999999971e+00,-9.006505654091285784e-01
1.616800000000000015e+00,-9.247866281100226571e-01
1.616100000000000092e+00,-9.295220487003964527e-01
1.615699999999999914e+00,-9.616684588826217572e-01
1.615399999999999947e+00,-1.054905889012140108e+00
1.614800000000000013e+00,-9.635521450681271416e-01
1.614500000000000046e+00,-1.088733922652296293e+00
1.614200000000000079e+00,-1.052741294225913782e+00
1.613699999999999912e+00,-9.164703913191497575e-01
1.613399999999999945e+00,-9.725708725161381629e-01
1.612999999999999989e+00,-8.941601373583032419e-01
1.612400000000000055e+00,-9.825329098205916045e-01
1.612100000000000088e+00,-9.664448984345735960e-01
1.611699999999999910e+00,-8.871866793006867313e-01
1.611099999999999977e+00,-9.111475531839614561e-01
1.610700000000000021e+00,-9.146044245764844982e-01
1.610100000000000087e+00,-1.077895034429406040e+00
1.609799999999999898e+00,-1.105418883074610337e+00
1.609399999999999942e+00,-1.171473492518788850e+00
1.608999999999999986e+00,-1.161557608132975039e+00
1.608400000000000052e+00,-1.076463406065718997e+00
1.608100000000000085e+00,-1.093318696392293843e+00
1.607799999999999896e+00,-9.880062364675361586e-01
1.607499999999999929e+00,-1.088396733336244315e+00
1.606999999999999984e+00,-1.165373015534105994e+00
1.606700000000000017e+00,-1.116659353122325449e+00
1.606500000000000039e+00,-1.105008389673013625e+00
1.605799999999999894e+00,-1.200874820615847272e+00
1.605499999999999927e+00,-1.191017050874293437e+00
1.605199999999999960e+00,-1.189384462119049468e+00
1.604500000000000037e+00,-1.147196417172150706e+00
1.604200000000000070e+00,-1.234553197845041694e+00
1.603799999999999892e+00,-1.227107597646936998e+00
1.603099999999999969e+00,-1.221651163861581235e+00
1.602800000000000002e+00,-1.231743938836203700e+00
1.602500000000000036e+00,-1.225069380782033202e+00
1.601900000000000102e+00,-1.220201217410742833e+00
1.601599999999999913e+00,-1.127692871837407296e+00
1.601199999999999957e+00,-1.216955273753306921e+00
1.600600000000000023e+00,-1.274426027011565266e+00
1.600200000000000067e+00,-1.247268705924491794e+00
1.599900000000000100e+00,-1.197879334562980347e+00
1.599199999999999955e+00,-1.195078835362819225e+00
1.598899999999999988e+00,-1.279889603082902338e+00
1.598400000000000043e+00,-1.343938810666970518e+00
1.598100000000000076e+00,-1.380737055091830312e+00
1.597800000000000109e+00,-1.498196320663062409e+00
1.597499999999999920e+00,-1.491122337150211585e+00
1.596999999999999975e+00,-1.442092648285594247e+00
1.596300000000000052e+00,-1.550750298230391788e+00
1.595900000000000096e+00,-1.355441352504649366e+00
1.595499999999999918e+00,-1.404683375959628222e+00
1.594899999999999984e+00,-1.474844807917291556e+00
1.594500000000000028e+00,-1.411720252594665714e+00
1.594300000000000050e+00,-1.262586188257967867e+00
1.593699999999999894e+00,-1.335635561277009220e+00
1.593399999999999928e+00,-1.474455122254820338e+00
1.593099999999999961e+00,-1.497592402046731719e+00
1.592500000000000027e+00,-1.482337799743865148e+00
1.592200000000000060e+00,-1.514073777403833532e+00
1.591900000000000093e+00,-1.543217559328395661e+00
1.591199999999999948e+00,-1.543154415435069815e+00
1.590899999999999981e+00,-1.554666572043880812e+00
1.590700000000000003e+00,-1.509547616477570298e+00
