# T (K), alpha_33 (Neper/m)
3.083000000000000185e-01,0.000000000000000000e+00
3.084000000000000075e-01,-3.219211478835859452e-02
3.084999999999999964e-01,-2.080121065757793986e-01
3.085999999999999854e-01,-3.379951666727265547e-01
3.086999999999999744e-01,2.247323559458891395e-01
3.088000000000000189e-01,2.915169292652990407e-01
3.089000000000000079e-01,4.102530006321103428e-01
3.089999999999999969e-01,3.059785218474644353e-01
3.090999999999999859e-01,2.430389135508903564e-01
3.091999999999999749e-01,5.165930843893420388e-01
3.093000000000000194e-01,6.988820324677362805e-01
3.094000000000000083e-01,1.101976884048553984e+00
3.094999999999999973e-01,1.041932431208806520e+00
3.095999999999999863e-01,9.856771074362313811e-01
3.096999999999999753e-01,1.334375173219541466e+00
3.098000000000000198e-01,1.195217105401980007e+00
3.099000000000000088e-01,1.409457786375924115e+00
3.099999999999999978e-01,1.205275100553990342e+00
3.100999999999999868e-01,1.056933446452376302e+00
3.101999999999999758e-01,1.138428845152702706e+00
3.103000000000000203e-01,1.343178283778797777e+00
3.104000000000000092e-01,1.398357266873063054e+00
3.104999999999999982e-01,1.473800275614394195e+00
3.105999999999999872e-01,1.187908360441724653e+00
3.106999999999999762e-01,1.066819542414123134e+00
3.108000000000000207e-01,7.997309149482134671e-01
3.109000000000000097e-01,6.394561681363484240e-01
3.109999999999999987e-01,6.670455669604962168e-01
3.110999999999999877e-01,7.445218290658885962e-01
3.111999999999999766e-01,5.159990137929071352e-01
3.113000000000000211e-01,4.816261014370866178e-01
3.114000000000000101e-01,6.795674970924210356e-01
3.114999999999999991e-01,6.731207333320980979e-01
3.115999999999999881e-01,6.493915648388792761e-01
3.116999999999999771e-01,4.720220164251713868e-01
3.118000000000000216e-01,4.871796438810633845e-01
3.119000000000000106e-01,2.846128279584263510e-01
3.119999999999999996e-01,2.377327635990695853e-01
3.120999999999999885e-01,1.661680587994851521e-01
3.121999999999999775e-01,6.222437034148242674e-02
3.124000000000000110e-01,1.286640589232774801e-01
3.125000000000000000e-01,5.296842574284710281e-02
3.125999999999999890e-01,1.291662067246761580e-01
3.126999999999999780e-01,8.210969495848985389e-03
3.128000000000000225e-01,-2.179707018976841937e-01
3.129000000000000115e-01,-4.526071099876389781e-01
3.130000000000000004e-01,-5.014784024642722216e-01
3.130999999999999894e-01,-3.523134185970775434e-01
3.133000000000000229e-01,7.202151061528638820e-02
3.134000000000000119e-01,4.406728586830013228e-01
3.135000000000000009e-01,5.061827527517834824e-01
3.135999999999999899e-01,7.173240683073345281e-01
3.136999999999999789e-01,3.614280956840048020e-01
3.138000000000000234e-01,3.992726988342383265e-01
3.140000000000000013e-01,5.755824220764225174e-01
3.140999999999999903e-01,4.185985263263773959e-01
3.141999999999999793e-01,2.057996724579425063e-02
3.143000000000000238e-01,-5.663439965837824275e-02
3.144000000000000128e-01,1.889333854023789172e-01
3.145000000000000018e-01,4.340655845289802528e-01
3.145999999999999908e-01,4.475274685441945621e-01
3.146999999999999797e-01,2.706287198225254542e-01
3.148000000000000242e-01,3.260542406726472109e-01
3.149000000000000132e-01,2.193693772717324464e-01
3.150999999999999912e-01,4.838413198444868613e-02
3.151999999999999802e-01,-2.027001365422620438e-02
3.153000000000000247e-01,-8.751504541578469798e-03
3.154000000000000137e-01,-1.171325888244609814e-01
3.155000000000000027e-01,2.387677300764607935e-01
3.155999999999999917e-01,2.556953168675590859e-01
3.156999999999999806e-01,5.090137025442800223e-01
3.158000000000000251e-01,2.498903592277201824e-01
3.159000000000000141e-01,3.106044932719669305e-01
3.160000000000000031e-01,-1.857619753075141489e-01
3.160999999999999921e-01,8.094771395690258942e-03
3.161999999999999811e-01,-2.139527781916967797e-01
3.163000000000000256e-01,-3.308920210604355816e-01
3.164000000000000146e-01,-1.587391013154046959e-01
3.165999999999999925e-01,-3.386355718437243922e-01
3.166999999999999815e-01,-7.037222093183572724e-01
3.169000000000000150e-01,-5.487688673838420073e-01
3.170000000000000040e-01,-3.572074892747423291e-01
3.170999999999999930e-01,-2.048837487961918669e-01
3.171999999999999820e-01,-2.984111747405222559e-01
3.174000000000000155e-01,-7.290234737974969903e-01
3.175000000000000044e-01,-1.038815055834447776e+00
3.175999999999999934e-01,-8.065898753879992000e-01
3.178000000000000269e-01,-1.035139763279858016e+00
3.179000000000000159e-01,-7.720098444206087152e-01
3.180000000000000049e-01,-6.761953774005178275e-01
3.180999999999999939e-01,-5.461379691391812230e-01
3.183000000000000274e-01,-5.914638679814743227e-01
3.184000000000000163e-01,-3.244246570279756270e-01
3.185000000000000053e-01,-3.853653207925162860e-01
3.186999999999999833e-01,-3.314896396971107606e-01
3.187999999999999723e-01,-4.378420574209940241e-01
3.189000000000000168e-01,-4.698435103769043053e-01
3.190999999999999948e-01,-7.757233706363422243e-01
3.191999999999999837e-01,-5.740127620547355036e-01
3.192999999999999727e-01,-5.355643399459495413e-01
3.194000000000000172e-01,-1.324733497415309103e-01
3.195999999999999952e-01,-3.534371043499504594e-01
3.197999999999999732e-01,-8.761736296264643897e-02
3.199000000000000177e-01,4.952893438955925376e-01
3.200000000000000067e-01,8.223204718992747075e-01
3.200999999999999956e-01,6.655776925508689601e-01
3.202999999999999736e-01,8.828646683700753783e-01
3.204000000000000181e-01,1.150690532144835743e+00
3.205000000000000071e-01,1.261271110390907779e+00
3.205999999999999961e-01,1.298108744465025666e+00
3.209000000000000186e-01,1.489597864906272662e+00
3.210000000000000075e-01,1.354859460306670371e+00
3.210999999999999965e-01,1.526390846162939852e+00
3.211999999999999855e-01,1.165360267646292414e+00
3.215000000000000080e-01,1.102178801721493073e+00
3.215999999999999970e-01,1.167573444795152682e+00
3.216999999999999860e-01,1.369689882876855336e+00
3.219000000000000195e-01,1.226446168624988786e+00
3.220000000000000084e-01,1.376722349582450988e+00
3.221999999999999864e-01,1.308577550018299007e+00
3.222999999999999754e-01,1.526561736889107124e+00
3.224000000000000199e-01,1.863942767711932902e+00
3.226999999999999869e-01,2.393434407850463685e+00
3.227999999999999758e-01,2.442476080459073273e+00
3.229000000000000203e-01,2.276086204459033979e+00
3.230000000000000093e-01,2.049088598374282810e+00
3.232999999999999763e-01,2.245786540406697895e+00
3.234000000000000208e-01,1.985966979998238457e+00
3.235000000000000098e-01,1.623786972125117245e+00
3.236999999999999877e-01,1.583287820269788426e+00
3.239000000000000212e-01,1.651092590464713794e+00
3.240999999999999992e-01,1.459387036397401971e+00
3.241999999999999882e-01,1.357275104890277362e+00
3.244000000000000217e-01,1.246519667236952955e+00
