# T (K), dc/c (x 1e-5)
2.413100000000000023e+00,-1.368616205283876397e+00
2.412999999999999812e+00,-1.349564837028506492e+00
2.412900000000000045e+00,-1.320697287960671762e+00
2.412799999999999834e+00,-1.335489526055593679e+00
2.412700000000000067e+00,-1.303925964427424145e+00
2.412599999999999856e+00,-1.330892552086574643e+00
2.412500000000000089e+00,-1.313137564830975990e+00
2.412399999999999878e+00,-1.333446038926950461e+00
2.412300000000000111e+00,-1.283403169437084879e+00
2.412199999999999900e+00,-1.339140749042483369e+00
2.412100000000000133e+00,-1.356177362729551250e+00
2.411999999999999922e+00,-1.343422074455077997e+00
2.411900000000000155e+00,-1.359009844640463038e+00
2.411799999999999944e+00,-1.346270500136945936e+00
2.411700000000000177e+00,-1.320053239496632447e+00
2.411599999999999966e+00,-1.321325669302077177e+00
2.411500000000000199e+00,-1.344415125927814980e+00
2.411399999999999988e+00,-1.327761575918139814e+00
2.411300000000000221e+00,-1.335443464117909373e+00
2.411200000000000010e+00,-1.310165809726131947e+00
2.411099999999999799e+00,-1.333272832521048556e+00
2.411000000000000032e+00,-1.336977500749486625e+00
2.410899999999999821e+00,-1.356953150200880476e+00
2.410800000000000054e+00,-1.327754769462653694e+00
2.410699999999999843e+00,-1.314173216389238119e+00
2.410600000000000076e+00,-1.328611336509286200e+00
2.410499999999999865e+00,-1.335254340266260664e+00
2.410400000000000098e+00,-1.353821926741022308e+00
2.410299999999999887e+00,-1.340250217776554953e+00
2.410200000000000120e+00,-1.305462431156877878e+00
2.410099999999999909e+00,-1.304540562906825185e+00
2.410000000000000142e+00,-1.326384422644863559e+00
2.409899999999999931e+00,-1.336697077266614464e+00
2.409800000000000164e+00,-1.355459892295619140e+00
2.409699999999999953e+00,-1.338194642251221866e+00
2.409600000000000186e+00,-1.359990947816160700e+00
2.409499999999999975e+00,-1.322523070306294457e+00
2.409400000000000208e+00,-1.361453170468061913e+00
2.409299999999999997e+00,-1.349172600266165922e+00
2.409199999999999786e+00,-1.348177055257322010e+00
2.409100000000000019e+00,-1.361774965725603304e+00
2.408999999999999808e+00,-1.350054473146962364e+00
2.408900000000000041e+00,-1.340842402998594585e+00
2.408799999999999830e+00,-1.355349813264225656e+00
2.408700000000000063e+00,-1.333352949361033657e+00
2.408599999999999852e+00,-1.325886994973588084e+00
2.408500000000000085e+00,-1.328033079301717212e+00
2.408399999999999874e+00,-1.321646188172896696e+00
2.408300000000000107e+00,-1.301467040253166063e+00
2.408199999999999896e+00,-1.322942843160358040e+00
2.408100000000000129e+00,-1.323984267174831198e+00
2.407999999999999918e+00,-1.317136314608630787e+00
2.407900000000000151e+00,-1.330583587455091310e+00
2.407799999999999940e+00,-1.318743426580518019e+00
2.407700000000000173e+00,-1.324659659245573717e+00
2.407599999999999962e+00,-1.301987364568397254e+00
2.407500000000000195e+00,-1.302541586761796211e+00
2.407399999999999984e+00,-1.304470307749664659e+00
