# T (K), dc/c (x 1e-5)
2.328699999999999992e+00,-0.000000000000000000e+00
2.326799999999999979e+00,-1.636807263593817452e-01
2.326200000000000045e+00,8.737310451169960634e-02
2.317499999999999893e+00,8.796363836641521439e-02
2.311399999999999899e+00,6.900759609226869706e-03
2.304699999999999971e+00,9.790308761453009323e-02
2.297899999999999832e+00,8.255169653302238397e-02
2.290799999999999947e+00,2.362156176063077984e-01
2.284100000000000019e+00,-6.013385456162673171e-03
2.277099999999999902e+00,1.357000687745441025e-01
2.276899999999999924e+00,3.061493577589773363e-01
2.263500000000000068e+00,2.780767544799389590e-01
2.250999999999999890e+00,1.780161153981489608e-01
2.245099999999999874e+00,3.373267043958217970e-01
2.240400000000000169e+00,4.016194246266556744e-01
2.233299999999999841e+00,3.274492504643997104e-01
2.227599999999999802e+00,2.655764772013791131e-01
2.216600000000000126e+00,5.069360922369154920e-01
2.216400000000000148e+00,3.892586819410903676e-01
2.204899999999999860e+00,3.817839703575479082e-01
2.199199999999999822e+00,3.676159126747569061e-01
2.188000000000000167e+00,5.581904871715046568e-01
2.176600000000000090e+00,5.076627648733893494e-01
2.165399999999999991e+00,5.435749811398549181e-01
2.159899999999999931e+00,6.541357626250327018e-01
2.143699999999999939e+00,6.167351687499933455e-01
2.138599999999999834e+00,8.477097208435535602e-01
2.128000000000000114e+00,7.405612873756344250e-01
2.117799999999999905e+00,7.853461610630302348e-01
2.107600000000000140e+00,8.740141728692286671e-01
2.103099999999999969e+00,8.872971792898802779e-01
2.102500000000000036e+00,8.305427066239261524e-01
2.092200000000000060e+00,6.954820673857852187e-01
2.082399999999999807e+00,7.228372254103159200e-01
2.077399999999999913e+00,8.236878167798035166e-01
2.067699999999999871e+00,7.138400357653562622e-01
2.057999999999999829e+00,8.475442761416915882e-01
2.053199999999999914e+00,1.000032663923174692e+00
2.043400000000000105e+00,9.986156406872719327e-01
2.038400000000000212e+00,9.205009169257344359e-01
2.028399999999999981e+00,8.283357265066910724e-01
2.018499999999999961e+00,8.958953582350117628e-01
2.015000000000000124e+00,1.012081447596905548e+00
2.013599999999999834e+00,8.925402969660150010e-01
2.013399999999999856e+00,1.031072196392302631e+00
2.010400000000000187e+00,1.028463916121630239e+00
2.005900000000000016e+00,9.684928933635129633e-01
2.003899999999999793e+00,9.300784071302088396e-01
2.001599999999999824e+00,1.091970264306338478e+00
1.994599999999999929e+00,8.133138861869497749e-01
1.989999999999999991e+00,9.040512476423366861e-01
1.989000000000000101e+00,1.049046095365040232e+00
1.988799999999999901e+00,9.886654569164244899e-01
1.988599999999999923e+00,1.007067048067970205e+00
1.987300000000000066e+00,1.040423726733109788e+00
1.986900000000000110e+00,9.992745854807937311e-01
1.986299999999999955e+00,1.001984389569637868e+00
1.985300000000000065e+00,1.032883179357888093e+00
1.984199999999999964e+00,1.077857329931548813e+00
1.982399999999999940e+00,1.229773713112055411e+00
1.980699999999999905e+00,1.026078429317532681e+00
1.980199999999999960e+00,1.011073066200986803e+00
1.979500000000000037e+00,1.243738409946459900e+00
1.977999999999999980e+00,1.219458999337282634e+00
1.975600000000000023e+00,9.802245733706548281e-01
1.975500000000000034e+00,1.104186078417033423e+00
1.974800000000000111e+00,1.087153909996342538e+00
1.972599999999999909e+00,1.059698063175101845e+00
1.971500000000000030e+00,1.085711943402817292e+00
1.970499999999999918e+00,1.143442030201221371e+00
1.969799999999999995e+00,1.009674905267949452e+00
1.963700000000000001e+00,1.087913573610300944e+00
1.962099999999999955e+00,1.078704579039573064e+00
1.961100000000000065e+00,1.120694272359855415e+00
1.957600000000000007e+00,1.037239657346745281e+00
1.956099999999999950e+00,1.133819374870680852e+00
1.953000000000000069e+00,1.079372208993324644e+00
1.951899999999999968e+00,1.057889941137764245e+00
1.950800000000000090e+00,1.006338290377058131e+00
1.947899999999999965e+00,9.984948469733516685e-01
1.947599999999999998e+00,1.139683781194340773e+00
1.943999999999999950e+00,9.341427750023285626e-01
1.943699999999999983e+00,1.209196819874826856e+00
1.943599999999999994e+00,1.091065796588776227e+00
1.942199999999999926e+00,9.647377352978505627e-01
1.941899999999999959e+00,9.935329983308884838e-01
1.940399999999999903e+00,1.124209373773964238e+00
1.936700000000000088e+00,1.099329014062934373e+00
1.934399999999999897e+00,1.165038776323751968e+00
1.933300000000000018e+00,1.117709491573436242e+00
1.930500000000000105e+00,1.099336555749133471e+00
1.930199999999999916e+00,1.010559895409449016e+00
1.928099999999999925e+00,1.048662246223071914e+00
1.925100000000000033e+00,1.030504271170868513e+00
1.918199999999999905e+00,1.034720031793754602e+00
1.915999999999999925e+00,1.137427592055526127e+00
1.915799999999999947e+00,1.043159334007757399e+00
1.911799999999999944e+00,1.096978829857615079e+00
1.906700000000000061e+00,1.105525122758327372e+00
1.902199999999999891e+00,1.121417695689602700e+00
1.899299999999999988e+00,9.137976130505626182e-01
1.887499999999999956e+00,1.143133329051075675e+00
1.887299999999999978e+00,1.201344035422959644e+00
1.887199999999999989e+00,1.095664614822380090e+00
1.886900000000000022e+00,9.617120789826884009e-01
1.886600000000000055e+00,1.135114499177958924e+00
1.886200000000000099e+00,1.005037949762879634e+00
1.885899999999999910e+00,1.032903914512280030e+00
1.885299999999999976e+00,1.119874440685432404e+00
1.885099999999999998e+00,1.106480264985616691e+00
1.884500000000000064e+00,1.117512501790790536e+00
1.884400000000000075e+00,1.045582732939632331e+00
