# T (K), alpha_33 (Neper/m)
2.998000000000000109e-01,0.000000000000000000e+00
2.998999999999999999e-01,2.001527395326547776e-01
2.999999999999999889e-01,2.714026935221909298e-01
3.000999999999999779e-01,3.928928606662793754e-01
3.002000000000000224e-01,-7.062346500771354840e-01
3.003000000000000114e-01,-9.479708735284475551e-03
3.004000000000000004e-01,-1.986335098229119467e-02
3.004999999999999893e-01,-8.110871794390277500e-01
3.005999999999999783e-01,-5.700601740956017238e-01
3.007000000000000228e-01,8.546122711743464606e-02
3.008000000000000118e-01,4.279731320358450830e-01
3.009000000000000008e-01,-2.162423579970891296e-01
3.009999999999999898e-01,-4.004567944683685710e-01
3.010999999999999788e-01,-5.191846429260067453e-01
3.012000000000000233e-01,1.846695374323417127e-01
3.013000000000000123e-01,-1.111757837701361495e-01
3.014000000000000012e-01,4.503964296840194947e-01
3.014999999999999902e-01,3.171690228929264777e-01
3.015999999999999792e-01,2.553749593582779198e-01
3.017000000000000237e-01,-2.182426105762260704e-01
3.018000000000000127e-01,2.245567399156698229e-01
3.019000000000000017e-01,-1.723705427048116690e-01
3.019999999999999907e-01,-4.966538499536454765e-02
3.020999999999999797e-01,1.739248690569183964e-03
3.022000000000000242e-01,1.111014669365886220e-01
3.023000000000000131e-01,-1.265959215490966017e-01
3.024000000000000021e-01,-1.585064773040585351e-01
3.024999999999999911e-01,-3.979630790165629151e-01
3.025999999999999801e-01,-3.551044094995177147e-01
3.027000000000000246e-01,1.136780048691434786e-01
3.028000000000000136e-01,3.503916381912404177e-01
3.029000000000000026e-01,-8.356022418922748329e-02
3.029999999999999916e-01,-4.945977865221493630e-01
3.030999999999999805e-01,-1.712096461485543841e-01
3.032000000000000250e-01,5.068399954177493782e-02
3.033000000000000140e-01,1.980317405084406346e-01
3.034000000000000030e-01,4.310101116357145656e-02
3.034999999999999920e-01,-2.805164585981856362e-02
3.035999999999999810e-01,7.564386036119685741e-02
3.037000000000000255e-01,-2.341889166697228575e-01
3.038000000000000145e-01,-4.773090357640512593e-01
3.039000000000000035e-01,-4.476139987557417044e-01
3.039999999999999925e-01,-6.536955734839011711e-02
3.040999999999999814e-01,9.171577056156365870e-02
3.042000000000000259e-01,2.736607206335293085e-01
3.043000000000000149e-01,-2.410615574137864314e-02
3.044000000000000039e-01,4.605251485559165303e-01
3.044999999999999929e-01,4.127177507580199745e-01
3.045999999999999819e-01,5.591931763467528071e-02
3.047000000000000264e-01,3.095518681902831304e-02
3.048000000000000154e-01,-8.290847564582008999e-01
3.049000000000000044e-01,-5.548730976579463459e-02
3.049999999999999933e-01,-9.154795510539770476e-02
3.050999999999999823e-01,1.696861183647797588e-01
3.052000000000000268e-01,1.391957183494696437e-01
3.053000000000000158e-01,-2.152543284928469802e-01
3.054000000000000048e-01,-3.262317542544224125e-01
3.054999999999999938e-01,-1.013276961327846948e-02
3.055999999999999828e-01,1.634724825850071284e-01
3.057000000000000273e-01,2.722888007258461585e-02
3.058000000000000163e-01,8.712716845366230700e-03
3.059000000000000052e-01,3.247915382419250818e-01
3.059999999999999942e-01,2.414057271819274320e-01
3.060999999999999832e-01,1.455583543513512268e-01
3.062000000000000277e-01,6.700919897200492414e-01
3.063000000000000167e-01,2.009827399941741533e-01
3.064999999999999947e-01,3.892982685782726548e-01
3.065999999999999837e-01,5.448638749635392742e-01
3.066999999999999726e-01,-6.123289058177761035e-02
3.069000000000000061e-01,-3.412379163835339568e-01
3.069999999999999951e-01,-1.837239820384866107e-01
3.070999999999999841e-01,6.584283892721032316e-02
3.071999999999999731e-01,-2.365978697390573871e-01
3.073000000000000176e-01,-1.248277772207302405e-01
3.074000000000000066e-01,1.240244481272156918e-01
3.074999999999999956e-01,-3.214860447405953892e-02
3.076999999999999735e-01,3.209612313274874396e-01
3.078000000000000180e-01,6.552618474759128731e-01
3.079999999999999960e-01,7.217048586981036351e-01
3.081999999999999740e-01,6.049974693517015112e-01
3.083000000000000185e-01,2.323463089503547963e-01
3.086999999999999744e-01,7.837464078011180391e-02
3.089000000000000079e-01,3.248179061272367107e-01
3.096999999999999753e-01,2.637010800143571032e-01
3.101999999999999758e-01,1.613066971589205423e-01
3.108000000000000207e-01,-3.457657249589374260e-02
3.124000000000000110e-01,6.248352159967680564e-01
3.134000000000000119e-01,6.042781850408118771e-01
3.161999999999999811e-01,5.371958705742372331e-01
3.180000000000000049e-01,4.025373651999188951e-01
3.222999999999999754e-01,-4.696354936186253326e-03
3.249000000000000221e-01,-1.506076609670117250e-01
3.279000000000000248e-01,-1.485405978525022874e-01
3.345000000000000195e-01,-2.071525906677607054e-01
3.381000000000000116e-01,-4.389367240336241593e-01
3.417999999999999927e-01,-2.729777900910903554e-01
3.497000000000000108e-01,-5.551292799475504580e-02
3.538000000000000034e-01,9.642793335569876945e-02
3.618999999999999995e-01,-4.675573233214436186e-02
3.659999999999999920e-01,-9.499517095764531405e-02
3.700999999999999845e-01,3.959102369224183349e-01
3.740999999999999881e-01,2.108253143296678900e-02
3.819000000000000172e-01,-2.239739241375673373e-01
3.856999999999999873e-01,-2.257732527092457531e-01
3.930000000000000160e-01,-4.017248636005206208e-01
3.963999999999999746e-01,-2.891000124584479636e-01
4.030000000000000249e-01,-3.945601575529735783e-01
4.061000000000000165e-01,-4.700117297784345283e-02
4.092000000000000082e-01,-2.221062348647819817e-01
4.148000000000000020e-01,-5.303669804368382756e-02
4.176000000000000267e-01,-2.297858252984497085e-02
4.202000000000000179e-01,-1.055598411471692089e-01
4.227000000000000202e-01,-9.217163593143595790e-02
4.277000000000000246e-01,6.477026376262529084e-02
4.300999999999999823e-01,-1.345433292580082707e-01
4.348000000000000198e-01,-3.776459841174073517e-02
4.370999999999999885e-01,1.731197887000917035e-01
4.394000000000000128e-01,1.685325976613967214e-01
4.416999999999999815e-01,4.836828187478658947e-02
4.460999999999999965e-01,4.156618762681318913e-02
4.481999999999999873e-01,5.170454477649855107e-02
4.504000000000000226e-01,-2.500318979764415417e-01
4.545000000000000151e-01,-2.865253900677089405e-01
4.565000000000000169e-01,-4.425785551742364987e-01
4.583999999999999742e-01,-3.995841726723483589e-01
4.610000000000000209e-01,5.516158555932406671e-01
4.611000000000000099e-01,1.687385143557094125e-01
4.611999999999999988e-01,-2.621783945085098821e-02
4.612999999999999878e-01,1.421672453911924094e-01
4.613999999999999768e-01,2.059918543017147385e-01
4.615000000000000213e-01,3.902804926799490204e-01
4.616000000000000103e-01,7.306490056830625690e-01
4.616999999999999993e-01,1.347298699627117458e-01
4.618999999999999773e-01,-3.204538796160250058e-02
4.620000000000000218e-01,-1.337391004768733183e-01
4.621000000000000107e-01,3.751243960925876308e-02
4.622999999999999887e-01,-1.184680346185587041e-01
4.623999999999999777e-01,2.868388784291937554e-01
4.625000000000000222e-01,-1.062637779804163074e-01
4.626000000000000112e-01,9.805443653590373287e-02
4.627000000000000002e-01,1.974533523127774970e-01
4.627999999999999892e-01,-8.888770494093023444e-02
4.628999999999999782e-01,7.054514454216587183e-02
4.630000000000000226e-01,1.004353974668674709e-01
