# T (K), alpha_33 (Neper/m)
2.519899999999999807e+00,0.000000000000000000e+00
2.519699999999999829e+00,3.068573141861179465e-01
2.519600000000000062e+00,2.696261674650486384e-01
2.519400000000000084e+00,1.591142884799410240e-01
2.519200000000000106e+00,-2.650568244150690589e-01
2.519099999999999895e+00,-8.252852667494607886e-01
2.519000000000000128e+00,-1.131727595160327837e+00
2.518899999999999917e+00,-1.082216880066653175e+00
2.518699999999999939e+00,-9.056433754083172971e-01
2.518499999999999961e+00,-2.538679075607888080e-01
2.518400000000000194e+00,6.058013769745684840e-01
2.518299999999999983e+00,1.005285373841388719e+00
2.518200000000000216e+00,1.516666862590227538e+00
2.518100000000000005e+00,1.576033508456248455e+00
2.517999999999999794e+00,1.282930433996170905e+00
2.517900000000000027e+00,1.015915342069092731e+00
2.517799999999999816e+00,4.934638200547851739e-01
2.517700000000000049e+00,1.371820981885321089e-01
2.517599999999999838e+00,2.838227190013640211e-01
2.517399999999999860e+00,5.758537628107660566e-01
2.517300000000000093e+00,1.897769968325064838e-01
2.517199999999999882e+00,9.313057149063297402e-01
2.516999999999999904e+00,1.297075503616497372e+00
2.516900000000000137e+00,1.212675219622269651e+00
2.516799999999999926e+00,1.147941332555092231e+00
2.516599999999999948e+00,1.255894500409567627e+00
2.516500000000000181e+00,9.262273500610263000e-01
2.516300000000000203e+00,9.523479854740344308e-01
2.516000000000000014e+00,1.031360573181245854e+00
2.515899999999999803e+00,8.831046351385793969e-01
2.515800000000000036e+00,5.574005623502671369e-01
2.515600000000000058e+00,5.004042260254664143e-01
2.515400000000000080e+00,4.598251804907249607e-01
2.515200000000000102e+00,6.978663152062836161e-01
2.515099999999999891e+00,6.317371648483458557e-01
2.515000000000000124e+00,1.187144155079522534e+00
2.514899999999999913e+00,9.719400123715331574e-01
2.514499999999999957e+00,5.958889430673934839e-01
2.514400000000000190e+00,1.595056151529661292e-01
2.514200000000000212e+00,-2.394259945888279617e-01
2.514100000000000001e+00,-1.827463697866278380e-01
2.513799999999999812e+00,-1.647225746614822128e-01
2.513700000000000045e+00,-4.262730626805932843e-03
2.513500000000000068e+00,-2.496874832584126125e-01
2.513300000000000090e+00,6.026514027257690032e-02
2.513199999999999878e+00,-1.933266465455290017e-01
2.513100000000000112e+00,-2.107445733161057433e-01
2.512999999999999901e+00,-4.447978926421001233e-01
2.512799999999999923e+00,-5.878765392501463793e-01
2.512700000000000156e+00,-7.241181081428749167e-01
2.512599999999999945e+00,-7.599486934434480645e-01
