"t","n1","n2"
0.,0,0.8874119674649424
0.01,0,0.8845903006477066
0.02,0,0.8817596044274199
0.03,0,0.8789197915623473
0.04,0,0.8760707733967616
0.05,0,0.873212459828649
0.06,0,0.8703447592764605
0.07,0,0.8674675786448737
0.08,0,0.8645808232895291
0.09,0,0.8616843969807043
0.1,0,0.8587782018658834
0.11,0,0.8558621384311845
0.12,0,0.852936105461599
0.13,0,0.8499999999999999
0.14,0,0.8470537173048708
0.15,0,0.8440971508067067
0.16,0,0.8411301920630361
0.17,0,0.8381527307120105
0.18,0,0.8351646544245033
0.19,0,0.8321658488546619
0.2,0,0.82915619758885
0.21,0,0.8261355820929153
0.22,0,0.8231038816577164
0.23,0,0.8200609733428362
0.24,0,0.8170067319184096
0.25,0,0.8139410298049853
0.26,0,0.8108637370113427
0.27,0,0.8077747210701756
0.28,0,0.8046738469715541
0.29,0,0.8015609770940698
0.3,0,0.7984359711335656
0.31,0,0.7952986860293433
0.32,0,0.7921489758877429
0.33,0,0.788986691902975
0.34,0,0.7858116822750855
0.35000000000000003,0,0.7826237921249264
0.36,0,0.7794228634059948
0.37,0,0.7762087348130012
0.38,0,0.7729812416870153
0.39,0,0.7697402159170326
0.4,0,0.7664854858377945
0.41000000000000003,0,0.7632168761236874
0.42,0,0.7599342076785331
0.43,0,0.7566372975210778
0.44,0,0.7533259586659682
0.45,0,0.75
0.46,0,0.746659226153404
0.47000000000000003,0,0.7433034373659253
0.48,0,0.7399324293474371
0.49,0,0.7365459931328118
0.5,0,0.733143914930759
0.51,0,0.7297259759663212
0.52,0,0.7262919523166975
0.53,0,0.722841614740048
0.54,0,0.7193747284969079
0.55,0,0.7158910531638176
0.56,0,0.7123903424387503
0.5700000000000001,0,0.7088723439378912
0.58,0,0.7053367989832943
0.59,0,0.70178344238091
0.6,0,0.698212002188447
0.61,0,0.6946221994724903
0.62,0,0.6910137480542626
0.63,0,0.687386354243376
0.64,0,0.6837397165588671
0.65,0,0.6800735254367721
0.66,0,0.6763874629234341
0.67,0,0.6726812023536854
0.68,0,0.6689544080129826
0.6900000000000001,0,0.6652067347825035
0.7000000000000001,0,0.6614378277661476
0.71,0,0.6576473218982952
0.72,0,0.653834841531101
0.73,0,0.65
0.74,0,0.6461423991660042
0.75,0,0.6422616289332564
0.76,0,0.6383572667401852
0.77,0,0.634428877022476
0.78,0,0.6304760106459246
0.79,0,0.6264982043070834
0.8,0,0.6224949798994366
0.81,0,0.618465843842649
0.8200000000000001,0,0.6144102863722253
0.8300000000000001,0,0.610327780786685
0.84,0,0.6062177826491071
0.85,0,0.6020797289396148
0.86,0,0.5979130371550699
0.87,0,0.5937171043518958
0.88,0,0.5894913061275798
0.89,0,0.5852349955359812
0.9,0,0.5809475019311126
0.91,0,0.5766281297335397
0.92,0,0.5722761571129797
0.93,0,0.5678908345800273
0.9400000000000001,0,0.5634713834792322
0.9500000000000001,0,0.5590169943749473
0.96,0,0.5545268253204708
0.97,0,0.55
0.98,0,0.5454356057317857
0.99,0,0.5408326913195984
1.,0,0.5361902647381804
1.01,0,0.5315072906367324
1.02,0,0.5267826876426369
1.03,0,0.5220153254455274
1.04,0,0.51720402163943
1.05,0,0.5123475382979799
