# Temperature (K)	Attenuation (Neper/m)
0.3033	870.5471298120577
0.3034	870.3832425019826
0.3035	871.1415047600595
0.3036	871.1109271217615
0.3037	872.6406113792291
0.3038	870.531779960224
0.3039	869.8530119186746
0.304	871.3622300042032
0.3041	870.7104893921995
0.3042	869.8689668510968
0.3043	869.7830089088011
0.3044	870.4430223799641
0.3045	870.8076971022211
0.3046	869.8548660741117
0.3047	870.2758113332158
0.3048	871.6749957308745
0.3049	870.7308929154088
0.305	869.5569649433776
0.3051	871.0205343180329
0.3052	870.7443082669548
0.3053	869.7560122914812
0.3054	870.0955588034268
0.3055	870.0286936755666
0.3056	870.1695530890022
0.3057	870.6997508264577
0.3058	871.002418996699
0.3059	871.0382264853242
0.306	869.3208987262373
0.3061	870.1872383291518
0.3062	871.1240976516918
0.3063	871.2283090925864
0.3064	870.6453318466922
0.3065	869.2170977854178
0.3066	870.2148505230799
0.3067	870.077974018623
0.3068	870.0463249869877
0.3069	870.4774092387667
0.307	871.0862664638558
0.3071	870.1335429503276
0.3072	870.766003498413
0.3073	872.2587243446355
0.3074	870.3995021265976
0.3075	870.5936572338819
0.3076	871.5512440977502
0.3077	870.0377025910421
0.3078	869.8002797992629
0.3079	870.8719516532785
0.308	871.2646985825346
0.3081	871.1780041772686
0.3082	870.4119593572808
0.3083	870.5077190872267
0.3084	870.4650401389752
0.3085	870.912264421248
0.3086	870.9366608102874
0.3087	870.1595786032493
0.3088	871.5042268564998
0.3089	871.7690782117081
0.309	870.6473386656689
0.3091	869.6527072730986
0.3092	869.5635100067741
0.3093	871.1733367384052
0.3094	871.0085486073225
0.3095	870.5833273773202
0.3096	872.0238828437068
0.3097	871.4275033525743
0.3098	870.6348067516019
0.3099	870.7151331349661
0.31	870.1344640746648
0.3101	870.8594166985639
0.3102	871.1656484003796
0.3103	869.7222842028523
0.3104	870.6356092344346
0.3105	871.2766505078166
0.3106	871.6790582745198
0.3107	870.5471786729076
0.3108	871.1032712822611
0.3109	871.2559627007431
0.311	869.8591977333259
0.3111	871.2703710621195
0.3112	870.924557200343
0.3113	870.412290880249
0.3114	869.3974347125691
0.3115	871.5306563405952
0.3116	870.3797366791946
0.3117	870.5980320405428
0.3118	869.5410752268501
0.3119	869.5135537356651
0.312	870.5658471312464
0.3121	871.0557368299226
0.3122	870.8582676790695
0.3123	871.1766060058053
0.3124	871.6762132905908
0.3125	871.1330238679299
0.3126	871.7659501027242
0.3127	871.1300667695128
0.3128	871.9037168971544
0.3129	870.284016193972
0.313	870.2240817744369
0.3131	870.4167034760533
0.3132	870.377485660116
0.3133	871.000863358388
0.3134	870.7445883426393
0.3135	870.6920054990666
0.3136	870.5051427785477
0.3137	869.5588612925295
0.3138	870.6677815893842
0.3139	869.3201104778394
0.314	870.5492937410489
0.3141	871.458444915941
0.3142	871.322855776895
0.3143	870.1353240665553
0.3144	870.8316154077066
0.3145	870.3554605751276
0.3146	869.26405497758
0.3147	870.0184928144566
0.3148	870.9546499492452
0.3149	871.1684194980879
0.315	869.4281185748174
0.3151	871.7171658244305
0.3152	870.7396991166366
0.3153	870.4691559983291
0.3154	871.2763857976911
0.3155	871.3165143969795
0.3156	872.371644412764
0.3157	871.8675823818912
0.3158	870.7168227480503
0.3159	871.25892646782
0.316	871.2106066542989
0.3161	870.2295697178677
0.3162	869.3641733771141
0.3163	869.8582283566958
0.3164	870.2642894810414
0.3165	870.3065730123463
0.3166	869.6115028964083
0.3167	870.2668990935368
0.3168	870.1755400358624
0.3169	869.5741910960327
0.317	870.3399175040303
0.3171	869.7169226735505
0.3172	870.3368718309424
0.3173	870.9380752251844
0.3174	870.6678428491281
0.3175	870.8955160072385
0.3176	869.0456416436065
0.3177	871.1369930202693
0.3179	871.3380077780979
0.318	871.2524575498126
0.3181	871.0734640399048
0.3184	869.9299026657671
0.3187	870.3932123431573
0.3188	869.3760896415447
0.3189	871.6784238080115
0.3191	871.1930410896791
0.3193	871.0472772021258
0.3194	871.83740086251
0.3196	871.0503815825233
0.3197	871.2335515613877
0.3199	870.6826901845258
0.32	870.614953287154
0.3202	871.4466163950626
0.3203	871.1643804573159
0.3206	870.8719600777245
0.3207	870.0355465754626
0.3209	869.8850229476215
0.3212	870.1414951497632
0.3213	870.8617216365001
0.3217	870.4596833824314
0.3218	869.6040312004874
0.3219	869.4154693109697
0.322	870.9160181013973
0.3223	871.8409569772882
0.3224	870.7004028336352
0.3228	871.1976103915201
0.3229	871.4492896958313
0.323	870.5051478623296
0.3235	869.8376363455885
0.3238	869.624586959818
0.324	870.3571778313553
0.3244	870.1749494838276
0.3247	870.2950121576631
0.3248	870.8886229122363
0.3251	871.1447819302144
0.3253	870.4852290353848
0.3254	871.2355121591409
0.3258	871.6584633228841
0.3259	871.7188164514926
0.326	869.603742876421
0.3261	870.4862698588903
0.3266	871.3894104544937
0.3268	870.8817700271198
0.3269	870.3893384830529
0.3273	870.2222725712697
0.3275	870.0285924126208
0.3277	869.5868517306067
0.328	870.2483301070552
0.3282	870.75260058424
0.3284	870.8346691390094
0.3286	871.0759108132861
0.329	871.8021427775298
0.3292	871.0799345208566
0.3294	871.8854175200564
0.3298	871.2499184310054
0.33	870.7080133349928
0.3302	871.365576770714
0.3307	870.5239516794024
0.3309	870.6283073735025
0.3311	870.2668524791119
0.3315	870.1784744996512
0.3317	869.6812432531572
0.332	869.2746853691604
