# Temperature (K)	Attenuation (Neper/m)
0.3081	0.0
0.3082	0.005802735686302185
0.3083	-0.32392607480278457
0.3084	-0.2741320673376322
0.3085	-0.0661785271017834
0.3086	-0.8091690354049206
0.3087	-0.6476566676051334
0.3088	-0.9418364524840399
0.3089	0.37757261693468536
0.309	0.48928805887703675
0.3091	0.8778273958712361
0.3092	1.351503076031804
0.3093	1.04308578968039
0.3094	-0.4281396664678141
0.3095	-0.7204135406761907
0.3096	-1.1963077407331184
0.3097	-1.4530589703470014
0.3098	-0.6918300438671849
0.3099	0.08588657639916164
0.31	-0.15573397167031544
0.3101	-0.4671343240886472
0.3102	-0.4437398757786468
0.3103	-1.05012068375936
0.3104	-1.558795909211085
0.3105	-0.8767313208431915
0.3106	-0.0688433855771109
0.3107	0.46380427777762634
0.3108	0.7927330631762288
0.3109	1.5154950819910482
0.311	1.5712416768074036
0.3111	1.5310141991824366
0.3112	1.5447806138545275
0.3113	1.1350892245768591
0.3114	1.3837720114738659
0.3115	1.6784883279353835
0.3116	2.1545947171748594
0.3117	2.063677230849862
0.3118	2.338387873768852
0.3119	1.9780726477504231
0.312	1.8980810780078627
0.3121	1.0027455389499664
0.3122	0.4369837261735938
0.3123	0.4164042375982717
0.3124	0.3221607923508145
0.3125	-0.16047492437064648
0.3126	-0.052666730433656994
0.3127	0.1188921108841896
0.3128	-0.10954722501332981
0.3129	-0.6642525397242025
0.313	-0.8085935231297299
0.3131	-0.659591625258372
0.3132	-0.9578680150211767
0.3133	-1.029330924525766
0.3134	-0.6592646900564887
0.3135	-0.48587289489796603
0.3136	-0.42961158119146603
0.3137	-0.11641342081134098
0.3138	0.5491063997149013
0.3139	0.9920502651482366
0.314	0.3949957329780318
0.3141	0.07549467012290734
0.3142	0.2742878507822297
0.3143	0.3908404946328119
0.3144	0.9481049083174184
0.3145	2.3833411749451443
0.3146	2.5344931848346732
0.3147	2.42602785155168
0.3148	2.4263554099948124
0.3149	2.0510989982635692
0.315	1.7375608529896454
0.3151	1.9150341298432068
0.3152	2.5062519468367555
0.3153	2.641529656574221
0.3154	2.24728497453043
0.3155	2.141693055257292
0.3156	2.2854550667107105
0.3157	1.6266913454978749
0.3158	1.1167590007185026
0.3159	0.481654617562981
0.316	-0.5614565182477236
0.3161	-1.4328708052635193
0.3162	-1.8694646622984692
0.3163	-2.487450466677501
0.3164	-2.1011132769285723
0.3165	-1.771908789500685
0.3166	-1.765878070890949
0.3167	-1.0889823555946805
0.3168	-0.5605191241950251
0.3169	-0.24053059071297866
0.317	-0.02599657811219913
0.3171	0.6891965374350093
0.3172	1.1099606823177055
0.3173	0.5201428104192019
0.3174	0.966643001511784
0.3175	1.1351823918521404
0.3176	0.9425382670015097
0.3177	0.11047104299063903
0.3178	1.0701638501136586
0.3179	0.6148627545685486
0.318	0.29829862900078297
0.3181	-0.14898302033543587
0.3183	-0.5597765136510588
0.3184	-1.7008707437664725
0.3185	-1.8776088569313742
0.3187	-1.6733029760421232
0.3189	-1.3866773210465908
0.319	-0.572557837888553
0.3193	0.9519332479685545
0.3194	1.7699631799011968
0.3196	2.7300737518817186
0.3201	3.727429727837489
0.3204	3.613323527947159
0.3208	3.118914795667024
0.3218	2.7776136599482015
0.3225	1.8628246121108987
0.3234	1.0013453871010825
0.3257	0.5438018530608133
0.3273	0.11746782660475219
0.3291	0.08099992722281968
0.3337	0.6290300633759216
