# Temperature (K)	Delta c33/c33 (1e-5)
0.3056	-5.026927888045496
0.3057	-5.0517866863723375
0.3058	-5.077231286056678
0.3059	-5.115049614432699
0.306	-5.105371852957084
0.3061	-5.124036764471939
0.3062	-5.09245411883887
0.3063	-5.088870967083904
0.3064	-5.0389082712165045
0.3065	-5.0224329394061575
0.3066	-5.0033076652518265
0.3067	-4.944999935131185
0.3068	-4.976370756776926
0.3069	-5.007001976423437
0.307	-5.035938453951328
0.3071	-5.099011033532277
0.3072	-5.1383667674376765
0.3073	-5.150887299572889
0.3074	-5.180098979316896
0.3075	-5.202225899241674
0.3076	-5.168321994090054
0.3077	-5.103618618441774
0.3078	-5.099515629651092
0.3079	-5.05817381863427
0.308	-5.022312644590674
0.3081	-5.035936045790862
0.3082	-5.0037737945788825
0.3083	-5.00874713459736
0.3084	-5.070371019246219
0.3085	-5.057792711897939
0.3086	-5.029156174436159
0.3087	-5.079274019036921
0.3088	-5.077567022884766
0.3089	-5.055763663534353
0.309	-5.025647383382761
0.3091	-5.007028384072536
0.3092	-4.994834731596659
0.3093	-5.000872613148146
0.3094	-4.969516841798764
0.3095	-4.943417979674257
0.3096	-4.96316172849379
0.3097	-4.991312394877958
0.3098	-5.003421660643112
0.3099	-5.028720606288477
0.31	-5.082322498184655
0.3101	-5.122617814082176
0.3102	-5.162363243248681
0.3103	-5.153991086747785
0.3104	-5.166370911396514
0.3105	-5.1839212067065
0.3106	-5.19641640194114
0.3107	-5.229762137144209
0.3108	-5.2203754667444615
0.3109	-5.2134314419648975
0.311	-5.2343881087032464
0.3111	-5.249716400268204
0.3112	-5.234804511942306
0.3113	-5.186811388605925
0.3114	-5.151082506989148
0.3115	-5.164853308460833
0.3116	-5.18607557925592
0.3117	-5.17265972552429
0.3118	-5.125789306355253
0.3119	-5.126142801646155
0.312	-5.1653806952742976
0.3121	-5.156529133127761
0.3122	-5.173674585369555
0.3123	-5.167536668841272
0.3124	-5.171673821706552
0.3125	-5.1701002064323065
0.3127	-5.15843710334079
0.3128	-5.151135961427778
0.313	-5.150434820965246
0.3131	-5.125960697482792
0.3132	-5.093962222639242
0.3134	-5.11225309959832
0.3135	-5.168272522732496
0.3136	-5.200630831977598
0.3138	-5.215828203501437
0.3139	-5.234161072788587
0.314	-5.278927281743256
0.3141	-5.31312202396652
0.3143	-5.2896979106526665
0.3145	-5.275808956596391
0.3146	-5.287789950705851
0.3147	-5.300757511948984
0.3151	-5.312355657565036
0.3153	-5.254551001933389
0.3156	-5.2176952200329545
0.316	-5.218289579033893
0.3171	-5.202792787745701
0.318	-5.1696995287196925
0.3191	-5.1243712908477566
0.3206	-5.091623481269564
0.3251	-5.080101302011116
0.3282	-5.1028584135769535
0.3319	-5.11571640843278
0.3411	-5.098596830843625
0.3466	-5.084364517209573
0.3524	-5.048850226282252
0.3647	-5.018674855916744
0.3708	-5.01416389194005
0.3769	-5.035810730647901
0.3827	-5.041030213463653
0.3934	-5.040919863033176
0.3983	-5.033347147142452
0.4029	-5.090629147752151
0.4114	-5.1403426817752536
0.4154	-5.176879628469228
0.4192	-5.158385463358509
0.4265	-5.153507015635627
0.4299	-5.202632128474524
0.4333	-5.26552624500238
0.4365	-5.257155811653454
0.4428	-5.233307832321747
0.4459	-5.184090402537868
0.4489	-5.135012031371563
0.4549	-5.154038056877047
0.4579	-5.152257825372161
0.4639	-5.141768917767725
0.4669	-5.151887724946107
0.4699	-5.174116267929705
0.4729	-5.247614627846971
0.4788	-5.328752171812213
0.4816	-5.351187523968102
0.4845	-5.348820359485742
0.49	-5.3557070678990115
0.4926	-5.384543594976602
0.4953	-5.39589037317841
0.5004	-5.406327688834143
0.503	-5.394318583626571
0.5055	-5.4080308111709225
0.5081	-5.3981929752742355
0.5133	-5.3834547575827525
0.5159	-5.3488986984419755
0.5185	-5.350955487268427
0.5233	-5.338073760928872
0.5255	-5.3153652045238085
0.5277	-5.257170052941773
0.5298	-5.255740157651425
0.5342	-5.26638121365247
0.5365	-5.295403484856423
0.5387	-5.245020534533736
0.5434	-5.250646383324829
0.5455	-5.323125982641865
0.5475	-5.401931160747192
0.551	-5.413387004568162
0.5525	-5.439931579851637
0.554	-5.4342921226371415
0.5568	-5.507181805189797
0.5584	-5.5448513088160905
0.5599	-5.500859246929992
0.5628	-5.4607896445320865
0.5642	-5.502105815251588
0.5655	-5.467551525388913
0.5663	-5.477956544716154
0.5664	-5.443967101256839
0.5665	-5.441571317740199
0.5666	-5.476091516705742
0.5667	-5.506959612045386
0.5668	-5.476115861883145
0.5669	-5.521383445937177
0.567	-5.506303681033804
0.5671	-5.510276834960205
0.5672	-5.4446792593148245
0.5673	-5.401772457326574
0.5674	-5.345573988484121
0.5675	-5.304548461819346
0.5676	-5.28992803676848
0.5677	-5.2510892077716065
0.5679	-5.2735702867158825
0.568	-5.33598920112608
0.5682	-5.3379732691882396
0.5684	-5.374315845174553
0.5686	-5.425652883156418
0.5687	-5.459249543318301
0.5688	-5.491132140417664
0.5689	-5.541459049518796
0.569	-5.496526186242498
0.5691	-5.5588575159177545
0.5692	-5.572259056987013
0.5693	-5.582148723689933
0.5694	-5.507828437327911
0.5696	-5.541939069181684
0.5697	-5.497620054820399
0.5698	-5.502437124885708
0.5699	-5.463069115567504
0.5701	-5.498181701268284
0.5703	-5.4586926865205925
0.5704	-5.481841495313612
0.5706	-5.477825089204543
0.5708	-5.5126501375367365
0.5709	-5.527476999906398
0.571	-5.522664388758796
0.5711	-5.499355367441415
0.5713	-5.536823705727648
0.5715	-5.557712414167279
0.5717	-5.558574224893903
0.5718	-5.480397078822307
0.572	-5.5009798798939045
0.5723	-5.478810759198807
0.5728	-5.410732410698903
0.5729	-5.370029802090836
0.5731	-5.3165511590628185
0.5732	-5.265008033514753
0.5734	-5.262576488751637
0.5735	-5.249491187037606
0.5739	-5.282114436776845
0.5742	-5.336560726115455
0.5745	-5.3967370408473405
0.5748	-5.441492696873587
0.5749	-5.49040627567417
0.5753	-5.548747472502299
0.5754	-5.54156103321627
0.5755	-5.561577189353641
0.5756	-5.593440915367164
0.5757	-5.5482546922331935
0.576	-5.508762828813182
0.5763	-5.451667649562347
0.5764	-5.471379852630393
0.5768	-5.482859208351211
0.5769	-5.424306924970754
0.5772	-5.3749242990323305
0.5775	-5.34587169867043
0.5776	-5.367310192208274
0.578	-5.390667375385874
0.5781	-5.342924456088752
0.5784	-5.334535994015521
0.5787	-5.336565823108855
0.5788	-5.309118881072649
0.5789	-5.380937392862921
0.5793	-5.431923555301152
0.5795	-5.479981461940186
0.5796	-5.523858827538926
0.5799	-5.535332570877383
0.5802	-5.588038075015997
0.5806	-5.596549407026734
0.5809	-5.569139256322624
0.5811	-5.522538598935014
0.5812	-5.550497593289232
0.5815	-5.514795804785344
0.5816	-5.502309921614092
0.5819	-5.5143661430683135
0.5821	-5.528956250065965
0.5822	-5.486325202787113
0.5825	-5.506944220302321
0.5828	-5.467089131853147
0.583	-5.434247424460068
0.5833	-5.427400086626296
0.5834	-5.392198279860747
0.5836	-5.406842255561665
0.5838	-5.423335102835003
0.5839	-5.415869420729305
0.5843	-5.418403677205326
0.5844	-5.506122609617562
0.5847	-5.539030527973615
0.5849	-5.54823463788062
0.585	-5.562204077727031
0.5854	-5.635639941426031
0.5855	-5.638514919929991
0.5856	-5.613141183569049
0.5857	-5.564512983264491
0.5859	-5.554882487753998
0.5862	-5.550966781664391
0.5863	-5.555198845493983
0.5864	-5.504349317595163
0.5866	-5.5081089890405
0.5868	-5.487718847681871
0.587	-5.477698133376628
0.5871	-5.4654046570916055
0.5874	-5.460696901694418
0.5876	-5.418886370552576
0.5877	-5.4219339103502735
0.5878	-5.403199662893888
0.5879	-5.444743932056427
0.588	-5.426776660514514
0.5881	-5.416110326290373
0.5882	-5.383085309243373
0.5883	-5.357907786035833
0.5884	-5.334645903447301
0.5885	-5.330450662884315
0.5886	-5.295222456454306
0.5887	-5.332646082452859
0.589	-5.358266501524887
0.5895	-5.407702950728108
0.5901	-5.46015709376558
0.5906	-5.451688449808183
0.5917	-5.478812936383156
0.5923	-5.554365335177685
0.5929	-5.581222768553914
0.5934	-5.605003479918275
0.5946	-5.5850193536907495
0.5952	-5.549375708104001
0.5957	-5.555723665507486
0.5969	-5.555636758504988
0.5975	-5.477702652192502
0.598	-5.448679845391561
0.5992	-5.398224977975175
0.5998	-5.403236366809421
0.6004	-5.409437516260647
0.6017	-5.417543362352861
0.6023	-5.418192074131966
0.6029	-5.445631895776778
0.6041	-5.425501890726118
0.6047	-5.445059009681897
0.6054	-5.412940795485622
0.606	-5.4329228791653925
0.6072	-5.440969293782553
0.6079	-5.4357533719065385
0.6085	-5.3949146136640245
0.6098	-5.366675376579206
0.6104	-5.344815477280837
0.6111	-5.338079928676227
0.6117	-5.326804522139821
0.613	-5.287844733016993
0.6137	-5.234642603247001
0.6143	-5.275365264134563
0.6156	-5.34535057173827
0.6162	-5.372243463206929
0.6169	-5.425979080406677
0.6182	-5.4414817425716695
0.6188	-5.497003147422486
0.6195	-5.587138657341613
0.6208	-5.627304841055297
0.6214	-5.612539135743015
0.6221	-5.586079612846057
0.6233	-5.530933055923592
0.624	-5.489526843708641
0.6246	-5.423292928806345
0.6259	-5.344441545296613
0.6265	-5.288291371593364
0.6272	-5.256345742017655
0.6278	-5.2379077343393705
0.6291	-5.256001352983162
0.6298	-5.279146633461499
0.6304	-5.3359451745955155
0.6317	-5.372545085872305
0.6324	-5.398298547219566
0.6331	-5.4216010133278205
0.6337	-5.422425732811876
0.635	-5.405739529716354
0.6357	-5.393850174986222
0.6369	-5.3795949487991095
0.6376	-5.369658027847243
0.6382	-5.359549404759995
0.6388	-5.3612611463367905
0.64	-5.362158647038936
0.6407	-5.356631582449712
0.6413	-5.348112450922194
0.6419	-5.415868655984409
0.6432	-5.4695951423692
0.6438	-5.497940663455447
0.6444	-5.490583967361764
0.6456	-5.484408075131604
0.6462	-5.499426108398638
0.6469	-5.508147150381625
0.6475	-5.4361934091074025
0.6487	-5.416892106934191
0.6493	-5.404759782908722
0.6499	-5.445997982122545
0.6512	-5.4982481840415725
0.6517	-5.564849775343931
0.6523	-5.603572999082669
0.6535	-5.6245551891644165
0.6541	-5.612469038658671
0.6547	-5.636061742782454
0.6559	-5.641226038446201
0.6565	-5.677569279086944
0.6571	-5.658890746411689
0.6577	-5.642770749176694
0.6589	-5.675547933403114
0.6594	-5.688869505514839
0.66	-5.653308659722552
0.6612	-5.588725976947951
0.6617	-5.547966837907736
0.6623	-5.557768002865393
0.6629	-5.620878538573727
0.664	-5.63785069015701
0.6646	-5.659598183547495
0.6652	-5.706081239353199
0.6663	-5.703677289313328
0.6669	-5.720616824679431
0.6674	-5.68800356488724
0.668	-5.649686969596752
0.6691	-5.590552712077615
0.6696	-5.542182043473608
0.6701	-5.538045464849384
0.6707	-5.578331820168276
0.6718	-5.578969361844954
0.6723	-5.581396344313678
0.6728	-5.569361840447137
0.6733	-5.604977591903101
0.6744	-5.629520141739619
0.6749	-5.580992283113229
0.6755	-5.549156475296936
0.676	-5.552698465165776
0.6771	-5.576353147617937
0.6776	-5.581701410275654
0.6782	-5.565892781011151
0.6787	-5.514002479901194
0.6797	-5.4929277080660865
0.6802	-5.555670928886753
0.6807	-5.5581634886849205
0.6817	-5.546088088772267
0.6822	-5.538842971384696
0.6827	-5.587924780671122
0.6833	-5.636948375002379
