# Temperature (K)	$\Delta c_{33}/c_{33}$ ($10^{-5}$)
0.3107	-0.17761119290072863
0.3108	-0.2388496793147257
0.3109	-0.28510976113914904
0.311	-0.3100610351318831
0.3111	-0.2771766813110527
0.3112	-0.2439697626833509
0.3113	-0.30027178944212674
0.3114	-0.2856476941347888
0.3115	-0.2614565379187777
0.3116	-0.25498492167872344
0.3117	-0.25201591406337026
0.3118	-0.296991752020269
0.3119	-0.34873584548427206
0.312	-0.31804646227610345
0.3121	-0.31496383379838816
0.3122	-0.32347673570941865
0.3123	-0.2902064784359922
0.3124	-0.28799386877544125
0.3125	-0.28027066021870173
0.3126	-0.1584085653182467
0.3127	-0.10002053711007146
0.3128	-0.07785726460038563
0.3129	-0.027958656783539065
0.313	-0.025288202691316035
0.3131	-0.042799860241958386
0.3132	-0.021752676580448792
0.3133	-0.12765469440078972
0.3134	-0.18895420351007275
0.3135	-0.23719497647948568
0.3136	-0.2852748211512948
0.3137	-0.2799730960965714
0.3138	-0.26058881654021676
0.3139	-0.27807449229199144
0.314	-0.24509893645315922
0.3141	-0.19123949724302844
0.3142	-0.1936934137028086
0.3143	-0.21996888811862597
0.3144	-0.23845838934955188
0.3145	-0.21760913320736014
0.3146	-0.2559184795385907
0.3147	-0.29476756039084273
0.3148	-0.3349019711475933
0.3149	-0.2870282493172325
0.315	-0.2751590654842335
0.3151	-0.2097949892876762
0.3152	-0.20311516898354143
0.3153	-0.1494273689939554
0.3154	-0.10493892704351968
0.3155	-0.0648831528109122
0.3156	-0.05050210610937848
0.3157	0.00355254974642836
0.3158	-0.013081917943386215
0.3159	-0.01858928766823599
0.316	-0.05161486421171315
0.3161	-0.08201961840614563
0.3162	-0.07986656818720264
0.3164	-0.06648058055334569
0.3165	-0.1126883118797873
0.3166	-0.18046345159129934
0.3167	-0.2226709672987738
0.3169	-0.20884274917417917
0.317	-0.19662760814706276
0.3171	-0.28004641696995514
0.3172	-0.31467154603108516
0.3173	-0.2698704539432355
0.3174	-0.2362279188986741
0.3175	-0.20518734210978165
0.3176	-0.20878688948505172
0.3177	-0.19411391978144257
0.3178	-0.16526043253970993
0.3179	-0.17232869804593393
0.318	-0.1894698566621051
0.3181	-0.18480324363257392
0.3183	-0.13790330467745004
0.3184	-0.11056916755514744
0.3185	-0.10589301903034032
0.3186	-0.07409338381915506
0.3187	-0.016175609951854
0.3188	-0.008485516164290913
0.3189	-0.01255445008374935
0.319	-0.10597663231862622
0.3191	-0.1770243891051968
0.3192	-0.23269586516102359
0.3193	-0.2809262808247612
0.3194	-0.34211177295284867
0.3195	-0.37710025424906857
0.3196	-0.4207909294261069
0.3197	-0.38569071532713983
0.3198	-0.371217112143779
0.3199	-0.31641372075887375
0.32	-0.2704195694090347
0.3201	-0.2228102922263732
0.3202	-0.1718961979298279
0.3203	-0.11194219452624994
0.3204	-0.11098270251420757
0.3205	-0.08305092210925893
0.3207	-0.10235271580857065
0.3208	-0.09916323896667428
0.3209	-0.13813205181262525
0.321	-0.1979464999557875
0.3211	-0.19181313169806927
0.3212	-0.1689484515434098
0.3214	-0.13190595259088775
0.3215	-0.05626540104729065
0.3216	-0.0363629386838065
0.3217	-0.016841570773446193
0.3218	0.02791311690649237
0.3219	0.033269874877346124
0.322	0.012221913141626184
0.3221	-0.01682387138944598
0.3223	-0.09706936237719184
0.3224	-0.11650500420075434
0.3225	-0.11896573181564667
0.3226	-0.11412458797558679
0.3227	-0.1358179556757584
0.3228	-0.10279225861580622
0.3229	-0.08230001361445312
0.323	-0.09574013002129858
0.3231	-0.16927079902182565
0.3232	-0.20064186239133933
0.3233	-0.2301889697799841
0.3234	-0.26980329241405765
0.3235	-0.2823084538610034
0.3237	-0.2749363926213098
0.3238	-0.18869765509350334
0.3239	-0.1541047922297943
0.3241	-0.15621568458329776
0.3242	-0.17446093415816705
0.3244	-0.15440400338698448
0.3246	-0.24390520425078963
0.325	-0.3299625215757617
0.3252	-0.4287597838097681
0.3255	-0.39642965735408947
0.3261	-0.37419813845800926
0.3264	-0.2937149368337401
0.3269	-0.22934713985573107
0.3273	-0.14800859967636307
0.3279	-0.14386585468201238
0.3293	-0.12202460584221218
0.3301	-0.1257426411287121
0.3311	-0.15476346983138656
0.3333	-0.3056863320204057
0.3347	-0.3977573559598592
0.3362	-0.46783383677471013
0.3397	-0.4588787185472839
0.3416	-0.4601313593908626
0.3438	-0.4893443179519203
0.3461	-0.4875782895092176
0.3485	-0.3913118886656701
0.3511	-0.39201102717842157
0.3538	-0.41724873284030334
0.3563	-0.3956159399336574
0.3615	-0.39888999505471207
0.3671	-0.36700713507334626
0.3698	-0.3693807873131103
0.3724	-0.39304251300643844
0.3752	-0.3854875159148614
0.3783	-0.3157024252712442
0.381	-0.32072332977377
0.3836	-0.34006059871567884
0.388	-0.36243019035090135
0.3926	-0.3387834020190152
0.3944	-0.33344964688018214
0.3984	-0.28688939789696205
0.4004	-0.28881748938464885
0.4025	-0.2595840117863251
0.4046	-0.22267472592206608
0.4066	-0.2048218822216918
0.4086	-0.20090226223886365
0.4107	-0.16799090921931384
0.4127	-0.20051631442581355
0.4147	-0.1578694284860632
0.4187	-0.11409610873390053
0.4206	-0.08515135544523446
0.4226	-0.08099285289563429
