# Temperature (K)	Delta c33/c33 (1e-5)
0.3004	-0.33359276769423474
0.3005	-0.33512028711597797
0.3006	-0.33814691143344255
0.3007	-0.3347348633727467
0.3008	-0.3354805774590419
0.3009	-0.3341303201532906
0.301	-0.3352641145185329
0.3011	-0.33044717726670036
0.3012	-0.30798293404417265
0.3013	-0.30939072269360146
0.3014	-0.3064172890040986
0.3015	-0.3094381448924084
0.3016	-0.30024812174515425
0.3017	-0.32206819922644225
0.3018	-0.32295365059951564
0.3019	-0.32863872424713136
0.302	-0.31559314439724506
0.3021	-0.31356628165686473
0.3022	-0.3160029377119944
0.3023	-0.3216447861673295
0.3024	-0.3168181596240496
0.3025	-0.3237604614876135
0.3026	-0.3391247527204371
0.3027	-0.34348953103060875
0.3028	-0.3513666262303108
0.3029	-0.33938607445606017
0.303	-0.3345945368356995
0.3031	-0.32058026460522804
0.3032	-0.32194205471727777
0.3033	-0.3142451175101
0.3034	-0.3215593306595803
0.3035	-0.32101729826948944
0.3036	-0.3224285385633703
0.3037	-0.31575228326634797
0.3038	-0.3117518419275438
0.3039	-0.29834467581926827
0.304	-0.30120268552865337
0.3041	-0.3164399696552893
0.3042	-0.3225862037508662
0.3043	-0.32306504429811156
0.3044	-0.32241043173479955
0.3045	-0.319654795364567
0.3046	-0.3221704083466683
0.3047	-0.31496045893016156
0.3048	-0.29487954846514963
0.3049	-0.27962487887245224
0.305	-0.26999788676538206
0.3051	-0.26744409899463584
0.3052	-0.2726813041225382
0.3053	-0.2794502097724978
0.3054	-0.2814928386334081
0.3055	-0.28831206784626584
0.3056	-0.30950157787505983
0.3057	-0.32147835022064264
0.3058	-0.3259331603686535
0.3059	-0.3274090549158073
0.306	-0.3261497562091753
0.3061	-0.33296721225896775
0.3062	-0.3302221607080007
0.3063	-0.31496868824850743
0.3065	-0.30741619741649906
0.3066	-0.3155671316637818
0.3067	-0.32254360646895197
0.3069	-0.3233716059747973
0.307	-0.3229098904744596
0.3071	-0.32887369022820945
0.3072	-0.33157110226378883
0.3073	-0.347138234062486
0.3074	-0.3502098083419174
0.3075	-0.34452227264599333
0.3077	-0.3450137319668416
0.3078	-0.3369932870600234
0.308	-0.3318443691477606
0.3082	-0.33494362137314226
0.3083	-0.32641769142346533
0.3087	-0.32125257917476713
0.3089	-0.32021322028932353
0.3097	-0.3186913515834693
0.3102	-0.32678379863958273
0.3108	-0.32148045355740607
0.3124	-0.31709716571434843
0.3134	-0.3122142703604691
0.3162	-0.31180854905270117
0.318	-0.31655689584234725
0.3223	-0.32413506803172965
0.3249	-0.31246151230963015
0.3279	-0.31421747570024205
0.3345	-0.3251620330131839
0.3381	-0.3435006665266158
0.3418	-0.35355139610686237
0.3497	-0.34739467445722116
0.3538	-0.33026278923032315
0.3619	-0.3299831529338846
0.366	-0.33197008933967176
0.3701	-0.32077519265590126
0.3741	-0.30973258132605963
0.3819	-0.30944828419181913
0.3857	-0.3229637925724722
0.393	-0.3382625224153113
0.3964	-0.34339058842544024
0.403	-0.34014363887635746
0.4061	-0.3381779133526699
0.4092	-0.3376681786574487
0.4148	-0.3283312647529586
0.4176	-0.3177209236837033
0.4202	-0.3123996065383192
0.4227	-0.31723993275182316
0.4277	-0.33572573999028776
0.4301	-0.3636690560428226
0.4348	-0.3829451597227793
0.4371	-0.40533470101520575
0.4394	-0.42572768702028885
0.4417	-0.4432292175529824
0.4461	-0.45049657093638285
0.4482	-0.4462677923339644
0.4504	-0.43666739177899405
0.4545	-0.43191620598481073
0.4565	-0.41701892912102334
0.4584	-0.40229908723537555
0.461	-0.3935661006022997
0.4611	-0.3861397340745434
0.4612	-0.38036769250543045
0.4613	-0.3812287148340774
0.4614	-0.3795342233164467
0.4615	-0.3883767366037034
0.4616	-0.3874605309393413
0.4617	-0.37007826162659896
0.4619	-0.36277368331692195
0.462	-0.366748797702682
0.4621	-0.3577738913284465
0.4623	-0.3561541986906285
0.4624	-0.3364739119402298
0.4625	-0.3356568421972703
0.4626	-0.3447883207316327
0.4627	-0.34792958474741464
0.4628	-0.339394440170369
0.4629	-0.34019268348547094
0.463	-0.33969922601644154
0.4633	-0.3543654275927679
0.4634	-0.35248506528663803
0.4635	-0.365617347453032
0.4636	-0.3669082069584917
0.4637	-0.37315915551949796
0.4639	-0.37131672013462236
0.4641	-0.3674232549657832
0.4642	-0.36618821054688766
0.4644	-0.37525969241383716
0.4646	-0.3795359715293616
0.4648	-0.3949999852536754
0.4649	-0.3972197715199677
0.4651	-0.4048028739734839
0.4652	-0.41240946699474446
0.4654	-0.42129958522605193
0.4655	-0.4203025516951726
0.4656	-0.41802918704824066
0.4658	-0.4093655537418206
0.466	-0.41463713756694
0.4661	-0.4162075604121185
0.4663	-0.4125299943441618
0.4665	-0.4049481071406644
0.4668	-0.4052322376105888
0.4671	-0.40075262118494237
0.4673	-0.40891795416568666
0.4674	-0.41232762339760765
0.4676	-0.40801361697741356
0.4678	-0.40330705876649997
0.4681	-0.40649076558480957
0.4683	-0.39765738613264734
0.4684	-0.39613941253797336
0.4686	-0.37760517254530424
0.4689	-0.3702586778936503
0.469	-0.3818923416653366
0.4692	-0.38723696157085996
0.4695	-0.3837073183403277
0.4698	-0.39927371544097134
0.4701	-0.4020319839238624
0.4707	-0.41171799371353845
0.4708	-0.40404225104701297
0.4711	-0.3913352258523073
0.4713	-0.3950887188129064
0.4714	-0.3905617294483763
0.4716	-0.39045371318684463
0.4718	-0.3882136946268657
0.472	-0.401919897404019
0.4723	-0.41716480189459304
0.4724	-0.42636501322679354
0.4729	-0.43020826439165916
0.4731	-0.43238779061339727
0.4732	-0.4316555833487916
0.4735	-0.41655549010744153
0.4739	-0.4063259093251519
0.4742	-0.38885690244111704
0.4746	-0.37906679763255813
0.4749	-0.36565421128331455
0.475	-0.3645915460400353
0.4753	-0.3498996246100585
0.4757	-0.35956446594506275
0.476	-0.34920067589038517
0.4761	-0.3542926177359824
0.4763	-0.34597569532039074
0.4768	-0.3499085430884401
0.477	-0.36383241063204963
0.4771	-0.3714938238913792
0.4772	-0.3693648032354231
0.4774	-0.3757955099878494
0.4776	-0.371426260552016
0.4782	-0.3904069947274662
0.4783	-0.3829449882512437
0.4785	-0.3791966388690806
0.4787	-0.3709763514613993
0.4789	-0.38731353374564215
0.4795	-0.38379146016921695
0.4797	-0.39846202609433234
0.48	-0.37997585307493775
0.4801	-0.395861854004262
0.4804	-0.39432950547503953
0.4808	-0.395744764095177
0.4812	-0.3871465930080076
0.4816	-0.3946000641934102
0.482	-0.38012583479446427
0.4824	-0.3956678281880235
0.4828	-0.39758472139742196
0.4829	-0.40354421993316336
0.4832	-0.41478560019390365
0.4833	-0.41595768960941193
0.4837	-0.42309361778041765
0.484	-0.431633113967405
0.4842	-0.4288205595890373
0.4844	-0.42361474323125403
0.4848	-0.41665654288271003
0.485	-0.4163039991483348
0.4855	-0.41898655855117717
0.4856	-0.4159983529710747
0.4859	-0.4161231619673531
0.486	-0.41829657120775643
0.4864	-0.42055079708278686
0.4867	-0.4167524207770681
0.4869	-0.4154384518142251
0.4872	-0.41585616389209257
0.4877	-0.409508439408766
0.488	-0.4038419134119229
0.4882	-0.40544834911640937
0.4885	-0.3950115513675527
0.4889	-0.3865672553305357
0.4893	-0.38006309647723224
0.4898	-0.37657364760949896
0.4902	-0.37248533007612394
0.4906	-0.38246666930567486
0.491	-0.36858147784574147
0.4911	-0.37017336812622137
0.4916	-0.37545980766363307
0.4917	-0.38857772737806506
0.4918	-0.38023754234534035
0.4922	-0.38994179870787615
0.4924	-0.3895067003699557
0.4927	-0.39848724221958687
0.4928	-0.41140245973655
0.4933	-0.4159281824848442
0.4935	-0.4022235579273703
0.4938	-0.4053278042708195
0.4939	-0.3958716859555116
0.4942	-0.3963487379406816
0.4946	-0.39884210057917624
0.4948	-0.39059177502717457
0.4949	-0.3929952779727861
0.4952	-0.39593608490570364
0.4955	-0.3929536696056255
0.4956	-0.3966775160115681
0.4958	-0.39484596640357417
0.496	-0.39334019441480894
0.4968	-0.40260150097118874
0.4972	-0.41146214769427036
0.4976	-0.42367007308951177
0.4984	-0.42492395834778396
0.4985	-0.4327160997695447
0.4989	-0.43718093589647733
0.4993	-0.4372641057823863
0.4997	-0.4329534405670685
0.5001	-0.42560771905351213
0.5004	-0.41895829995408995
0.5005	-0.41653431986833667
0.5008	-0.4049723838115229
0.5013	-0.39794404970562613
0.5015	-0.3997773731345333
0.5016	-0.4026802217870413
0.502	-0.40397228558194875
0.5021	-0.41106192617459847
0.5026	-0.4188682514844011
0.5027	-0.4286490152473643
0.503	-0.4269424000903186
0.5031	-0.43015358233719514
0.5033	-0.4199811739003847
0.5037	-0.41291489619012545
0.5038	-0.40345046273481344
0.5039	-0.4065301010708815
0.5041	-0.40051330241526095
0.5044	-0.39434731671181034
0.5046	-0.3902180955897503
0.5047	-0.3911014897316738
0.5049	-0.3833599137593726
0.505	-0.3903507259864858
0.5053	-0.38804751796251313
0.5054	-0.3784960127387169
0.5056	-0.38103221855090386
0.5058	-0.3905568021856336
0.5059	-0.39618135738338456
0.5062	-0.41340447287262716
0.5065	-0.41270415861581267
0.5066	-0.395300821435419
0.5067	-0.41415880613126
0.507	-0.4261648235365936
0.5072	-0.4186437333599846
0.5074	-0.4154591441180111
0.5075	-0.4111711085300822
0.5076	-0.3915478746011747
0.5077	-0.40248462493955905
0.5078	-0.39402727196882115
0.5079	-0.37385626693739216
0.5081	-0.3629150764917508
0.5082	-0.3521988963988729
0.5083	-0.35288810149422734
0.5084	-0.36922219182782534
0.5085	-0.3749136586438615
0.5087	-0.3787666215656591
0.5089	-0.38826274537276806
0.509	-0.3850933849419782
0.5091	-0.39194748071664964
0.5092	-0.3759156205153138
0.5093	-0.372478740005568
0.5101	-0.37998725533687683
0.5105	-0.37850412692825497
0.5108	-0.3860781164543017
0.5116	-0.3976584356133541
0.5119	-0.4045332744399879
0.5123	-0.4198152899320764
0.5131	-0.4198822637117763
0.5135	-0.41066783743033763
0.5139	-0.40369043294215334
0.5142	-0.39799086020986607
0.515	-0.3850604304277372
0.5154	-0.3776234970823955
0.5157	-0.3725738372521876
0.5164	-0.37390659008524807
0.5168	-0.3796013735796926
0.5171	-0.39129905406768994
0.5179	-0.39699890185615505
0.5182	-0.4105599119086927
0.5189	-0.4145527413702128
0.5193	-0.4256554428560477
0.52	-0.42921217819065927
0.5203	-0.4204530937371622
0.521	-0.41335806415978293
0.5214	-0.4100392564646649
0.522	-0.399055554732608
0.5224	-0.3899430660111589
0.523	-0.3673265519910318
0.5233	-0.35606489351416837
0.5237	-0.3497790108381178
0.5243	-0.34688673435481565
0.5247	-0.3584015715842739
0.525	-0.3764850810025324
0.5256	-0.3868241602706588
0.526	-0.4100450802766149
0.5263	-0.42133495719476155
0.5269	-0.4416688018674755
0.5275	-0.4581847292648735
0.5279	-0.45268452430732165
0.5282	-0.4458113323414077
0.5288	-0.4460901814213054
0.5291	-0.4414920799317761
0.5297	-0.43992137149717614
0.53	-0.4444913151525087
0.5306	-0.4388587014013945
0.5309	-0.4293390611691379
0.5312	-0.4234047439653086
0.5317	-0.423527411560908
0.532	-0.4147893839550001
0.5323	-0.40915291485332084
0.5329	-0.3993835836351556
0.5332	-0.3954134265718201
0.5335	-0.4070328732764299
0.534	-0.41371620180267943
0.5346	-0.4076628601718655
0.5348	-0.4106299527371373
0.5354	-0.4109533247415964
0.5357	-0.40651810911497765
0.5359	-0.409547990741018
0.5362	-0.41065219497260586
0.5367	-0.419514597123837
0.537	-0.44101499868274985
0.5375	-0.45687891060794783
0.5378	-0.4663772872952565
0.538	-0.46905721981326476
0.5385	-0.4653674156263534
0.5388	-0.46020619535954665
0.539	-0.4510276139419931
0.5395	-0.4333770798606391
0.5398	-0.4247959560259096
0.5403	-0.4303786378240133
0.5405	-0.4369731189488082
0.5407	-0.44336227998513955
0.5412	-0.4442704461426432
0.5414	-0.4493293259055555
0.5417	-0.4561473081057299
0.5419	-0.45312188751091753
0.5424	-0.44303742183140304
