# Temperature (K)	C55 Attenuation (Neper/m)
0.3081	0.0
0.3082	0.22523077181962128
0.3084	0.22963679453028
0.3086	-0.21895584901429566
0.3088	-0.543019537349061
0.309	-1.1285495527929459
0.3093	-0.9737407750209635
0.3094	-0.619300525275286
0.3095	-0.5709022733239113
0.3096	0.2558719136810376
0.3097	0.578653008571715
0.3099	0.7354768461605979
0.3101	-0.03995156660166604
0.3102	-0.14321970524391933
0.3103	0.09728862161722975
0.3104	0.5028879963689301
0.3105	0.6125227225181914
0.3106	1.2367234116962982
0.3107	1.1819169228495472
0.3108	0.19117600792015133
0.3109	-0.11427124168619776
0.3114	-0.21152067822994086
0.3116	-0.47443045356130203
0.3123	-0.717623357689982
0.3125	-0.06593361748397666
0.3126	-0.010673230148060998
0.3127	-0.11076732739168384
0.3128	0.16166331620077903
0.3129	0.5522398029876303
0.313	0.2948973859349447
0.3131	0.7034345184529641
0.3133	0.8291266386827043
0.3135	1.1307246751171762
0.3137	0.9640149867846104
0.3139	0.7748495428052119
0.3144	0.4156753129786824
0.3146	0.29980347807925056
0.3147	-0.6918832319229062
0.3148	-0.9263020207204197
0.3149	-0.946039068200888
0.315	-1.5249929661536972
0.3151	-1.3929434470476332
0.3152	-1.2623121010087122
0.3153	-0.37963398391034725
0.3154	0.03389677860635789
0.3155	0.9105774703138415
0.3156	0.8992045469885994
0.3161	1.2836437283374453
0.3163	0.6548307872763786
0.3174	0.676125091796216
0.3176	-0.086489887383323
0.3178	-0.31233626941731074
0.3179	-0.3378578877151873
0.318	-0.007513468173261257
0.3181	0.33062500329394656
0.3183	1.1274191723820304
0.3185	1.41435480698265
0.3189	1.720772064907257
0.3194	1.8564343979933278
0.3201	1.39487361593626
0.3204	0.981024739041723
0.3208	0.3423078029964699
0.3218	-0.06797808263191596
0.3225	-0.16105394571555265
0.3234	-0.6003932337078886
0.3273	-0.4701620315736161
0.3337	-0.10663725702435406
0.3366	-0.367281670085831
0.3398	-0.621309273079836
0.3472	-0.52223983040046
0.3512	-0.7720858910965683
0.3554	-0.3368033983960851
0.3597	0.15300151502410334
0.3683	0.6023456670264665
0.3725	0.8717179869064221
0.412	1.6788690422468258
0.4197	1.694173680019473
0.4222	1.9140017442012527
0.4246	2.1445567988225913
0.4294	2.559066537156194
0.4318	2.748272669907915
0.4342	2.6756899913174443
0.4388	2.6080809747402247
0.4412	2.333293841551423
0.4435	2.2934577924276933
0.4481	2.0707875765624126
0.4526	2.1791961017437504
0.4594	2.1497771429052395
0.4818	1.833554988539035
0.4852	1.4481271319988
0.4868	1.0764267181653053
0.4914	1.031213247496779
0.5008	1.2668766963195923
0.5041	1.5170599096732722
0.5057	2.042608495589929
0.5073	2.0993392997465374
0.5105	2.107159106659214
0.5135	1.6124806094082627
0.5137	1.2249552088959639
0.5139	0.9450184506037708
0.514	1.6436031447939958
0.5141	1.9714883501064262
0.5142	3.1306196472664576
0.5143	4.706374961434668
0.5144	5.642723824160342
0.5146	5.646828085327143
0.5148	5.47838463948984
0.515	5.071955591095932
0.5151	3.779873669355213
0.5154	3.0991771628200153
0.5156	2.6123226345194848
0.5157	2.583847054945005
0.5158	2.1530991463705793
0.5159	2.1900475058275473
0.5161	1.7700533013943742
0.5163	1.7151408023207375
0.5164	1.517605148061335
0.5165	1.4497121836715758
0.5167	1.8248831332250255
0.5171	2.2194159899688692
0.5175	1.9901453834474812
0.5177	2.417547200856541
0.5178	2.618840649922133
0.518	2.6786158155620545
0.5181	3.2728218274332543
0.5182	3.480298342004192
0.5184	3.2083970119639047
0.5189	3.5612279344940103
0.5192	3.6391306273239334
0.5207	2.8076505221331334
0.5208	2.6686155330270958
0.5211	2.202411348477888
0.5213	2.0465194402688582
0.5216	1.8403939944629923
0.5217	1.9208947149044058
0.5218	1.9708251998321535
0.522	2.370759988586782
0.5224	2.411549012678876
0.5229	2.0297892293522932
0.5231	2.2220657805507407
0.5233	2.146204133644231
0.5237	2.299638989010593
0.524	2.338741843214295
0.5243	2.6020243149698503
0.5247	2.681782062650535
0.5253	2.5751781409255527
0.5259	2.4930888891912857
0.526	2.4419298849757864
0.5262	2.362181028705295
0.5263	2.7258615334760132
0.5266	3.1014678154624553
