# Temperature (K)	C55 dvov (10^-5)
0.3061	-0.038059695186209386
0.3062	-0.050517900804117416
0.3063	-0.08862001446251211
0.3064	-0.028778647043474926
0.3065	-0.005987191954476452
0.3066	-0.07412480312400356
0.3067	-0.03383604717554275
0.3068	-0.10916971894834931
0.3069	-0.05065092514112751
0.307	0.03666351606058764
0.3071	-0.045479161074233554
0.3072	-0.04208227323493699
0.3073	-0.04170731161774527
0.3074	-0.05713975273926143
0.3075	-0.044071941386267244
0.3076	-0.12468747404319928
0.3077	-0.13548597350891786
0.3078	-0.09763876045257042
0.3079	-0.11666832379672154
0.308	-0.08573257836806811
0.3081	-0.0674265375664139
0.3082	-0.03946104701980707
0.3083	-0.026433199632456585
0.3084	-0.06270117415172696
0.3085	-0.0217233368424467
0.3086	-0.03809873591885697
0.3087	-0.07375153311137225
0.3088	0.012872544508763743
0.3089	0.06850185072973092
0.309	0.0382966411003249
0.3091	0.004281451644204317
0.3092	-0.018144957266645178
0.3093	-0.0013134594811412513
0.3094	0.02687135883730615
0.3095	0.0037893320079950173
0.3096	-0.021566090616185335
0.3097	-0.014855412224824838
0.3098	0.004566088217076991
0.3099	-0.039938151685293445
0.31	-0.061691014741679234
0.3101	-0.04693826292706191
0.3102	-0.029606068526323668
0.3103	-0.06705267408936652
0.3104	-0.13057101975227003
0.3105	-0.0895279359648042
0.3106	0.01248040072787237
0.3107	0.04180900066823052
0.3108	0.0002919921510634825
0.3109	0.04247622268939693
0.311	0.05791205155135934
0.3111	0.05004410228892815
0.3112	0.019468304969180467
0.3113	-0.009563743521743499
0.3114	-0.0008210859441578483
0.3115	0.0017218717363498733
0.3116	-0.011186433555821721
0.3117	-0.0019905483276548737
0.3118	0.05506695958012098
0.3119	0.05759051739338003
0.312	-0.004844553175308887
0.3121	-0.05308205345254131
0.3122	-0.008894633183535294
0.3123	-0.007602593579930216
0.3124	-0.06675710270705572
0.3125	-0.05119246728733408
0.3126	-0.023163457799470297
0.3127	-0.006082274202833752
0.3128	-0.017840594409657216
0.3129	-0.019977995584143787
0.313	0.03445551080793986
0.3131	0.0387345603872582
0.3132	0.040142673056204475
0.3133	0.01653325541041504
0.3134	-0.10030817809061204
0.3135	-0.09048839850122822
0.3136	0.05105249234237455
0.3137	0.05295301623211429
0.3138	0.01643614127305607
0.3139	0.07087745246743028
0.314	0.1003719335024235
0.3141	0.08937271285977501
0.3142	0.13445710678883097
0.3143	0.0741815368305275
0.3145	-0.008574346550143958
0.3146	0.02395170430930958
0.3147	0.005369453222260796
0.3148	-0.0039689491497388665
0.3149	0.03052132468233347
0.315	0.023087094208834938
0.3151	0.01833950472009604
0.3152	0.033753468131570916
0.3153	0.06434409114077942
0.3154	0.08837868330326734
0.3155	0.014061720191244423
0.3157	-0.021954630304412207
0.3158	0.0006912411763208143
0.3159	-0.0073794433317264305
0.3161	0.047966814667455004
0.3162	0.05429213980023524
0.3163	-0.004787575279697597
0.3164	-0.046015249056865354
0.3166	-0.015325915918285287
0.3168	0.0162466419692856
0.3169	0.015332970854770554
0.317	0.021315217699712473
0.3174	-0.030339846328959925
0.3176	-0.09108414249977279
0.3178	-0.11098942257133397
0.3184	-0.08927137872862803
0.3187	-0.10532536216660864
0.3191	-0.036862532169724876
0.3196	0.033791677780720036
0.3209	0.0161662687220461
0.3217	0.053593423036588615
0.3227	0.06011277540521592
0.3237	0.03246188525630588
0.325	0.05812307094521258
0.3265	-0.009714890892122737
0.33	-0.04678647562986671
0.3321	0.020267420177268007
0.3346	0.015253225913260983
0.3374	-0.009525564817480792
0.3439	-0.04388214376015989
0.3475	-0.052724269914046495
0.3512	-0.012942055611561958
0.3551	-0.03267279916529999
0.363	-0.08919454377282572
0.3668	-0.1159000846254199
0.3705	-0.14643433998681776
0.3741	-0.14221006707568337
0.3811	-0.12014926167506047
0.3844	-0.12251693118164007
0.3877	-0.038802769608580534
0.3908	-0.01037440998554037
0.3938	-0.07644528967650074
0.3996	-0.0727394861860394
0.4024	-0.07829794840619533
0.4051	-0.1183250798549658
0.4076	-0.1058708350320744
0.4102	-0.06217222966199958
0.415	0.009049481643739771
0.4173	0.06405630520099583
0.4196	0.017419256574050922
0.424	-0.04596595846799141
0.4262	-0.016311182259563534
0.4283	0.07577728822883269
0.4304	0.06770686682719493
0.4325	0.011236911899971738
0.4366	-0.01563587605814265
0.4386	-0.015800306474278956
0.4427	0.010984739319357378
0.4446	0.018762350885589106
0.4466	0.0014193534426227249
0.4485	-0.032889310513125984
0.4523	-0.0511043828017952
0.4541	-0.06318735986776247
0.4559	-0.04248506766011632
0.4577	0.0038072614911210598
0.461	0.0020951130370958776
0.4627	-0.015743217498945857
0.4642	-0.019540245117691084
0.4672	-0.005629463542891622
0.4687	0.10342359255063621
0.4701	0.11449215048853255
0.4709	0.05992529652960616
0.471	0.14480351657423107
0.4711	0.20175074020073372
0.4712	0.1505803833675031
0.4713	0.11371621808480828
0.4714	0.10432823715771262
0.4715	0.02342682620097179
0.4716	0.023440952373664312
0.4717	0.0997843206331124
0.4718	0.10313301172096886
0.4719	0.1294658605924021
0.472	0.1598992500548768
0.4721	0.07620863948883853
0.4722	-0.0010866794248839441
0.4724	0.010723697888514148
0.4725	0.04579730309195494
0.4726	0.07246059572681021
0.4728	0.11785750300147149
0.4729	0.1490919674554869
0.473	0.19747629077855208
0.4731	0.12273873027732066
0.4733	0.0659728968372829
0.4734	0.03476495592688285
0.4735	0.017710339901642197
0.4736	0.051651501603404426
0.4738	0.10588776133415526
0.474	0.1763115521402343
0.4741	0.1373172264676199
0.4742	0.10697825720373637
0.4743	0.158966682471597
0.4745	0.1719806504399033
0.4746	0.12969710707376242
0.4747	0.1488590794761972
0.4748	0.14380199172043692
0.475	0.18092968400748416
0.4751	0.17270788946275717
0.4752	0.15498696012968904
0.4753	0.09086277832820498
0.4754	0.061448362479691196
0.4755	0.145895074416967
0.4757	0.1922922688219462
0.4759	0.15236607625600296
0.4762	0.19480643341964876
0.4764	0.22684307726946817
0.4765	0.15158417466757268
0.4767	0.15119232851837058
0.4769	0.15995006767318679
0.4772	0.14006096760362527
0.4773	0.0014570655418105413
0.4775	-0.11135097499528207
0.4777	-0.0273942457667967
0.4778	0.04052371090136099
0.4779	0.04919359163529143
0.478	0.08413484481597719
0.4782	0.09026046771753006
0.4783	0.06702779364835396
0.4784	0.0785487608939337
0.4786	0.09642077027352189
0.4789	0.0962359289690849
0.479	0.1973176360590902
0.4792	0.16717946281770252
0.4793	0.08439396848297773
0.4795	0.06439348969614284
0.4796	0.06848618991488761
0.4799	0.14539568957399468
0.4802	0.18913056135975384
0.4805	0.15920157973965068
0.4808	0.09862610887974126
0.4811	0.09625211460849133
0.4814	0.06463352177138101
0.4815	0.11092333875456234
0.4817	0.19334141826320628
0.4818	0.17206694427786404
0.4821	0.1480312448041499
0.4823	0.13695945943836915
0.4825	0.12059935290372523
0.4826	0.16186084636671433
0.4828	0.15009269187987512
0.483	0.05509896839269195
0.4831	0.013348534484659488
0.4833	0.03126037479959671
0.4835	0.12823411078682076
0.4839	0.1219536867223532
0.4842	0.09990946329215163
0.4843	0.14791315714269074
0.4849	0.1324027376283887
0.485	0.09025281468021161
0.4853	0.10943782350124158
0.4856	0.11099421622501326
0.486	0.06784041224236177
0.4864	0.05247759100970341
0.4868	-0.010073199990497453
0.4871	-0.0028368610847581688
0.4875	0.03732672299976972
0.4878	0.03931753201354789
0.4879	0.12407446780568573
0.488	0.11085337090924272
0.4883	0.09688978684455626
0.4886	0.1697838720417168
0.489	0.14351014013719343
0.4892	0.09304281481776165
0.4893	0.04519439168220374
0.4894	0.0758292624260552
