# Temperature (K)	C55 Attenuation (Neper/m)
0.3028	0.0
0.3029	0.05642814149280184
0.303	0.05251193498924067
0.3031	0.17994396421789816
0.3032	0.22596360097770685
0.3033	0.4077351170458883
0.3034	0.48958621619800624
0.3035	0.28542800926203427
0.3036	0.14669978239442116
0.3037	0.15319572096422007
0.3038	0.15261794294099218
0.3039	0.0413577517361432
0.304	-0.14973130642567867
0.3041	-0.18100922534773645
0.3042	-0.08239276946653717
0.3043	-0.019229351476383272
0.3044	0.07077935384586453
0.3045	0.15886360127478838
0.3046	0.25819087181503164
0.3047	0.31930395295574954
0.3048	0.37705018990004646
0.3049	0.36131877445484406
0.305	0.465094077733454
0.3051	0.4712427379563451
0.3052	0.4492957575379819
0.3053	0.31940165468091664
0.3054	0.26480335915192654
0.3055	0.266929548898986
0.3056	0.4372344355630844
0.3057	0.4514710477420181
0.3058	0.532936541629681
0.3059	0.4333767880951882
0.306	0.49225296186546075
0.3061	0.6009618288704246
0.3062	0.6243668879116058
0.3063	0.43164284580518597
0.3064	0.29648921412547224
0.3065	0.14081805485432142
0.3066	0.2056935675042837
0.3067	0.2396063907737016
0.3068	0.25134741601402766
0.3069	0.4208942926488817
0.307	0.6540873793751985
0.3071	0.776240193551132
0.3072	0.9460218557422877
0.3073	0.8849972900269449
0.3074	0.8199219121597707
0.3075	0.7065117415040731
0.3076	0.4576715254889905
0.3077	0.1982113494138389
0.3078	0.1194561212323606
0.3079	-0.029327875402373138
0.308	0.03498816842744645
0.3081	0.062182726405012545
0.3082	0.13600265933200717
0.3083	0.2322693399951845
0.3084	0.32615599867756373
0.3085	0.295283494849798
0.3086	0.27896517262394127
0.3087	0.2167969006778776
0.3088	0.10677813405970937
0.3089	0.061487027310874964
0.309	-0.02351369189898378
0.3091	-0.1042172230248184
0.3092	-0.09474619704167253
0.3093	-0.07443621096069819
0.3094	-0.004296280177584322
0.3095	0.08619939901734597
0.3096	0.007396718154495829
0.3097	0.03246168446327147
0.3098	0.09337058443838941
0.3099	0.10473910180320445
0.31	0.10501509206369519
0.3101	0.01669277290682203
0.3102	-0.01748370731780824
0.3103	0.041195001187077196
0.3104	0.005968742804327576
0.3105	-0.0020668496644020706
0.3106	-0.040161292866969234
0.3107	-0.038783264346420765
0.3108	0.020639770730781493
0.3109	-0.040233745239675045
0.311	-0.02807335861558613
0.3111	-0.04811499487345827
0.3112	-0.04329809852475819
0.3113	-0.06999155240401933
0.3114	-0.1473906789906323
0.3115	-0.24205303464884764
0.3116	-0.22453324922491902
0.3117	-0.2720385310905158
0.3118	-0.18973748246207833
0.3119	-0.153305934209925
0.312	-0.17484576734051416
0.3121	-0.1295043237374216
0.3122	-0.017275124189609414
0.3123	-0.05086289253085852
0.3124	0.06949541059191233
0.3125	0.05428673533191386
