# Temperature (K)	C55 dvov (10^-5)
0.3028	-16.1483979931864
0.3029	-16.14765666189917
0.303	-16.146081067440896
0.3031	-16.146438535327537
0.3032	-16.14572388353523
0.3033	-16.146585437926152
0.3034	-16.144578528131653
0.3035	-16.145664387650026
0.3036	-16.14550306738732
0.3037	-16.14533499235783
0.3038	-16.144877626721
0.3039	-16.14248060508823
0.304	-16.14235562187933
0.3041	-16.143521095723745
0.3042	-16.147573521372962
0.3043	-16.15097959517533
0.3044	-16.15554351702034
0.3045	-16.16071738524982
0.3046	-16.163643644624514
0.3047	-16.16326425117076
0.3048	-16.16202331136786
0.3049	-16.158693309311417
0.305	-16.155817772857823
0.3051	-16.151130194393147
0.3052	-16.144046940665742
0.3053	-16.139440573725476
0.3054	-16.13795881086049
0.3055	-16.139128026948722
0.3056	-16.139669109537774
0.3057	-16.140273466671953
0.3058	-16.141299634072805
0.3059	-16.14362030054826
0.306	-16.144663631527212
0.3061	-16.144602091839186
0.3062	-16.144826348323203
0.3063	-16.143202526192674
0.3064	-16.142604294343695
0.3065	-16.145067983306653
0.3066	-16.144970730110085
0.3067	-16.145326969035548
0.3068	-16.145839043208294
0.3069	-16.14420398864671
0.307	-16.144394617797666
0.3071	-16.144573317752304
0.3072	-16.14312418526052
0.3073	-16.141055296343986
0.3074	-16.141207335347794
0.3075	-16.142840811861966
0.3076	-16.14614038336053
0.3077	-16.147091412294706
0.3078	-16.149057825603478
0.3079	-16.148552408935636
0.308	-16.14982386050189
0.3081	-16.14917033178424
0.3082	-16.148614032354306
0.3083	-16.147416999072085
0.3084	-16.148233791100147
0.3085	-16.147126855329724
0.3086	-16.147835978778573
0.3087	-16.149200626392528
0.3088	-16.151505594619927
0.3089	-16.15151871511212
0.309	-16.150926658083517
0.3091	-16.14898934909806
0.3092	-16.148515434596966
0.3093	-16.148146768835158
0.3094	-16.146127078344115
0.3095	-16.14481544360639
0.3096	-16.14961919434723
0.3097	-16.15101858501486
0.3098	-16.152489968305666
0.3099	-16.15224307679922
0.31	-16.15382172690807
0.3101	-16.15561659420948
0.3102	-16.15588797466707
0.3103	-16.15126795107421
